date,THE HONGKONG AND SHANGHAI BANKING,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,0.0,69.04112688312152,0.0,30.958873116878483,0.0,0.0,0.0,0.0
2024-03-04,43.07873211212426,0.0,0.0,34.15422482361014,0.0,15.235118000891692,0.0,0.0,0.0,7.531925063373905
2024-03-06,25.81937703823537,0.0,35.587602393241404,20.437870734149914,0.0,9.112578281077473,0.0,0.0,4.531362863672547,4.511208689623296
2024-03-07,25.86223380468473,0.0,35.61833387304868,20.373277408543952,0.0,9.091662580250532,0.0,0.0,4.539388014207364,4.515104319264753
2024-03-08,25.86010700904077,0.0,35.6154047789148,20.37160200038034,0.0,9.09502670086296,0.0,0.0,4.547238272436178,4.510621238364951
2024-03-11,25.890979823085353,0.0,35.65792385157283,20.395922421023922,0.0,9.048251076771075,0.0,0.0,4.552666944543073,4.454255883003741
2024-03-12,26.061059400009658,0.0,35.60424927228284,20.36251771129485,0.0,9.012882006557417,0.0,0.0,4.541100581659986,4.418191028195252
2024-03-13,23.48983273235111,0.0,32.462237606032225,18.59240641289637,9.069075100565192,8.232716583542786,0.0,0.0,4.117984228674829,4.035747335937486
2024-03-14,21.817611861864474,0.0,30.142148656524615,17.306464297557035,8.42480195573073,7.665296324982272,7.21915367429547,0.0,3.8254398820940296,3.5990833469513768
2024-03-15,21.81860105811291,0.0,30.1354937052631,17.307248961326156,8.425183930739783,7.672619148470028,7.2194809860001925,0.0,3.8256133250356283,3.5957588850521955
2024-03-19,21.817840129960633,0.0,30.134442723787153,17.306645367496376,8.42489010073556,7.675839084667083,7.219229205131546,0.0,3.8254799059923545,3.595633482229295
2024-03-20,21.824690394632796,0.0,30.143904196929157,17.312079228073245,8.392649155347964,7.681737724516731,7.2214958653733285,0.0,3.826681012504181,3.5967624226225987
2024-03-21,20.588707210885858,0.0,28.436784507888994,16.331655752885922,7.91735383451954,7.259867165843009,6.812525690323583,5.696143996835224,3.609967130405674,3.3469947104121927
2024-03-22,20.659613194774806,0.0,28.325651261744223,16.3434889344227,7.923090392198219,7.271714201234945,6.817461739334004,5.69368430308214,3.612582749853098,3.3527132233558645
2024-03-25,20.68505378059661,0.0,28.315393232996826,16.337570200983077,7.920221074622417,7.262496299605948,6.814992821042942,5.691622356589899,3.6211511827706824,3.3514990507915994
2024-03-26,20.718762700989334,0.0,28.309117320658846,16.33299956958122,7.91800529769182,7.260464529077374,6.8130862449849285,5.690030056905764,3.62013812225414,3.3373961578565736
2024-03-27,20.694051361912884,0.0,28.29512627213151,16.340125491715963,7.9214598431336105,7.263632196147704,6.816058725445252,5.692512559336327,3.6217175518173566,3.355315998359392
2024-03-28,20.690474608503123,0.0,28.287766612875227,16.337301269501264,7.920090700474751,7.282129859574699,6.814880639972235,5.6915286672336824,3.621091575280616,3.3547360665844064
2024-04-03,20.655690805109227,0.0,28.27845682298205,16.318760094259506,7.930648522852804,7.283024338107082,6.812637793876484,5.750540897397298,3.6198998374452778,3.3503408879702676
2024-04-05,20.65314187096107,0.0,28.274144557688448,16.316746341959846,7.946123347132468,7.259090740577413,6.8117971071487595,5.749831274552821,3.6260345278536237,3.3630902321255554
2024-04-08,20.65172003506171,0.0,28.275057936446572,16.31822304504647,7.946842489578364,7.259747704991644,6.812413590460002,5.750351647512771,3.625539944131712,3.360103606770754
2024-04-09,20.649001806444822,0.0,28.271336305923956,16.316075201632824,7.945796507227626,7.268663838465798,6.811516924345014,5.749594772522267,3.6250627419223527,3.3629519015153417
2024-04-10,20.64764296045352,0.0,28.269475858025885,16.315001491940247,7.945273619301478,7.274766196613304,6.811068679797694,5.749216409738365,3.6248241879224414,3.3627305962070677
2024-04-11,20.65318137867454,0.0,28.2732738082704,16.31937774455717,7.957278495791928,7.210893030039167,6.812895646050116,5.783670806504112,3.6257964922367325,3.363632597875834
2024-04-12,20.683030371625243,0.0,28.227952782565673,16.31696111852562,7.956100156356796,7.232860385578829,6.811886770514161,5.782814341898188,3.6252595726111565,3.3631345003243314
2024-04-15,20.685072446403705,0.0,28.23073978182976,16.318572123013965,7.947012487721948,7.2335744995894045,6.812559321002067,5.783385290115346,3.6256175013578433,3.3634665489659614
