date,CHINA SECURITIES DEPOSITORY AND CLEARING,ORIENT SECURITIES (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CMBC SECURITIES CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,TIGER BROKERS (HK) GLOBAL LTD,LIVERMORE HOLDINGS LTD,DBS BANK (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL
2024-07-10,66.39621699389289,12.878656033414892,11.313641542867826,4.659328012089067,0.6411848665284796,0.06250205421622154,0.6684332990316108,0.6073167583324975,0.0,1.0120406512744837
2024-07-12,67.31898163912058,13.05764165946007,12.06571853592147,4.724082652560078,0.7282947748908124,0.0355874857854919,0.6719479223971169,0.6243418558858228,0.0,0.7734034739785631
2024-07-15,67.28778878129789,13.051435270187067,12.178073710436335,4.7218937062193005,0.819068986904491,0.03479093030089553,0.6683602933140647,0.6240525614510408,0.0,0.6145357598889124
2024-07-16,67.31772076099915,13.057241008533579,12.183490946783424,4.74272407580211,0.8120974582504566,0.03433815891122439,0.6670967781207865,0.6243301620222617,0.0,0.5609606505770021
2024-07-17,67.32728359925642,13.059095858674658,12.18522167610723,4.743397804839917,0.8164276482364499,0.03434303682830191,0.6665671238947689,0.624418851423671,0.0,0.5432444007385938
2024-07-18,67.32770400613246,13.081968833031151,12.185297763403566,4.743427423694954,0.7998855433098448,0.03449935696164631,0.6665712860915375,0.6244227504370374,0.0,0.5362230369378058
2024-07-19,67.31120697640175,13.098427909290173,12.182312050130733,4.742265161229758,0.7996895506529744,0.0337105665380645,0.6662518914398026,0.6242697507048981,0.0,0.5418661436118516
2024-07-22,67.30290898028511,13.26113191276937,12.180810238135011,4.741680543902873,0.7112676864052292,0.032614073378388085,0.6628927450305866,0.62060368337727,0.004681445939481544,0.4814086907766854
2024-07-23,67.29419303611198,13.285939311509335,12.179232783852164,4.741066480951752,0.6816862849759167,0.03260984975050735,0.6623388143105439,0.621615509119719,0.009361679354212634,0.49195625006387395
2024-07-24,67.25096174289182,13.322467247960134,12.171408572580432,4.738020713910541,0.675011244340115,0.03695487754876582,0.6617573853036377,0.6219958081942061,0.009355665202219195,0.5120667420681306
2024-07-25,67.23125329252133,13.334930604815368,12.167841640664891,4.736632197766319,0.6748134267139603,0.037255811731262765,0.6614075697730037,0.6218135271799463,0.009352923447178935,0.5246990053867383
2024-07-26,67.2225558965554,13.3545586057468,12.166267543327463,4.736019441588925,0.6837661189445999,0.03647168266082434,0.6613220065379388,0.6179924006417458,0.009351713502775472,0.5116945904935312
2024-07-29,67.2037018035876,13.39272810592956,12.16285523720084,4.734691117343319,0.6823277957890606,0.037240544232378506,0.6609807055805423,0.6178190706333923,0.009349090602270755,0.4983065291010311
2024-07-30,67.18674216021498,13.429695016938222,12.159785797844378,4.733496262436897,0.641808879129863,0.025703510936026068,0.6606581204829487,0.6176631567354142,0.009346731249464023,0.5351003640318154
2024-07-31,66.39621699389289,13.283533872303224,12.016712679827146,4.677801525650512,0.6297928664989221,0.02555502709333196,0.652884758450728,0.610395677259405,0.009236756780722395,0.5381950284234249
2024-08-01,67.15933171041657,13.456293401260499,12.154824920334107,4.731565118620412,0.6370312940260682,0.02584873987003845,0.660232873788934,0.6174111661729065,0.009342918025315103,0.5481178574851527
