date,THE HONGKONG AND SHANGHAI BANKING,HUATAI FINANCIAL HOLDINGS (HONG KONG),BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,SDICS INTERNATIONAL SECURITIES (HONG,TFI SECURITIES AND FUTURES LTD
2024-04-17,38.61070752339279,2.653371569445562,15.612702635157175,9.907784324605954,10.143300702736818,10.860016011724987,12.212117232936711,0.0,0.0
2024-04-18,39.20879139301835,2.67564135341182,16.00103940954832,9.803140860949634,10.438521859034271,9.990905166452219,11.881959957585385,0.0,0.0
2024-04-19,38.683084366088934,3.0841981042932676,16.0332945568775,9.822902186740132,10.459563995850779,10.01104499048787,11.905911799661512,0.0,0.0
2024-04-22,37.66862213127472,4.136247940052919,16.009091023452996,9.808073734573984,10.594732406060123,9.895293885783534,11.88793887880173,0.0,0.0
2024-04-23,37.49879986808985,4.3179702534261155,15.936916892430611,9.763855783800933,10.897615181355585,9.750497793844472,11.834344227052435,0.0,0.0
2024-04-24,37.51759335441056,4.370251882541128,15.944904087505273,9.768749190810109,10.802841666075,9.75538450615402,11.840275312503916,0.0,0.0
2024-04-25,37.442532209055635,4.561577545567842,15.76295135400993,9.749204933372791,9.830899852865784,10.836247535606065,11.81658656952196,0.0,0.0
2024-04-26,37.273836950136854,4.609289401217312,15.755071093206464,9.74433108229148,9.975962039185625,10.830830247003586,11.810679186958676,0.0,0.0
2024-04-29,37.19944951916081,4.699875684463053,15.723628683211583,9.724884311711854,10.055838048869727,10.809215149033125,11.787108603549854,0.0,0.0
2024-04-30,37.749262179773496,4.718709952119955,15.786639505420421,9.763855783800933,10.146228246304638,10.00096010552812,11.834344227052435,0.0,0.0
2024-05-03,37.44870740575312,4.868987339130144,15.786639505420421,9.763855783800933,10.296505633314828,10.00096010552812,11.834344227052435,0.0,0.0
2024-05-06,35.75983018970212,4.914156557421485,15.770839501745225,9.75408366243114,12.237851182458497,9.740739041772834,11.822499864468696,0.0,0.0
2024-05-07,35.939680716857296,4.637107759108455,15.296923263913628,9.803140860949634,12.802340347950727,9.638847093634874,11.881959957585385,0.0,0.0
2024-05-08,35.617240620210424,4.695190586358859,15.159683830584363,9.715190004859672,13.484966169207958,9.552370232225854,11.775358556552874,0.0,0.0
2024-05-09,34.90439345243787,4.500305591704536,15.174810928125662,9.724884311711854,14.346595043177821,9.5619020692924,11.787108603549854,0.0,0.0
2024-05-10,35.25364111476528,4.051272882997876,15.174810928125662,9.724884311711854,14.44638008955708,9.5619020692924,11.787108603549854,0.0,0.0
2024-05-13,35.25364111476528,3.9514878366186177,15.174810928125662,9.724884311711854,14.546165135936336,9.5619020692924,11.787108603549854,0.0,0.0
2024-05-14,35.64489210810629,3.5413259793927114,15.343223598750615,9.832812756172308,14.051799879769797,9.668021708698193,11.917923969110086,0.0,0.0
2024-05-16,35.80746377699042,2.8986853718585963,15.413202025363498,9.87765892304379,14.318593563263049,9.712116285256993,11.97228005422366,0.0,0.0
2024-05-17,35.926086007608795,2.6806232534652534,15.618995450985762,10.009543087252917,13.790830933296816,9.84179016334513,12.132131104045328,0.0,0.0
2024-05-21,35.83407675529395,2.673757987339773,15.578994096731646,9.98390793803916,14.011618724842814,9.816584641257998,12.101059856494663,0.0,0.0
2024-05-22,35.660551277095536,2.711783770925634,15.274173063117788,9.935561153187749,14.606421796216926,9.769048114622139,12.042460824834231,0.0,0.0
2024-05-23,35.64238314999342,2.7104021873421162,15.266391267614004,9.930499242157282,14.649927612222283,9.764071037671364,12.036325502999528,0.0,0.0
2024-05-27,35.569895388891474,2.7557336971489343,15.23534321680218,9.910303071388924,14.772664680934,9.74421334056445,12.011846604270032,0.0,0.0
2024-05-31,35.35419044290124,2.840093153707829,15.14295219766105,9.850204458070303,15.188434116492669,9.685121937866645,11.939003693300261,0.0,0.0
2024-06-04,35.37206588100465,2.7909681170656073,15.150608628237485,9.855184821582814,15.196113543189641,9.690018833978689,11.945040174941116,0.0,0.0
2024-06-05,35.08821058527023,2.7685710344942884,15.029027363880681,10.578582862779355,15.074167109008304,9.612257948565768,11.849183096001372,0.0,0.0
2024-06-06,35.09261078389981,2.668595100051416,15.018371672093869,10.579909458380534,15.17638059249165,9.613463363249132,11.85066902983359,0.0,0.0
2024-06-07,32.8669247965172,3.8617687245279475,14.676600359398185,9.908897649817757,18.58300023098576,9.003746667345268,11.099061571407878,0.0,0.0
2024-06-11,32.97536794887406,3.9216456456928275,14.725025236952396,9.941591675930034,18.26723281235884,9.033454182656616,11.135682497535223,0.0,0.0
2024-06-13,32.91331297266993,4.1024515127397905,14.69731482316411,9.92288300720987,18.232856465164055,9.016454500190147,11.114726718862103,0.0,0.0
2024-06-14,32.8669247965172,4.237609962924828,14.676600359398185,9.908897649817757,18.20715899258888,9.003746667345268,11.099061571407878,0.0,0.0
2024-06-19,32.851491115137335,4.188661968248502,14.669708507632647,9.904244620363377,18.292525445417084,8.9995186795384,11.093849663662652,0.0,0.0
2024-06-20,32.82066719575272,4.278559895538084,14.655944203575633,9.894951658997526,18.275361922224352,8.991074605042476,11.083440518869216,0.0,0.0
2024-06-21,32.77453961982768,4.272546623618469,14.635346109850984,9.881044868766763,18.39022124014726,8.9784381624614,11.067863375327448,0.0,0.0
2024-06-24,32.713237500340966,4.451597065000954,14.607971881368679,9.862563175347878,18.35582382212316,8.961644721716732,11.047161834101633,0.0,0.0
