date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,DAH SING SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,CHINA CITIC BANK INTERNATIONAL LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,FUTU SECURITIES INTERNATIONAL
2024-03-04,0.0,0.0,31.600660066006604,0.0,46.831683168316836,0.0,0.0,0.0,21.567656765676567
2024-03-06,0.0,0.0,32.34567901234568,0.0,46.13991769547325,0.0,0.0,0.0,21.51440329218107
2024-03-08,50.188249180861675,24.885524146773307,8.201558906730162,0.0,11.408917923357144,0.0,0.0,0.0,5.315749842277713
2024-03-13,50.19027656240461,24.88451128431592,8.201225096155802,0.0,11.40845357048373,0.0,0.0,0.0,5.315533486639939
2024-03-14,46.460135300657655,23.04256882808525,7.703469199314076,0.0,10.56400399494978,0.0,0.0,7.307743041815064,4.9220796351781715
2024-03-21,40.33469107326888,20.002944496245767,6.687278140387037,13.191343181037443,9.170469974317449,0.0,0.0,6.343753578380855,4.269519556362566
2024-03-22,40.336643056941426,20.00229008882273,6.68705936237384,13.190911618929219,9.157083735462026,0.0,0.0,6.343546038964226,4.282466098506535
2024-03-25,40.33136520501791,19.999672887260594,6.686184393451203,13.189185652835251,9.155885575963756,0.0,0.0,6.342716017075285,4.294990268396003
2024-03-26,40.33331697823136,20.00228971427637,6.685965686996058,13.188754231882635,9.155586085079241,0.0,0.0,6.342508545540781,4.291578757993556
2024-03-27,40.335268623763184,20.001635456701283,6.685746994848311,13.188322839152832,9.1552866137869,0.0,0.0,6.342301087578707,4.291438384168779
2024-04-03,40.304026966439224,20.012108716639666,6.689247786886588,13.195228511118748,9.160080506602524,0.0,0.0,6.345622044409536,4.293685467903719
2024-04-05,37.541148500365765,18.63874664715923,6.27590831504511,12.359790295049988,8.348573518653987,0.0,6.9205681541087545,5.910143867349427,4.005120702267739
2024-04-08,37.5441965374299,18.63874664715923,6.27590831504511,12.359790295049988,8.348573518653987,0.0,6.9205681541087545,5.910143867349427,4.002072665203609
2024-04-09,37.50951554459365,18.620017660850767,6.269602021862915,12.347370664717882,8.34018452544076,0.0,6.998873359520112,5.904205109466825,4.010231113547091
2024-04-10,35.180478611000055,17.4624478839454,5.879833228625278,11.579758981095436,7.878805185904392,6.159689302644354,6.5637672054372045,5.537152321663145,3.758067279684733
2024-04-11,35.180478611000055,17.46815923239477,5.879833228625278,11.579758981095436,7.878805185904392,6.159689302644354,6.5637672054372045,5.537152321663145,3.752355931235365
2024-04-12,35.18248800548321,17.469156956819738,5.880169065570025,11.580420379255198,7.8792551976239436,6.160041124057574,6.564142106465616,5.5374685857893535,3.7468585789353437
2024-04-15,35.180478611000055,17.473870580844135,5.879833228625278,11.579758981095436,7.878805185904392,6.159689302644354,6.5637672054372045,5.537152321663145,3.7466445827859953
2024-04-16,35.183175808800435,17.472373718625967,5.879329545130065,11.578767025498985,7.878130264698324,6.159161645869621,6.563204934182348,5.536677993204077,3.7491790639901774
2024-04-18,35.18418046830383,17.472872644203314,5.879497430039978,11.579097658480867,7.878355225585381,6.159337521416334,6.563392347230154,5.5368360936607655,3.7464306110793837
2024-04-19,35.18418046830383,17.4785836664763,5.879497430039978,11.579097658480867,7.878355225585381,6.159337521416334,6.563392347230154,5.5368360936607655,3.740719588806397
2024-04-22,35.18518518518518,17.479082783631743,5.879665324538108,11.579428310345813,7.878580199320369,6.1595134070076245,6.563579770981468,5.536994203146863,3.737970815842828
2024-04-26,35.18804077786344,17.479082783631743,5.879665324538108,11.579428310345813,7.878580199320369,6.1595134070076245,6.560724178303206,5.536994203146863,3.737970815842828
2024-05-06,35.117653778057004,17.479581929293506,5.956936432691759,11.579758981095436,7.878805185904392,6.159689302644354,6.552344508538466,5.537152321663145,3.7380775601119423
2024-05-07,35.12050945228168,17.479581929293506,5.956936432691759,11.579758981095436,7.878805185904392,6.159689302644354,6.549488834313781,5.537152321663145,3.7380775601119423
2024-05-08,35.14397531851682,17.485573901616867,5.918985316802834,11.583728503685082,7.86722276181226,6.161800834142719,6.551733988459121,5.539050448494544,3.747928926469748
2024-05-09,35.136794608179116,17.48058030614576,5.917294950879598,11.580420379255198,7.864976010966415,6.188599497372629,6.5498629198080875,5.5374685857893535,3.7440027416038384
2024-05-10,35.135482397281784,17.49136281871913,5.916112269080319,11.57810581617794,7.863404048767952,6.187362590297804,6.54855380749793,5.536361819375839,3.7432544328013018
2024-05-14,35.09279584913191,17.46443538501012,5.907004589902215,11.56028166604898,7.851298571713658,6.234854748125553,6.538472503349774,5.527838754739573,3.8230179319782196
2024-05-17,35.08679417381638,17.46144856483197,5.905994356240915,11.55830459196762,7.849955819057664,6.233788444545792,6.537354274149873,5.526893367157883,3.839466408231907
2024-05-20,35.08079455099889,17.458462766109037,5.904984468066916,11.556328194020917,7.877112485394283,6.232722505628545,6.536236427370401,5.5259483028869445,3.8274102995240673
2024-05-21,35.09179542733337,17.46393751069046,5.804207765551057,11.559952106733565,7.879582644392497,6.234677005530532,6.581047950282228,5.527681167683449,3.8571184218028396
2024-05-22,35.08864439630601,17.48660357997948,5.788963630144795,11.557975145365408,7.87823509291985,6.233610762740851,6.579922471782009,5.526735833998404,3.859309086763197
2024-05-23,35.10065009124087,17.49258667883212,5.762431569343065,11.561929744525548,7.880930656934307,6.235743613138686,6.582173813868613,5.528626824817518,3.85492700729927
2024-05-24,35.05267653758542,17.61389521640091,5.754555808656036,11.546127562642369,7.870159453302961,6.227220956719818,6.573177676537585,5.521070615034169,3.841116173120729
2024-05-27,35.05666932452443,17.61590158332384,5.755211299692448,11.547442761134526,7.8710559289212885,6.2279302881877205,6.573926415309261,5.521699510194783,3.830162888711698
2024-05-31,35.04170106174034,17.60838006319205,5.752753977968176,11.542512311064304,7.867695197973299,6.225271128063533,6.571119524067064,5.519341891776493,3.8712248441547352
2024-06-04,35.082652857996415,17.60036418470993,5.735909181437961,11.537257802941928,7.864113580106411,6.222437192363501,6.568128147494807,5.51682931686915,3.8723077360798928
2024-06-05,35.08065663319013,17.59936271302171,5.7355828046317106,11.536601325784519,7.863666107143873,6.222083131810293,6.567754416910865,5.516515405843694,3.877777461663205
2024-06-20,35.079658605974394,17.610241820768135,5.735419630156472,11.536273115220483,7.8634423897581796,6.221906116642958,6.567567567567567,5.516358463726885,3.869132290184922
2024-06-21,35.082652857996415,17.611744956895325,5.735909181437961,11.537257802941928,7.864113580106411,6.236663157595243,6.568128147494807,5.51682931686915,3.8467009986627594
