date,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),SUCCESS SECURITIES LTD,ICBC (ASIA) SECURITIES LTD
2024-03-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,90.01531945570875,0.0,9.98468054429125,0.0,0.0,0.0,0.0
2024-03-18,90.01711865933868,0.0,9.98288134066132,0.0,0.0,0.0,0.0
2024-03-20,89.99909739146132,0.0,10.000902608538677,0.0,0.0,0.0,0.0
2024-03-25,90.00045124317495,0.0,9.999548756825053,0.0,0.0,0.0,0.0
2024-03-27,80.24344193146668,10.854457076286506,8.902100992246817,0.0,0.0,0.0,0.0
2024-03-28,80.24582262210797,10.853149100257069,8.901028277634962,0.0,0.0,0.0,0.0
2024-04-12,80.3103392828429,10.781476121562953,8.908184595594147,0.0,0.0,0.0,0.0
2024-04-15,80.33010722460945,10.77065178105297,8.899240994337578,0.0,0.0,0.0,0.0
2024-04-18,80.3387925497752,10.765895953757225,8.895311496467565,0.0,0.0,0.0,0.0
2024-04-29,80.35456441520937,10.757259746510508,8.888175838280121,0.0,0.0,0.0,0.0
2024-04-30,73.88553882579261,9.884946912803818,8.19799489475047,8.031519366653102,0.0,0.0,0.0
2024-05-08,73.93471678605717,9.866331880954139,8.182556679713462,8.016394653275238,0.0,0.0,0.0
2024-05-09,73.96421324478878,9.85795978601734,8.175613355469471,8.002213613724406,0.0,0.0,0.0
2024-05-10,73.98820493918173,9.848875783265758,8.168079616660522,7.994839660892001,0.0,0.0,0.0
2024-05-13,65.83691832780532,8.774752881678763,7.277265114446159,7.122918787560343,6.991560211487307,0.0,3.996584677022101
2024-05-14,65.84364842236596,8.773024263716058,7.275831500147749,7.121515579341367,6.990182880782743,0.0,3.9957973536461235
2024-05-21,65.84701247537754,8.772160210111622,7.275114904793171,7.120814182534471,6.989494418910046,0.0,3.995403808273145
2024-05-27,65.8816960620094,8.726639734620816,7.278221171215554,7.123854566952409,6.9924787335369665,0.0,3.99710973166486
2024-05-30,65.88505747126436,8.725779967159278,7.277504105090311,7.123152709359607,6.991789819376026,0.0,3.9967159277504107
2024-06-04,65.88953832008931,8.724633874039535,7.276548236684836,7.122217114336377,6.990871478295134,0.0,3.996190976554804
2024-06-12,65.91639871382637,8.717763632784303,7.270818295163725,7.1166087013583565,6.985366493864427,0.0,3.9930441630028213
2024-06-21,65.92087133390197,8.71661964438029,7.26986418214028,7.115674824486582,6.984449839249393,0.0,3.9925201758414803
2024-06-26,65.90297380686667,8.721197400380753,7.273682137464715,7.119411803321736,6.988117901923456,0.0,3.9946169500426705
2024-07-03,66.00386543060242,8.671012546270514,7.25914763979428,7.105185573426802,6.97415402758214,0.0,3.9866347823238444
2024-07-15,62.55290228908591,8.177072070680548,6.845633437335887,6.700441753421273,6.576874362855642,5.387538228661456,3.7595378579592844
2024-07-16,62.55405906338811,8.176819473619178,6.84542196960336,6.700234770789572,6.576671197331027,5.387371802792536,3.7594217224762136
2024-07-18,62.5158477380253,8.185163424966758,6.852407310059062,6.707071956461238,6.583382293824794,5.392869290949009,3.763257985713844
2024-07-24,62.523965613210464,8.185416537819284,6.843342198033274,6.707279361741604,6.583585874203724,5.393036056651617,3.7633743583400334
2024-07-25,62.64787860018581,8.197584391452462,6.853515020130072,6.655311241870549,6.593372561164447,5.283369464230412,3.7689687209662432
2024-07-29,62.65134858947759,8.196822840863344,6.852878332765615,6.654692967516181,6.592760040875732,5.282878642430248,3.7686185860712844
2024-08-20,62.64556491575818,8.198092170465808,6.853939544103073,6.655723488602577,6.593780971258672,5.283696729435084,3.769202180376611
2024-08-28,62.70310420599796,8.16130729472935,6.849060691405404,6.65098573241311,6.589087307728018,5.279935625638328,3.766519142087834
