date,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,ADVENT SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,GAOYU SECURITIES LIMITED,INNOVAX SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD
2024-06-25,96370000.0,39700000.0,0.0,69490000.0,39940000.0,0.0,0.0,32045000.0,32950100.0,0.0
2024-06-27,117695000.0,47805000.0,0.0,76625000.0,40465000.0,0.0,0.0,37675000.0,35345100.0,105360000.0
2024-06-28,121710000.0,46810000.0,0.0,85015000.0,40470000.0,0.0,0.0,41880000.0,39335100.0,71070000.0
2024-07-02,123295000.0,47405000.0,0.0,80270000.0,41980000.0,0.0,0.0,0.0,38935100.0,71760000.0
2024-07-03,119050000.0,47980000.0,0.0,81180000.0,40520000.0,0.0,0.0,42880000.0,39195100.0,72370000.0
2024-07-04,117340000.0,49335000.0,0.0,0.0,40330000.0,0.0,0.0,41880000.0,39295100.0,72445000.0
2024-07-05,114995000.0,52460000.0,0.0,81555000.0,40355000.0,0.0,0.0,42030000.0,0.0,71110000.0
2024-07-09,112600000.0,51590000.0,0.0,80965000.0,40450000.0,0.0,0.0,0.0,39095100.0,71320000.0
2024-07-10,113935000.0,52280000.0,0.0,81555000.0,40435000.0,0.0,0.0,0.0,38795100.0,71130000.0
2024-07-11,113175000.0,0.0,0.0,81055000.0,40465000.0,0.0,0.0,42955000.0,0.0,71210000.0
2024-07-12,114885000.0,51580000.0,0.0,81075000.0,0.0,0.0,0.0,44930000.0,37895100.0,71130000.0
2024-07-15,114115000.0,50580000.0,0.0,79985000.0,40485000.0,0.0,0.0,44910000.0,0.0,71295000.0
2024-07-16,113830000.0,50850000.0,0.0,79175000.0,40425000.0,0.0,0.0,0.0,37995100.0,71540000.0
2024-07-22,114020000.0,49800000.0,0.0,0.0,40925000.0,0.0,0.0,42910000.0,0.0,72155000.0
2024-07-23,112445000.0,49855000.0,0.0,80575000.0,41395000.0,0.0,0.0,0.0,0.0,72085000.0
2024-07-24,108620000.0,46190000.0,0.0,80475000.0,41345000.0,0.0,0.0,50045000.0,39505100.0,71475000.0
2024-07-25,107380000.0,45385000.0,0.0,81950000.0,41330000.0,0.0,0.0,0.0,0.0,71500000.0
2024-07-26,106415000.0,46245000.0,0.0,81820000.0,0.0,0.0,0.0,50070000.0,0.0,70865000.0
2024-08-02,106345000.0,48630000.0,0.0,81090000.0,0.0,0.0,0.0,50030000.0,39705100.0,70565000.0
2024-08-30,103245000.0,0.0,0.0,0.0,41645000.0,0.0,0.0,53330000.0,39255100.0,70965000.0
2024-09-02,103275000.0,53915000.0,0.0,82800000.0,41650000.0,0.0,0.0,0.0,0.0,71010000.0
2024-09-13,107720000.0,53600000.0,0.0,83305000.0,37995000.0,0.0,0.0,50630000.0,53370100.0,68885000.0
2024-09-16,105975000.0,56005000.0,0.0,85755000.0,38065000.0,0.0,0.0,51570000.0,43820100.0,69775000.0
2024-09-17,104925000.0,57695000.0,0.0,85955000.0,38060000.0,0.0,0.0,50790000.0,43420100.0,69105000.0
2024-09-19,106705000.0,58265000.0,0.0,85775000.0,0.0,0.0,0.0,50885000.0,42420100.0,69135000.0
2024-09-23,106105000.0,58570000.0,0.0,0.0,38050000.0,0.0,0.0,0.0,42820100.0,68955000.0
2024-09-30,104135000.0,56065000.0,0.0,85275000.0,38080000.0,0.0,0.0,0.0,42240100.0,70845000.0
2024-10-03,101940000.0,55790000.0,0.0,0.0,38150000.0,0.0,0.0,50430000.0,43130100.0,0.0
2024-10-04,100610000.0,53385000.0,0.0,90435000.0,38160000.0,0.0,0.0,0.0,44330100.0,69540000.0
2024-10-07,100945000.0,52445000.0,0.0,91325000.0,38330000.0,0.0,0.0,50320000.0,45045100.0,67525000.0
2024-10-08,99140000.0,0.0,0.0,92485000.0,37995000.0,0.0,0.0,49640000.0,44680100.0,62910000.0
2024-10-09,99400000.0,53105000.0,0.0,92830000.0,39425000.0,0.0,0.0,0.0,45460100.0,65470000.0
2024-10-10,98875000.0,52765000.0,0.0,95265000.0,39540000.0,0.0,0.0,0.0,45420100.0,66295000.0
2024-10-14,99215000.0,52915000.0,0.0,96100000.0,39620000.0,0.0,0.0,0.0,46420100.0,66290000.0
2024-10-17,99790000.0,51500000.0,0.0,97100000.0,39610000.0,0.0,0.0,0.0,45420100.0,65905000.0
