date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES (INTERNATIONAL),FUTU SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,44.42274305555556,0.0,10.625,0.0,18.82378472222222,26.12847222222222
2024-03-04,91.6832269859737,0.0,0.0,0.0,3.6901208963528753,0.0,0.8845017090249525,0.0,1.567027741846903,2.175122666801558
2024-03-05,83.86346613279238,0.0,4.179375353058236,0.0,3.365709204139259,2.8273748570061064,0.8090392902330034,1.5318207149632233,1.4333347229332254,1.989879724874556
2024-03-06,83.86263466016466,0.0,4.193875327924531,0.0,3.3517953960449645,2.827346824718504,0.8090312689329594,1.5318055275752722,1.433320511994381,1.9901904826447228
2024-03-07,83.86180320402421,0.0,4.201434864860829,0.0,3.3418476640818615,2.8250054095167614,0.8143109814376689,1.531790340488472,1.4333063013373253,1.9905012342528732
2024-03-08,83.86152605564115,0.0,4.213979305769266,0.0,3.329608776223462,2.82499607337502,0.8143082902843286,1.531785278193126,1.4333015645142584,1.9904946559993955
2024-03-11,83.85958606825037,0.0,4.213881822845897,0.0,3.329531751640844,2.824930722110631,0.816602775017819,1.5317498430625622,1.4332684076294135,1.990448609442462
2024-03-12,83.85930893452156,0.0,4.213867897082164,0.0,3.3295207484199514,2.8249213864625395,0.816600076361856,1.5317447810348859,1.433263671056807,1.990772505060227
2024-03-13,83.84229037796868,0.0,4.200738025463212,0.0,3.3410305893883914,2.824314701662588,0.8534297876177032,1.514565290917364,1.4329558609748272,1.990675366007225
2024-03-14,83.84143918967213,0.0,4.19359173589463,0.0,3.3478031245426836,2.8271482100691254,0.8527267210544426,1.5144902322020786,1.4322240743010493,1.9905767122638574
