date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CITIBANK N.A.,QUAM SECURITIES LTD,YUE XIU SECURITIES CO LTD,CHINA MERCHANTS BANK CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ZHESHANG INTERNATIONAL FINANCIAL,FUTU SECURITIES INTERNATIONAL
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,38.27801929805959,0.0,61.7219807019404
2024-03-06,0.0,53.14487281399046,0.0,0.0,0.0,0.0,17.935214626391097,0.0,28.919912559618442
2024-03-07,0.0,53.18450753244171,0.0,0.0,0.0,0.0,17.898871376721523,0.0,28.916621090836774
2024-03-08,0.0,53.04766155829985,0.0,0.0,0.0,0.0,17.854485939592323,0.0,29.097852502107823
2024-03-12,0.0,53.0608195257466,0.0,0.0,0.0,0.0,17.858914574858616,0.0,29.08026589939478
2024-03-15,0.0,37.819107559578526,0.0,0.0,0.0,28.671946821299766,12.728944204794567,0.0,20.780001414327135
2024-03-18,0.0,37.83114632334736,0.0,0.0,0.0,28.681073816008208,12.732996144731723,0.0,20.75478371591271
2024-03-19,0.0,37.902682779884465,0.0,0.0,0.0,28.737994825814226,12.7405464790729,0.0,20.618775915228408
2024-03-20,80.1457246142377,7.521837593011971,0.0,0.0,0.0,5.717159213987313,2.52837832135372,0.0,4.086900257409309
2024-03-21,80.15248920337051,7.522472463319595,0.0,0.0,0.0,5.717641762910237,2.529998452600335,0.0,4.077398117799317
2024-03-22,80.13107192079431,7.519759232694851,0.0,0.0,0.0,5.7161139706916435,2.529322420048941,0.0,4.103732455770259
2024-03-25,80.18463660223618,7.5247859158299155,0.0,0.0,0.0,5.719934983147688,2.5310131792818593,0.0,4.0396293195043524
2024-03-26,80.17335387689342,7.523727108353208,0.0,0.0,0.0,5.719130135010588,2.5306570421494756,0.0,4.053131837593308
2024-03-27,80.16207432627307,7.522668598802733,0.0,0.0,0.0,5.718325513340884,2.5303010052266157,0.0,4.066630556356704
2024-03-28,78.94457842119803,7.9843508515197446,0.0,0.0,0.0,6.069271373854872,2.68559098680723,0.0,4.316208366620127
2024-04-02,78.92572162216632,7.982443699661862,0.0,0.0,0.0,6.067821660234831,2.6849495032432875,0.0,4.339063514693698
2024-04-03,78.93455962494588,7.983337563641251,0.0,0.0,0.0,6.069994177105573,2.6837571106499243,0.0,4.328351523657375
2024-04-05,78.96875186712074,7.986795722052936,0.0,0.0,0.0,6.075610921909542,2.6386150445121586,0.0,4.330226444404612
2024-04-08,78.95577890948192,7.985483654176437,0.0,0.0,0.0,6.074612822772144,2.638181573798892,0.0,4.345943039770606
2024-04-09,78.9616751799743,7.985333213848314,0.0,0.0,0.0,6.075066463542134,2.638378588284494,0.0,4.339546554350749
2024-04-10,78.96108551329635,7.985273581312683,0.0,0.0,0.0,6.075021096416223,2.6383588855118028,0.0,4.340260923462949
2024-04-11,78.9616751799743,7.985333213848314,0.0,0.0,0.0,6.075066463542134,2.6376318069122084,0.0,4.340293335723034
2024-04-12,78.94457842119803,7.983604231840342,0.0,0.0,0.0,6.0730044722518794,2.637060707646132,0.0,4.361752167063619
2024-04-15,78.9457572703177,7.983723447941165,0.0,0.0,0.0,6.073095158099078,2.6371000858625453,0.0,4.36032403777952
2024-04-16,74.8276789379078,7.5665576833255495,0.0,0.0,5.217046692992513,5.756301926315938,2.4995400053783987,0.0,4.132874754079798
2024-04-17,74.82238387726797,7.566022248011548,0.0,0.0,5.216677517053978,5.755894590846047,2.499363129440403,0.0,4.139658637380056
2024-04-18,74.82344282944365,7.5661293290119875,0.0,0.0,5.216751348061764,5.75597605332805,2.4993985026253593,0.0,4.1383019375291905
2024-04-19,74.81656017604563,7.5718015665796345,0.0,0.0,5.216271483863664,5.755446588408443,2.4991685948191074,0.0,4.140751590283527
2024-04-22,74.81603079361486,7.571747990490207,0.0,0.0,5.216234574889619,5.755405864372241,2.4991509113551453,0.0,4.141429865277935
2024-04-23,74.83721193590397,7.573891625615764,0.0,0.0,5.217711341373648,5.757035275465715,2.4998584451616557,0.0,4.114291376479248
2024-04-25,74.81020808127977,7.5711587035425465,0.0,0.0,5.215828610645328,5.754957938007203,2.4989564097665893,0.0,4.148890256758573
2024-04-26,74.81920720057741,7.5734846662232345,0.0,0.0,5.232730926536562,5.755650217234401,2.3917012213243516,0.0,4.227225768104046
2024-04-29,74.82556082372089,7.574127804118605,0.0,0.0,5.23317528837308,5.756138985209822,2.391904323827047,0.0,4.219092774750548
2024-04-30,74.82503131391044,7.573366546128751,0.0,0.0,5.2331382553375185,5.835356058622471,2.3918873973009886,0.0,4.141220428699818
2024-05-02,74.81550141867557,7.571694415158955,0.0,0.0,5.232471750313099,5.834612853695987,2.3915827607921942,0.0,4.154136801364193
2024-05-03,74.81814836828848,7.571962299397129,0.0,0.0,5.232656873567122,5.834819280518524,2.3916673742605643,0.0,4.150745803968187
2024-05-06,74.81761896338227,7.57190872103308,0.0,0.0,5.2326198478683885,5.834777993985495,2.391650451087918,0.0,4.1514240226428445
2024-05-07,74.82556082372089,7.572004812115207,0.0,0.0,5.23317528837308,5.835397353336635,2.391904323827047,0.0,4.141957398627132
2024-05-08,74.81920720057741,7.570654250576697,0.0,0.0,5.232730926536562,5.834901855337456,2.3917012213243516,0.0,4.150804545647528
2024-05-09,74.88120109061293,7.576927162635884,0.0,0.0,5.24344038808824,5.756878297510712,2.393682943238554,0.0,4.147870117913672
2024-05-13,74.87695892021273,7.582871265393412,0.0,0.0,5.243143336661639,5.756552158795579,2.393547336293401,0.0,4.146926982643241
