date,ICBC INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,HSBC BROKING SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,NANYANG COMMERCIAL BANK LTD,CHINA MERCHANTS BANK CO LTD
2024-03-04,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,33.33430572508318,33.354169854345564,10.646462975245614,7.111855959816489,7.350767589185272,0.0,4.540489230033148,3.661948666290724,0.0
2024-03-06,0.0,33.33469516500183,33.353391240658986,10.646587356347448,7.111939046610895,7.350853467150021,0.0,4.540542275918398,3.661991448312419,0.0
2024-03-07,0.0,33.33664250109618,33.355339668934995,10.647209305452966,7.112354509705359,7.3512828870745155,0.0,4.534965754319729,3.6622053734162536,0.0
2024-03-08,0.0,33.32690809513787,33.37480012235635,10.644100286369865,7.110277679499237,7.349136289019992,0.0,4.5336415298523685,3.66113599776433,0.0
2024-03-13,0.0,33.318541828954125,33.36408400025394,10.640868832019446,7.137310516374286,7.346905156487036,0.0,4.532265156532809,3.660024509378356,0.0
2024-03-14,0.0,33.318541828954125,33.34656912782113,10.640868832019446,7.154825388807106,7.346905156487036,0.0,4.532265156532809,3.660024509378356,0.0
2024-03-15,0.0,33.30608458135151,33.34929496817422,10.641738645928733,7.1624167655880475,7.347505712738241,0.0,4.5326356363626,3.6603236898566456,0.0
2024-03-18,0.0,33.30044600752679,33.34364907902081,10.63993704631915,7.178133760646343,7.346261812294534,0.0,4.531868281058683,3.6597040131336964,0.0
2024-03-19,0.0,33.33313743245904,33.367608586501234,10.566963263316609,7.183291700892361,7.3515405631123505,0.0,4.535124713242307,3.6623337404761065,0.0
2024-03-20,0.0,33.36583653883872,33.35124226985178,10.56178032470888,7.1797684029533615,7.347934741604188,0.0,4.532900301897116,3.660537420145951,0.0
2024-03-21,0.0,33.363891061327934,33.352216005971854,10.562088690643535,7.1799780263242425,7.348149274826307,0.0,4.533032646255294,3.660644294650836,0.0
2024-03-22,0.0,33.36973671787588,33.34053870927421,10.563939264451037,7.181236023644956,7.349436737276196,0.0,4.5338268747198915,3.6612856727578262,0.0
2024-03-26,0.0,33.4117374426819,33.31952233139674,10.557280231692378,7.176709295051387,7.344803982508674,0.0,4.5309689539267985,3.658977762742123,0.0
2024-03-27,0.0,33.409794133681416,33.32049472690838,10.557588334906173,7.176918739827859,7.3450183329533,0.0,4.531101185530552,3.659084546192327,0.0
2024-04-02,0.0,33.410574175893224,33.31893791310199,10.557834830425518,7.177086304451137,7.345189822317266,0.0,4.5312069763707035,3.6591699774401576,0.0
2024-04-03,0.0,33.455402330825265,33.284273976242204,10.564617970669822,7.18169739978749,7.349908919886612,0.0,4.5901886682604,3.573910734328209,0.0
2024-04-09,0.0,33.56486367259312,33.290884981537985,10.566716341371908,7.066287088966973,7.351368777080058,0.0,4.585258545081165,3.5746205933687922,0.0
2024-04-10,0.0,33.56917799789043,33.09008922486059,10.568074554891432,7.253573949523282,7.352313699621504,0.0,4.591690509005515,3.5750800642072464,0.0
2024-04-11,0.0,33.570342361404215,33.089509239676005,10.567889323397196,7.2534468128027525,7.352184832244046,0.0,4.591610028338045,3.5750174021377403,0.0
2024-04-12,0.0,33.59249838451434,33.07903733585943,10.566037365522378,7.25217569067671,7.350896406884874,0.0,4.584963914307007,3.5743909022352622,0.0
2024-04-15,0.0,33.53814556428604,33.10611167122672,10.574685393463243,7.258111408660225,7.3569129252179035,0.0,4.588716588527919,3.577316448617956,0.0
2024-04-16,0.0,33.554854968882694,33.06754730717989,10.581614015083339,7.262866983484059,7.361733235615256,0.0,4.591723153714569,3.57966033604019,0.0
2024-04-18,0.0,33.5568180676021,33.0694818963722,10.576382667214874,7.263291891441124,7.3621639276596955,0.0,4.591991788636439,3.5798697610735597,0.0
2024-04-22,0.0,33.5727276367957,33.0845750963877,10.534571498431761,7.266735479110474,7.365654391391558,0.0,4.594168890498438,3.581567007384373,0.0
2024-04-23,0.0,33.564950497347006,33.08844855596193,10.535804859800681,7.26758625038479,7.366516743845525,0.0,4.594706764339123,3.5819863283209448,0.0
2024-04-24,0.0,33.83031264298403,32.543758925491,10.607894998213883,7.333612674174482,7.433441956650157,0.0,4.636449929890899,3.6145288725955425,0.0
