date,EVERBRIGHT SECURITIES INVESTMENT,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,DBS BANK LTD,UBS SECURITIES HONG KONG LTD,SINOPAC SECURITIES (ASIA) LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.
2024-03-01,0.0,76.18946747791378,0.0,0.0,0.0,0.0,0.0,0.0,23.810532522086213
2024-03-04,0.0,36.12885809392967,36.86277970445731,0.0,0.0,0.0,15.740591935158191,0.0,11.267770266454825
2024-03-05,0.0,36.10650561488017,36.92126583943401,0.0,0.0,0.0,15.727256403662887,0.0,11.244972142022934
2024-03-06,0.0,31.567102069648058,32.265591429564545,0.0,0.0,0.0,13.759419315962354,12.57792002745481,9.82996715737023
2024-03-07,0.0,26.189084179982203,26.78992448069122,16.99045210485943,0.0,0.0,11.424362239801978,10.444415002218799,8.161761992446374
2024-03-08,0.0,26.19101140925154,26.789224986232856,16.990008478110838,0.0,0.0,11.424063945639826,10.444142294827625,8.16154888593731
2024-03-11,0.0,26.226616054227375,26.78558820380239,16.987701992411516,0.0,0.0,11.422513067065946,10.442724445926858,8.13485623656591
2024-03-12,0.0,26.24141377429567,26.800701310094293,16.997286883507172,0.0,0.0,11.431570091945972,10.448616495163469,8.08041144499343
2024-03-13,0.0,26.19611350226123,26.809945495772762,17.003149643371675,0.0,0.0,11.43551310654487,10.471557074050661,8.083721177998799
2024-03-14,0.0,26.195565898601213,26.80938506056633,17.00279420946444,0.0,0.0,11.435274058533766,10.480744978355903,8.076235794478345
2024-03-18,0.0,26.180379024387783,26.81995718088071,16.992936842842337,0.0,0.0,11.428644460631766,10.510707269874263,8.067375221383143
2024-03-19,0.0,26.06895394672796,26.84766887018388,17.00883860756368,0.0,0.0,11.421564514484322,10.570730494696098,8.082243566344061
2024-03-20,0.0,25.99582748673176,26.842336408288354,17.005460326037614,0.0,0.0,11.428704249545886,10.660100302736657,8.067571226659728
2024-03-21,0.0,25.98435730806208,26.846686415382987,17.008216191694782,0.0,0.0,11.430556358982704,10.66182785399155,8.068355871885897
2024-03-22,0.0,25.989791947683692,26.852301411512098,17.01177346750163,0.0,0.0,11.436084321329702,10.67765255816354,8.032396293809333
2024-03-25,0.0,25.990199637299742,26.852722630907564,17.01204032317355,0.0,0.0,11.436263713794077,10.67782005346633,8.030953641358733
2024-03-26,0.0,25.983406479796017,26.845704032482722,17.007593821377185,0.0,0.0,11.433274573974215,10.701166531962881,8.02885456040698
2024-03-27,0.0,25.977702971185916,26.83981124455238,17.003860555768895,0.0,0.0,11.417699081961125,10.736969763568963,8.02395638296272
2024-03-28,0.0,25.967934826439077,26.844300753049417,17.006704799931118,0.0,0.0,11.416995324656387,10.738765741809896,8.025298554114107
2024-04-02,0.0,25.905779397529837,26.857356916594266,17.014976288217206,0.0,0.0,11.448696892992375,10.74398871569492,8.029201788971395
2024-04-03,0.0,25.909461569058102,26.854126791005346,17.012929902548123,0.0,0.0,11.447319961937367,10.742696539663397,8.033465235787665
2024-04-05,0.0,25.967937277106873,26.854400812808176,16.999862446633212,0.0,0.0,11.438527393590626,10.719814905643984,8.019457164217126
2024-04-08,0.0,25.968751413025604,26.85524274076127,17.0003954192172,0.0,0.0,11.438886009521847,10.735304253505989,8.001420163968096
2024-04-09,0.0,25.958515349557203,26.92907290608197,16.981052175586335,0.0,0.0,11.433699692161735,10.723089501995428,7.974570374617329
2024-04-10,0.0,22.32452666693244,23.159213772903605,14.603837970761097,0.0,13.992034339159826,9.833071354125648,9.238100177539085,6.849215718578301
2024-04-11,0.0,22.310878318861434,23.163684645498304,14.60665723309017,0.0,13.994735493157732,9.834969622765938,9.239883587343746,6.849191099282679
2024-04-12,0.0,22.219039939678428,23.183564518450257,14.619193170031576,0.0,14.024719754818674,9.843410332850675,9.247813574071612,6.862258710098777
2024-04-15,0.0,22.218041599915068,23.18252284093503,14.618536304483401,0.0,14.024089599985738,9.842968051457374,9.24739805386731,6.866443549356083
2024-04-16,0.0,22.21574575888975,23.18012733785843,14.617025737711483,0.0,14.031625874910253,9.841950955069207,9.248239582320297,6.86528475324058
2024-04-17,0.0,22.21424872686861,23.178565319943054,14.616040753645649,0.0,14.037418946647168,9.841287744574718,9.247616379707873,6.864822128612924
2024-04-18,0.0,22.211355036983253,23.175546015493552,14.614136827484886,0.0,14.035590393373912,9.840005791034198,9.25943803785995,6.863927897770253
2024-04-22,0.0,22.209009368037368,23.175441915576787,14.614071183705606,0.0,14.042265048255867,9.839961591696538,9.2593964463165,6.859854446411336
2024-04-23,0.0,22.202826067530506,23.1689895466589,14.610002420787815,0.0,14.038355484206813,9.832731458637786,9.282863686569101,6.864231335609082
2024-04-24,0.0,22.185510691501236,23.129717118709607,14.610724132748606,0.0,14.046683268733476,9.851180265499918,9.311165027459953,6.865019495347205
2024-04-25,0.0,19.37885656270942,20.203612917110977,12.762344359930214,12.650843011096338,12.26965942014007,8.60492291537142,8.13322415733189,5.996536656309672
2024-04-26,0.0,19.272568300169397,20.21844386745735,12.771712867250265,12.660129668156491,12.278666260172768,8.658345930736298,8.13919454708981,6.000938558967618
