date,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,MIB SECURITIES (HONG KONG) LTD,CITIBANK N.A.,UOB KAY HIAN (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,3.279135338345865,3.2772556390977448,0.0,0.0,0.0,0.0,0.0,0.48355263157894735,7.039943609022556
2024-03-04,3.279135338345865,3.2828947368421053,3.136466165413534,0.0,0.0,0.0,0.0,0.48355263157894735,10.18204887218045
2024-03-05,3.279135338345865,3.2927631578947367,3.136466165413534,0.0,0.0,0.0,0.0,0.48355263157894735,10.191917293233082
2024-03-06,3.279135338345865,3.2932330827067666,3.136466165413534,0.0,0.0,0.0,0.0,0.48355263157894735,10.192387218045113
2024-03-07,3.279135338345865,3.2927631578947367,3.136466165413534,0.0,1.5784774436090225,0.0,0.0,0.48355263157894735,11.770394736842105
2024-03-13,3.279135338345865,3.292293233082707,3.136466165413534,0.0,1.5784774436090225,0.0,0.0,0.47556390977443613,11.761936090225564
2024-03-15,3.295112781954887,3.282424812030075,3.136466165413534,0.0,1.5784774436090225,0.0,0.0,0.47556390977443613,11.768045112781955
2024-03-18,3.295112781954887,3.2828947368421053,3.136466165413534,0.0,1.5784774436090225,0.0,0.0,0.475093984962406,11.768045112781955
2024-03-19,3.295112781954887,3.283364661654135,3.135996240601504,0.0,1.5784774436090225,0.0,0.0,0.47039473684210525,11.763345864661655
2024-03-20,3.295112781954887,3.283834586466165,3.135526315789474,0.0,1.5780075187969926,0.0,0.0,0.47039473684210525,11.762875939849623
2024-03-22,3.295112781954887,3.289003759398496,3.135526315789474,0.0,1.5775375939849623,0.0,0.0,0.46616541353383456,11.763345864661655
2024-03-26,3.295112781954887,3.3087406015037595,3.135526315789474,0.0,1.5728383458646615,0.0,0.0,0.4591165413533834,11.771334586466166
