date,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),BOCI SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CLSA LTD,UOB KAY HIAN (HONG KONG) LTD
2024-12-06,6.731743298406243,0.007623858456328087,0.0008232864901064354,0.01070272437138366,1.4184334142871315,1.2083461527310302,0.0,0.0,1.6788761481683088,0.9666769447406184
2024-12-09,44.91072502492675,0.05086245799690187,17.10556603979289,0.07140306603411224,9.463057370339593,10.748618034662885,0.0,0.0,11.200597185449142,6.449170820797731
2024-12-10,35.79393939553324,5.49973601127525,13.588338464242605,15.015763297027432,7.543180756680334,8.53846152191006,0.0,0.0,8.897503640185041,5.123076913146036
2024-12-11,33.182720144194,18.70281047853927,11.257221362348893,12.460293826451672,6.327860621679983,7.07294924766054,0.0,0.0,6.722668385174459,4.273475933951179
2024-12-12,37.50070752402207,17.80587951890393,10.627496617833241,11.767718356643812,6.053883918306156,6.669957294379956,0.0,0.0,5.5396996041745385,4.034657165736296
2024-12-13,37.45227901884087,17.79131964694368,10.642983575332728,11.785666808033072,6.0596933313920065,6.679706459432596,0.0,0.0,5.547796724350803,4.040554435674249
2024-12-16,37.32331581317973,17.843001476266767,10.656953577752288,11.813917299310788,6.072756622108693,6.688738727470023,0.0,0.0,5.55529842930383,4.046018054607876
2024-12-17,37.28709738736166,17.85659786863654,10.659328951542557,11.813266068171128,6.0894508443981294,6.690464764612544,0.0,0.0,5.5567319808024696,4.047062134474964
2024-12-18,37.2075332267113,17.89404787963144,10.671943949725923,11.830200703182921,6.083200477784363,6.69838273029642,0.0,0.0,5.5633082075201115,4.051382825147525
2024-12-19,37.09968519826415,18.03507760780746,10.665712722864564,11.826110935624317,6.070437826175686,6.694236324199196,0.0,0.0,5.559864430715889,4.048874954348741
2024-12-20,37.09535635680055,18.02666201297585,10.66849728879185,11.83055773883498,6.071694571054913,6.695984031348442,0.0,0.0,5.561315980130014,4.049932020063398
2024-12-23,37.077441998034125,18.031246565800544,10.671918560737383,11.834310815399675,6.073193803490906,6.697895944305589,0.0,0.0,5.562903909854968,4.0510884023768075
2024-12-27,36.996801372273595,18.110128267991556,10.671003140699222,11.832398881436005,6.078606009495465,6.697556806210963,0.0,0.0,5.562622240410077,4.050883281483117
2024-12-30,36.955817223404516,18.11346185477838,10.676228700128048,11.8408199008141,6.094622512641796,6.700836580441871,0.0,0.0,5.56534624046088,4.052866987330405
2025-01-02,36.65210382582211,17.953421205808173,10.588891617515756,11.745072390100646,6.044207076909718,7.4767726238944014,0.0,0.0,5.51981882455199,4.019712435397206
