date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,CCB INTERNATIONAL SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,ELSTONE SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-01,70.10418498528568,18.220463781023437,4.267909271644194,1.513895461756132,2.2024478379439487,2.2585144162522646,1.4325842460943337,0.0,0.0
2024-03-04,70.29219817204064,17.997798115231596,4.304398799774614,1.5027655112854663,2.206506777137936,2.2626766817671973,1.4336559427625535,0.0,0.0
2024-03-05,70.5411410472904,17.750505908888783,4.288394474386288,1.4845613391692,2.210637151585044,2.2669122010256335,1.4578478776546444,0.0,0.0
2024-03-06,68.79936463481735,17.271159606833695,4.159988962360509,1.4988216648136508,2.1553042134600693,2.210170680842566,1.4309327898150639,0.0,2.474257447057097
2024-03-07,68.87686716948188,17.192144355522277,4.11052106356519,1.5113351586696908,2.1575850248300927,2.212509553650904,1.462161889411268,0.0,2.4768757848687013
2024-03-08,68.92668335215464,17.115753517005405,4.1134940569169185,1.5124282535132583,2.1591455291640727,2.214109782938608,1.4797182874798964,0.0,2.4786672208272087
2024-03-11,69.05963611672267,16.93790566828651,4.200622134079669,1.4749799320868668,2.124866835114911,2.2183805820309543,1.5001604065904675,0.0,2.483448325087941
2024-03-12,69.11567299089377,16.951248506217333,4.0933191252636565,1.4967253074283375,2.1265406993080855,2.220128111693393,1.5109605972875622,0.0,2.4854046619078622
2024-03-13,69.12750818823852,16.94683993073509,4.101812324899852,1.5043890692993078,2.1269048428915713,2.2205082809545096,1.4862071065101041,0.0,2.485830256471039
2024-03-14,69.12724218422898,16.946486117488703,4.101796541045443,1.4992846543504208,2.1268966585199522,2.2204997363950216,1.491973417024105,0.0,2.485820690947377
2024-03-15,69.12557970554954,16.942615427826496,4.1014093001747804,1.4992485972375735,2.1268455076243513,2.2204463343880447,1.4980942191068805,0.0,2.485760908092326
2024-03-18,69.14317526216163,16.92589842180919,4.102510384897385,1.4950323408033463,2.1274164911386486,2.221042446445442,1.4984964049256941,0.0,2.4864282478186563
2024-03-19,69.09599623135712,16.871685573164005,4.098527414983696,1.618328699313938,2.1283462740545986,2.222013148388812,1.4775877226678744,0.0,2.4875149360699638
2024-03-20,69.12307885104177,16.85576345187048,4.068546216019085,1.6334085821454705,2.1291804930519547,2.2228840807194,1.4786483916196893,0.0,2.4884899335321595
2024-03-21,69.1430600256717,16.861009381341212,4.060202269350772,1.644715717479909,2.110588452777328,2.22358860135133,1.4675569167743767,0.0,2.4892786352533736
2024-03-22,69.12851866660638,16.85968314346659,4.083695942206815,1.6431883891718884,2.1104827305878127,2.223477218833716,1.4617999651590694,0.0,2.4891539439677333
2024-03-25,69.108727114658,16.85209640766411,4.082441444433614,1.6608842873150411,2.1098343973320133,2.222794174047995,1.4748328903710706,0.0,2.4883892841781563
2024-03-26,69.1333785642505,16.844055924699532,4.103845907118887,1.6453153810565864,2.110987039328224,2.2240085280831647,1.4486599176730952,0.0,2.4897487377900087
2024-03-27,69.10366668702441,16.836838448637238,4.10424737847679,1.6570397708557214,2.1351876740300693,2.22422609856314,1.4488016372886585,0.0,2.489992305123973
2024-04-02,69.09721467407294,16.837579198970033,4.0953408672227845,1.656311734868176,2.1353671624605246,2.22441307175349,1.463571671463489,0.0,2.490201619188553
2024-04-03,69.10102931834717,16.83529812423017,4.0940307421534525,1.6562105770363984,2.1347549259956557,2.2242772176152994,1.4643495623811664,0.0,2.490049532240678
2024-04-05,69.11388331200537,16.814719793015723,4.094792303098568,1.661626910801914,2.1351520275519023,2.224690971875277,1.4646219568762113,0.0,2.490512724775026
2024-04-08,69.11428299467084,16.81481703182946,4.065901194479653,1.6774432710376646,2.1351643750458162,2.2247038371691206,1.477160168462609,0.0,2.4905271273048295
2024-04-09,69.1150157582305,16.81499530590899,4.06594430198368,1.673509325953363,2.1351870124889047,2.224727423927635,1.4800673391314776,0.0,2.490553532375448
2024-04-10,69.0677264982183,16.817298744083722,4.066547903031531,1.670576630544896,2.135503987101043,2.2250576910696642,1.5263652837881063,0.0,2.4909232621627297
2024-04-12,67.59446600526594,16.458008538550793,3.9798057345544895,1.650225480830322,2.0899522682845943,2.1775957322504853,1.4938068982087422,2.1183491279764493,2.4377902140781798
2024-04-15,67.59790974916511,16.4587526802824,3.9785932962310624,1.646724386825159,2.090058745349934,2.1777066744985865,1.4938830033797166,2.1184570517802292,2.437914412487803
2024-04-16,67.65884535173463,16.38435819000696,3.981951905440991,1.6481145021950927,2.091823110297232,2.1795450292005922,1.4951440946348744,2.1202453897266307,2.439972426762988
2024-04-17,67.66977190613306,16.38502090934607,3.968428756099472,1.6483806641827747,2.092160928935545,2.179897014476155,1.4953855526910766,2.1205877984164103,2.440366469719428
2024-04-18,67.68639214470893,16.36448440003243,3.9694034340219746,1.6487855196910886,2.09267478043524,2.180432414661952,1.4957528313732495,2.121108631783185,2.440965843291952
2024-04-19,67.69099611586917,16.365597498424037,3.9635328113787156,1.6482363713532227,2.092817122404307,2.180580725831093,1.4958545712160787,2.121252907798777,2.44113187572461
2024-04-24,67.69090745048733,16.365312377125242,3.9635552778519276,1.648529128793139,2.092828985109135,2.1805930860059157,1.4958630501610635,2.121264931686025,2.4411457127802123
2024-04-25,67.67379660088815,16.34978924283554,3.960739511491043,1.6469654348985754,2.090843855547744,2.178524708786757,1.5412576247503573,2.119252829525078,2.438830191276744
2024-04-26,67.66453644779864,16.347552017218323,3.9601975431655423,1.6464569649853262,2.0905577546466403,2.178226610064269,1.5550133472246348,2.1189628412781865,2.438496473618435
2024-04-29,67.69776062033853,16.35763208005811,3.940637891617994,1.6474721866926851,2.0918468133090533,2.1795697262131344,1.524811192222931,2.120269414798966,2.440000074748609
2024-04-30,67.7126643097359,16.364771275076727,3.912316790313615,1.6489469641890218,2.092759787893406,2.1805209869613864,1.5257600927308446,2.121194794265271,2.44106499883382
2024-05-02,67.59086493112689,16.324757082006716,3.905076233444454,1.9486731979376177,2.0976139706128034,2.1758550094231857,1.4406720435410514,2.1166557656003904,2.399831766306882
2024-05-03,67.60265698641271,16.327650679137896,3.905768416325301,1.9291248869413407,2.0979857770499346,2.1762406842471056,1.443284481173845,2.11703094723527,2.400257141476597
2024-05-06,67.74528383229502,16.362098457092863,3.942353316090802,1.6709130612823138,2.102412068965454,2.1808320769306397,1.4692886070682083,2.121497420301559,2.4053211599731497
