date,BOCOM INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD,CITIBANK N.A.
2024-03-01,41.52086821717643,31.225832516763724,19.56045084446596,0.0,0.0,0.0,0.0,0.0,2.6742748209470504,5.018573600646835
2024-03-04,35.80703558789429,26.969255585922564,16.868668444975008,10.761845456082836,0.0,2.9589864166833575,0.0,0.0,2.3062584622410998,4.327950046200848
2024-03-05,35.80656960273348,26.970638052015474,16.868448919704374,10.76170540371036,0.0,2.958731229279617,0.0,0.0,2.306013069379107,4.3278937231775885
2024-03-06,35.79640877366136,26.962984594947315,16.88315780709536,10.758651554923816,0.0,2.959191339988731,0.0,0.0,2.305358692126664,4.3342472372567595
2024-03-07,34.96189385056724,26.35034726521938,16.499548467413714,10.514199701425486,0.0,2.8993636818427633,0.0,2.2856906906361774,2.252977666271158,4.235978676624076
2024-03-08,33.012952088239174,24.88455292720281,15.57978539035784,9.928088348786822,5.573773994233852,2.735340655132135,0.0,2.15827545215438,2.1273860069017947,3.9998451369911856
2024-03-11,32.09496242787093,24.192589293384177,15.145688375481873,9.652018446675415,5.418784313751478,2.6579188028680742,2.7829264497850623,2.098260384613354,2.068229880762937,3.8886216248067
2024-03-12,32.095533580857136,24.19155500439541,15.146401163029077,9.651605800625928,5.419524291550512,2.662274730008934,2.7783379139611815,2.098170679142598,2.0681414591654814,3.888455377263734
2024-03-13,31.829423342331324,23.99097817159991,15.020819439449154,9.570040742048977,5.374589973873951,2.6465609742764333,2.755302180246803,2.081352495064824,2.0509941007762786,4.679938580332344
2024-03-14,31.8158114966337,24.0733758862324,15.010543088744877,9.565948116288855,5.372291531686496,2.6356047863749335,2.7541238758922293,2.080462405140779,2.050116993612688,4.6417218193930445
2024-03-15,31.819489225653935,24.07615863320465,15.013626824280168,9.566475914232777,5.372912538397997,2.611634627571301,2.7713960796096493,2.075693805081758,2.050353975616529,4.642258376351236
2024-03-18,31.796683251846215,24.079216117864032,15.033081151024888,9.559735099127632,5.369126629112053,2.6302016786053963,2.7694432739241224,2.0742312113031924,2.0489092370133446,4.639372350179124
2024-03-20,31.798581044590087,24.081615956910365,15.026277082530063,9.560305674233243,5.369447086735792,2.6311287949884203,2.769608568816932,2.0743550122956025,2.0490315266575836,4.639649252241913
2024-03-21,31.795550499982888,24.079320873011227,15.024845012246333,9.558529181527895,5.368935354816385,2.63646096286542,2.7741574802009374,2.0741573171409944,2.048836244942516,4.639207073265406
2024-03-22,31.794326325005123,24.07839378410631,15.0261916066253,9.558161164240435,5.36872864298988,2.6348193970541525,2.7775158021091326,2.0740774590650166,2.048757361764677,4.639028457039976
2024-03-25,32.05821710462119,24.278242840275595,15.141590947198589,9.637493261909187,5.413288731247875,2.656688221627716,2.80056899729,2.10022099658713,2.0657619106868235,3.847926988555889
2024-03-26,32.058230856711575,24.278253254971734,15.133833236159761,9.636332765173298,5.418920103012851,2.663483041841669,2.798974460143959,2.100221897523975,2.0638217452508067,3.8479286392103704
2024-03-27,31.79478607364732,24.07845038083785,15.009286245670303,9.557028584498855,5.374323986483662,2.6415633608259914,2.775939724659042,2.0829376898407768,2.046837100100659,4.6388468534355365
2024-03-28,31.79472486634397,24.064736005474355,15.009257351689568,9.557010186515415,5.387981663088719,2.641558275622097,2.775934380770757,2.0829336800324154,2.04683315978859,4.639030430674117
2024-04-02,31.793929192844654,24.064133777501382,15.008881740063131,9.556771019176491,5.387846827066638,2.6393746417840496,2.7758649120953116,2.087501614951956,2.0467819371121987,4.638914337404188
2024-04-03,32.061385750789036,24.223015745571757,15.128733274691564,9.686344009482575,5.433170415678741,2.669342437904589,2.7806857186049823,2.1050620741594965,2.063999854672573,3.848260718444686
2024-04-05,32.0626928057376,24.238368858628508,15.127602863322503,9.686738895217381,5.429315184855631,2.656832821108526,2.780799079551298,2.105147891778936,2.0640839982977064,3.848417601501909
2024-04-08,32.06698816529537,24.2416160128826,15.11196129015781,9.68803660363973,5.430042536766236,2.6564121270967136,2.7811716163178435,2.1102838090145704,2.0643605185196305,3.8491273203095013
2024-04-09,32.03638551405417,24.21848138868461,15.10723794268008,9.678790970596022,5.424860456767922,2.6214839393914136,2.7785174467220775,2.2263979510767538,2.0623904268896114,3.8454539631373454
2024-04-10,32.03570197598288,24.21796465579505,15.106915610053598,9.678584460966231,5.424744710294214,2.6235616370462607,2.7784581634282204,2.2263504479724876,2.062346423099796,3.845371915361263
2024-04-11,32.00931486638522,24.198016846064395,15.104162704734108,9.670612421860822,5.420276466292032,2.6648133532292384,2.8052406035657307,2.2245166516249784,2.0608415199308,3.8422045663126765
2024-04-12,32.0088806190393,24.19768856897894,15.120431138101576,9.67048122761955,5.420202933300795,2.6578002573372257,2.805202546884673,2.2275873373352817,2.049572929515085,3.8421524418875723
