date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,ABN AMRO CLEARING HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,CHINA INTERNATIONAL CAPITAL CORPORATION
2024-03-01,0.0,0.0,0.0,0.0,42.56843652397575,39.96693000183722,1.546941025169943,15.917692449017087,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,42.62596542846635,40.003677822728946,1.4380286870172858,15.932328061787421,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,42.61112746541066,38.029879305269354,3.4184574624668826,15.940535766853106,0.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,41.78727397408597,37.308261450175046,5.269426498718735,15.635038077020248,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,42.430797433547205,37.89184234647113,3.794683776351971,15.882676443629698,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,43.5463234740724,38.62045608489501,1.53157221344171,16.301648227590878,0.0,0.0
2024-03-11,0.0,95.8357595438358,0.0,0.0,1.827387744275582,1.6107945048097827,0.04614377710358336,0.6799144299752488,0.0,0.0
2024-03-12,0.0,95.79967334976521,0.0,0.0,1.8274841185542667,1.6101879729329016,0.08299614515068743,0.6796584135969337,0.0,0.0
2024-03-13,0.0,95.8870787910766,0.0,0.0,1.8355899358980399,1.6116570717872858,0.0018844280289825033,0.6637897732090867,0.0,0.0
2024-03-14,47.18704603030293,49.389233820479554,0.0,1.2969176165316958,0.9660960466417972,0.8339291896246591,0.00914005804341285,0.3176372383759492,0.0,0.0
2024-03-15,46.95962534431713,49.162369578061586,0.0,1.2908169754184529,0.964651448828557,0.829902906994528,0.47653008820636333,0.3161036581733765,0.0,0.0
2024-03-18,46.987816920353296,48.87012930527611,0.0,1.2916029698169558,0.9739375848731996,0.8343548992475583,0.7258621828380148,0.31629613759486064,0.0,0.0
