date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD,HANG SENG BANK LTD,BNP PARIBAS
2024-03-01,52.38688977367714,10.276813148971007,8.014898563818692,12.583267340376942,4.5989632991174,4.462392131434039,3.3092301339310985,2.633150157625298,0.0,1.7343954510483883
2024-03-04,52.70891921035601,10.364878207276156,8.026720008413973,12.11794790321785,4.609516073765591,4.493286183123557,3.318983059260839,2.6381139250786343,0.0,1.7216354295073888
2024-03-05,52.979679648421595,10.46561937805197,8.031243933057725,11.773052358726325,4.63239903958442,4.513232786243641,3.3350164077173075,2.6526871671430663,0.0,1.6170692810539493
2024-03-06,51.42300697275807,10.22114896801635,7.778327221932359,11.744156747080519,4.4821645644766335,4.460163836433603,3.2224666858267565,2.5742760333607206,2.52114544934837,1.573143520766623
2024-03-07,51.55365518314269,10.324744872392834,7.613301921149052,11.764643901088194,4.481124610163749,4.438094393091056,3.2266952249378726,2.546156639235442,2.523813572430557,1.5277696823685574
2024-03-08,51.579869297370415,10.348194859429288,7.367328765681915,11.984882137263074,4.483189544460179,4.413009232480831,3.229612687307192,2.554979852736711,2.524863228522119,1.514070394748273
2024-03-11,51.71624470295085,10.532220273627397,6.995091931080684,12.055064249732919,4.47472301406008,4.409829329874229,3.230297134196621,2.550893227405687,2.5255439297208344,1.510092207350693
2024-03-12,51.961868144346944,10.777051832402321,6.73168302556457,11.744860885112656,4.47952909819651,4.455797789851563,3.2412220085613557,2.5575564318705886,2.5318431404319273,1.5185876436615569
2024-03-13,52.0231993849846,10.969906750505807,6.878429986887063,11.086828984028825,4.4697875407206,4.456193221564711,3.2432960825450987,2.8325861212123513,2.5368149031704834,1.502957024380462
2024-03-14,51.66934946677878,10.993740291853177,6.963975848387462,11.459772107269867,4.427245555610622,4.425224066251285,3.222004857717205,2.821722767206887,2.5120272596972892,1.5049377792274257
2024-03-15,51.6952501590826,11.1166807552659,6.929739193278552,11.275205133433293,4.423728947498349,4.425305729988578,3.2244059910390055,2.815141076587783,2.5115062591386663,1.5830367546872823
2024-03-18,51.63931358852369,11.16441296455618,6.950417199294931,11.447407492833744,4.404812493878068,4.4265962120593105,3.2138726895099534,2.8103112825027994,2.5024425768206027,1.4404135000207132
2024-03-19,51.56073711910768,11.145973637562065,7.206535272332692,11.318766386184693,4.3850505641672015,4.40520140617334,3.2011283338666168,2.79278248131147,2.49448243551767,1.4893423637765715
2024-03-20,51.48051558339009,11.173963467661151,7.212219987314518,11.440180663511251,4.3906548832422265,4.416915225164277,3.202518535160121,2.7790022333975357,2.495682825926833,1.4083465952320053
2024-03-21,51.4083448202327,11.205458603432252,7.275607568926203,11.438404712866031,4.3572222454879315,4.4305507911028155,3.1950605425547436,2.783843856964019,2.484961623572607,1.4205452348607013
2024-03-22,51.44261206808029,11.269015879111342,7.281160864272593,11.390684444580494,4.331619357959136,4.433876487663797,3.1966573362208046,2.7544644119431205,2.4867015359073514,1.4132076142610737
2024-03-25,51.42121374533236,11.207796202818201,7.540161465151287,11.144696822760359,4.299804944406574,4.502779331730204,3.185136641439845,2.7710668730325643,2.4735321703660205,1.4538118029625848
2024-03-26,51.3671570489772,11.244582140099107,7.519735800107766,11.12375459497721,4.302941298913661,4.587358743161264,3.184922881108623,2.7623327967704427,2.472161946416432,1.4350527494682999
