date,ASTRUM CAPITAL MANAGEMENT LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CATHAY SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,BOCI SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,VALUABLE CAPITAL LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,29.202106115836372,58.302956662616445,0.0,0.0,0.0,0.0,0.0,0.0,12.494937221547184
2024-03-05,0.0,18.265939916339207,36.4938521992648,0.0,23.61516034985423,12.536443148688047,0.1140829002408417,1.077449613385727,0.0,7.897071872227151
2024-03-06,0.0,18.082569958589534,36.127494039402684,0.0,23.378090099134145,12.410591040281089,0.11293763332915045,1.0666332036641988,0.0,8.821684025599197
2024-03-07,0.0,18.15218753917513,36.091262379340606,0.0,23.3546446032343,12.41068070703272,0.11282437006393381,1.0655634950482638,0.0,8.812836906105053
2024-03-08,0.0,18.170457385653588,35.90352411897026,0.0,23.331667083229192,12.371907023244189,0.12496875781054737,1.0622344413896525,0.0,9.035241189702575
2024-03-11,0.0,18.220444888777806,35.90352411897026,0.0,23.331667083229192,12.371907023244189,0.12496875781054737,1.0622344413896525,0.0,8.985253686578355
2024-03-12,0.0,17.720901889092016,34.94210847044485,0.0,22.75441803778184,12.065813528336381,0.1218769043266301,1.035953686776356,2.5959780621572213,8.762949421084706
2024-03-13,0.0,17.664925282468715,34.83173368970963,0.0,22.68254161098287,12.027700157939497,0.12149192078726764,1.0326813266917751,2.903656906815697,8.735269104604544
2024-03-14,0.0,17.684926515243532,34.82327219725495,0.0,22.677031458763512,12.024778331106523,0.12146240738491437,1.0324304627717722,2.902951536499453,8.733147090975343
2024-03-15,0.0,17.70201407425382,34.78524629944189,0.0,22.652268866779906,12.011647658335356,0.1941276389225916,1.031303081776268,2.899781606406212,8.72361077408396
2024-03-18,0.0,17.77049975739932,34.72828723920427,0.0,22.64677341096555,12.008733624454148,0.19408054342552158,1.0310528869480833,2.899078117418729,8.721494420184376
2024-03-19,0.0,17.804730139478472,34.72407519708914,0.0,22.644026682838085,11.983020012128563,0.19405700424499697,1.0309278350515463,2.898726500909642,8.72043662825955
2024-03-20,0.0,17.859742780878427,34.73671438971124,0.0,22.652268866779906,11.987381703470032,0.1941276389225916,1.031303081776268,2.8148507643775784,8.72361077408396
2024-03-21,0.0,17.870583950467402,34.757800169964796,0.0,22.666019181740925,11.994658249362631,0.19424547772247178,1.0319291004006312,2.8165594269758407,8.668204443365303
2024-03-25,0.0,17.822864779492164,34.78313692139473,0.0,22.68254161098287,12.003401773782043,0.19438707325962823,1.0326813266917751,2.8064633701858828,8.67452314421091
2024-03-27,0.0,17.83501397157089,34.710241768922366,0.0,22.743287571376502,12.003401773782043,0.19438707325962823,1.0326813266917751,2.8064633701858828,8.67452314421091
