date,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,EMPEROR SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,PLANETREE SECURITIES LTD,VALUABLE CAPITAL LTD
2024-03-01,61.669699727024565,0.0,0.5004549590536852,0.0,37.829845313921744,0.0,0.0,0.0
2024-03-04,43.51896690879742,0.0,0.35512510088781274,0.0,26.84422921711057,17.885391444713477,0.0,11.396287328490718
2024-03-05,43.56451612903226,0.0,0.3548387096774194,0.0,26.822580645161292,17.870967741935484,0.0,11.387096774193548
2024-03-06,43.54630525976121,0.0,0.35495321071313324,0.0,26.831235882542753,17.87673443046144,0.0,11.39077121652146
2024-03-07,43.58271525314415,0.0,0.3547242824895195,0.0,26.813930990003225,17.865204772653982,0.0,11.383424701709126
2024-03-11,43.59181041431565,0.0,0.3546670965661777,0.0,26.80960825407061,17.862324681605674,0.0,11.381589553441883
2024-03-12,43.58271525314415,0.0,0.3547242824895195,0.0,26.813930990003225,17.865204772653982,0.0,11.383424701709126
2024-03-13,34.72061657032755,20.3339755940912,0.2825947334617855,0.0,21.36159280667951,14.232498394348106,0.0,9.068721901091843
2024-03-14,34.7541404544871,20.32353318782899,0.2824496084221338,0.0,21.350622673000387,14.225189369623829,0.0,9.064064706637566
2024-03-15,34.88729508196721,20.27407786885246,0.2817622950819672,0.0,21.298668032786885,14.216188524590164,0.0,9.042008196721312
2024-03-18,35.00447627573858,20.245555697659547,0.2813659035682312,0.0,21.268704437907658,14.15782069318327,0.0,9.042076991942704
2024-03-19,34.85216946115449,20.209906565979775,0.2815819787533598,0.0,21.285037757583513,14.322283373864073,0.0,9.049020862664788
2024-03-22,34.86496864200691,20.209906565979775,0.2815819787533598,0.0,21.285037757583513,14.309484193011649,0.0,9.049020862664788
2024-03-25,34.92774012021997,20.19439826064714,0.2813659035682312,0.0,21.255915078654557,14.298503644967386,0.0,9.042076991942704
2024-03-27,34.94052947947308,20.19439826064714,0.2813659035682312,0.0,21.255915078654557,14.298503644967386,0.0,9.029287632689602
2024-03-28,35.015329586101174,20.17118037812979,0.2810424118548799,0.0,21.231476750127747,14.282064384261625,0.0,9.018906489524783
2024-04-02,35.05563371275099,20.07929402736923,0.2813659035682312,0.0,21.255915078654557,14.298503644967386,0.0,9.029287632689602
2024-04-03,35.105431309904155,20.063897763578275,0.28115015974440893,0.0,21.23961661341853,14.287539936102236,0.0,9.022364217252395
2024-04-05,35.00191546418082,20.048525092580768,0.2809347465202401,0.0,21.22334312348359,14.404290639765035,0.0,9.040990933469544
2024-04-08,34.96494582536648,20.01274697259401,0.2804333970681963,0.0,21.236456341618865,14.455066921606118,0.0,9.050350541746335
2024-04-09,35.02868068833652,20.01274697259401,0.2804333970681963,0.0,21.236456341618865,14.455066921606118,0.0,8.98661567877629
2024-04-10,35.0369615090492,20.0101962783584,0.28039765485597756,0.0,21.2337496813663,14.453224573030843,0.0,8.98547030333928
2024-04-11,35.05351681957187,20.005096839959226,0.2803261977573904,0.0,21.228338430173295,14.449541284403669,0.0,8.983180428134556
2024-04-12,35.08459483526269,19.972013738710086,0.27986261289912223,0.0,21.193232413178986,14.47652970360005,0.0,8.993766696349065
2024-04-15,35.051546391752574,19.982181494208987,0.28000509100165455,0.0,21.204021891307114,14.483899707267406,0.0,8.998345424462263
2024-04-17,35.059811656910156,19.97963858488165,0.27996945787732247,0.0,21.20132349198269,14.482056502926955,0.0,8.997200305421227
2024-04-18,35.14063892070765,19.969453990072548,0.2036400661830215,0.0,21.204021891307114,14.483899707267406,0.0,8.998345424462263
2024-04-19,35.263425808093665,19.865105624840925,0.20361415118350726,0.0,21.20132349198269,14.482056502926955,0.0,8.984474420972258
2024-04-22,26.201741105223313,14.77100681302044,0.1514004542013626,25.662376987130962,15.76457229371688,10.768357305071916,0.0,6.680545041635125
2024-04-23,26.29241092524336,14.752858898024762,0.13231263585672431,25.63084774595974,15.745203666950195,10.755127114639448,0.0,6.691239013325773
2024-04-24,21.792981421409614,32.151282807431436,0.10321439103509289,19.994102034797994,12.282512533176055,8.389855499852551,0.0,5.286051312297257
2024-04-25,21.787215217872152,32.15365332153654,0.10322200103222001,19.99557619995576,12.283418122834181,8.39047408390474,0.0,5.286441052864411
2024-04-26,21.80035387791212,32.151282807431436,0.10321439103509289,19.994102034797994,12.282512533176055,8.389855499852551,0.0,5.278678855794751
2024-04-29,21.87754497667876,32.286962315836234,0.10364995928037314,20.078477826312284,11.87532390612275,8.454875249870437,0.0,5.323165765899163
2024-04-30,2.485,3.6341666666666668,0.011666666666666667,2.26,1.3366666666666667,0.95,0.0,0.5991666666666667
2024-05-02,22.11382113821138,32.23207686622321,0.10347376201034737,20.044345898004433,11.855136733185514,8.337028824833704,0.0,5.314116777531411
2024-05-03,22.14174857734092,32.229694774961196,0.10346611484738748,20.042864533293915,11.854260586800681,8.336412681989506,0.0,5.291552730766388
2024-05-06,22.113040265977098,32.2201699298116,0.10343553749538234,20.03694126339121,11.865533801256003,8.33394902105652,0.0,5.326930181012191
2024-05-07,22.12872748745202,32.189253026276944,0.10333628579864186,20.017714791851198,11.854148213758489,8.325952170062003,0.0,5.380868024800709
2024-05-08,22.02776547038842,32.20351499040024,0.10338207059518535,20.026583961010193,11.888938118446315,8.373947718210013,0.0,5.3758676709496385
2024-05-09,22.03927938570585,32.198759598346136,0.10336680448907265,20.023626698168933,11.887182516243355,8.372711163614884,0.0,5.375073833431778
2024-05-13,21.88332839798638,32.28457210541901,0.1036422860527095,20.076991412496298,11.918862896061592,8.39502517026947,0.0,5.337577731714539
2024-05-14,22.039157739194682,32.2201699298116,0.10343553749538234,20.03694126339121,11.89508681196897,8.37827853712597,0.0,5.326930181012191
2024-05-17,22.042414837803886,32.22493164856277,0.10345082391191901,20.03990246065174,11.896844749870686,8.37951673686544,0.0,5.312938742333555
2024-05-20,23.610212153901475,31.43473570658037,0.06472491909385113,19.503775620280475,11.556993887090975,8.802588996763754,0.0,5.026968716289105
2024-05-21,21.843480821615255,32.17993079584775,0.06625929470661857,19.96613413826106,11.853051608628434,8.937642641537217,0.0,5.153500699403667
2024-05-22,16.899172053986618,24.776000907338098,17.02960190541,15.379380741748893,9.016672337529771,6.725643642962459,6.169899058636724,4.003629352387433
2024-05-23,16.948287593558632,24.77319119981855,17.027670673622136,15.37763665230211,9.015649807212519,6.685189385348152,6.169199364935359,4.00317532320254
2024-05-24,16.987124950371506,24.73484203958936,17.032499574612896,15.381997617832226,9.01820656797686,6.687085247575293,6.170948896829448,3.98729510521241
2024-05-27,17.035147392290252,24.72222222222222,17.023809523809526,15.374149659863946,9.013605442176871,6.683673469387755,6.167800453514739,3.9795918367346936
2024-05-28,17.07150964812713,24.7105561861521,17.043132803632236,15.391600454029511,9.023836549375709,6.66855845629966,6.174801362088536,3.916004540295119
2024-05-29,17.076215878781,24.709153850519268,17.042165597866184,15.390726973497532,9.02332444242665,6.668180012485103,6.1744509392202485,3.9157823052040177
2024-05-30,17.184311947404215,24.676944003627295,17.01995012468828,15.370664248469733,9.011562004080707,6.6594876445250515,6.166402176377239,3.9106778508274767
2024-05-31,2.5275,3.6283333333333334,2.5025,2.26,1.325,0.9791666666666667,0.9066666666666667,0.5741666666666667
2024-06-04,17.197416137805984,24.671350861287397,17.016092475067996,15.367180417044423,9.009519492293744,6.657978241160471,6.165004533091569,3.915457842248413
2024-06-05,17.230437985154968,24.669952971839766,17.015128335883052,15.366309705932347,9.00900900900901,6.657600997223639,6.164655221258995,3.8869057736982264
2024-06-06,17.30834560072472,24.65179481372438,17.002604461555883,15.354999433812704,9.00237798663798,6.618729475710565,6.160117766957309,3.9010304608764574
2024-06-07,17.373840235347362,24.632269744286038,16.989137813985064,15.342837746096402,8.995247793618466,6.613487214301879,6.155238741796786,3.897940710568002
2024-06-12,17.378514453810034,24.63087627991175,16.98817672682016,15.341969791254172,8.994738926288397,6.6131130847994575,6.1548905357243875,3.897720201391639
2024-06-13,17.384171522317136,24.63087627991175,16.98817672682016,15.341969791254172,8.994738926288397,6.607456016292357,6.1548905357243875,3.897720201391639
2024-06-14,17.363271308183926,24.62530399864261,16.984333465301738,15.338498953679093,8.992704032577343,6.60596120128952,6.153498105310786,3.936428935014988
