date,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,CHINA GALAXY INTERNATIONAL SECURITIES,CHINA MERCHANTS SECURITIES (HK) CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,CIS SECURITIES ASSET MANAGEMENT LTD,VALUABLE CAPITAL LTD
2024-03-01,0.0,92.4316265714046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5683734285953905
2024-03-04,0.0,49.3777615794926,0.0,0.0,19.3576153985992,27.236161423251197,0.0,0.0,0.0,4.028461598656999
2024-03-05,0.0,49.312665366833436,0.0,0.0,19.354866884842046,27.232294264883684,0.0,0.0,0.0,4.10017348344083
2024-03-06,0.0,49.2795420772354,0.0,0.0,19.343132021756553,27.215783314609332,0.0,0.0,0.0,4.161542586398717
2024-03-07,0.0,49.279607128752104,0.0,0.0,19.341385493561017,27.213325949748818,0.0,0.0,0.0,4.165681427938065
2024-03-08,0.0,43.69129232120868,0.0,0.0,17.133270307447248,24.480717729543077,0.0,10.961766096467313,0.0,3.732953545333685
2024-03-11,0.0,40.97619690573829,0.0,0.0,16.06709175191966,22.95731818008183,6.212675483124901,10.279631294818687,0.0,3.5070863843166267
2024-03-12,0.0,40.9866843798864,0.0,0.0,16.07036349926878,22.961992986578135,6.213940572343081,10.28172453962976,0.0,3.4852940222938424
2024-03-13,0.0,37.35955605217552,0.0,0.0,14.641894857270414,20.9209385362164,5.661593436496567,9.36779866040528,8.814138177739956,3.234080279695865
2024-03-14,0.0,37.27843951913899,0.0,0.0,14.646471462538443,20.92747777710362,5.663363076191395,9.37072674567819,8.81689320580228,3.296628213547078
2024-03-15,0.0,37.2794913467701,0.0,0.0,14.645541608058915,20.926149162972493,5.663003528600765,9.370131830222737,8.816333451347843,3.299349072027144
2024-03-18,0.0,37.29278360538872,0.0,0.0,14.642323792511592,20.921551416441552,5.661759293236409,9.3680730906629,8.814396388478517,3.299112413280305
2024-03-19,0.0,37.291408475837216,0.0,0.0,14.636035259947668,20.912566103779817,5.659327701216649,9.364049724322513,8.810610813216986,3.3260019216791537
2024-03-20,0.0,37.29038264114428,0.0,0.0,14.635249573153466,20.911443482337,5.659023899062586,9.36354704650861,8.810137844927292,3.330215512866772
2024-03-21,0.0,37.29093675951097,0.0,0.0,14.634892470677388,20.91093323970611,5.658885817956662,9.363318574433812,8.809922876127253,3.3311102615878045
2024-03-22,0.0,37.28653639648456,0.0,0.0,14.635463843004262,20.911749639868,5.6591067509607,9.363684135105464,8.809778808929163,3.3336804256478567
2024-03-25,0.0,37.357869282894576,0.0,0.0,14.66480652954227,20.71602130602353,5.670452711516501,9.382457414269325,8.823529555588456,3.3848632001653343
2024-03-26,0.0,37.34155903725747,0.0,0.0,14.65821208295934,20.70670575892523,5.667902831473297,9.378238325929471,8.819561805027956,3.4278201584272363
2024-03-27,0.0,37.31361836053676,0.0,0.0,14.664519691096444,20.715616107949955,5.670341799460509,9.382273896709968,8.82335697046097,3.4302731737853973
2024-03-28,0.0,37.30890341035669,0.0,0.0,14.665165093379667,20.71652782590704,5.670591357688198,9.382686821314545,8.823745296492397,3.432380194861458
2024-04-02,0.0,37.326259963034154,0.0,0.0,14.66545195707447,20.69737216872201,5.670702279507233,9.382870355028052,8.823917896811704,3.433425379822377
2024-04-03,0.0,37.310716133803865,0.0,0.0,14.573638624395846,20.565938377257556,5.633853097936474,9.323506933768082,8.768090848642897,3.824255984195278
2024-04-05,0.0,37.25467253201506,0.0,0.0,14.565216219415802,20.55405289921929,5.634968006108928,9.318118687685253,8.763023588919202,3.9099480666364714
2024-04-08,0.0,37.23959469031621,0.0,0.0,14.559700931114348,20.546269868346638,5.632834260021332,9.314590273811023,8.759705368251739,3.9473046081387104
2024-04-09,0.0,37.271586803078755,0.0,0.0,14.558923470085283,20.513133848325545,5.632533477117819,9.314092891964112,8.759237616229761,3.950491893198725
2024-04-10,0.0,37.241663696528434,0.0,0.0,14.55595574610242,20.469639967152922,5.631385328718064,9.312194286142677,8.757452113366263,4.031708861989223
2024-04-11,0.0,37.24234979443114,0.0,0.0,14.554896137873014,20.46814986926169,5.630975389148218,9.311516400205711,8.75681461016896,4.035297798911267
2024-04-12,0.0,37.195665710473676,0.0,0.0,14.547350955541107,20.45822142477762,5.628243983188255,9.306999681585197,8.752566959635342,4.110951284798799
2024-04-15,0.0,37.20608963987426,0.0,0.0,14.544599458840866,20.454836917924833,5.627179452965864,9.305239348793934,8.750911492658455,4.111143688941793
2024-04-16,0.0,37.24748896637242,0.0,0.0,14.53444909662626,20.44056192847977,5.620344539026177,9.298745422979673,8.74480442029735,4.11360562621835
2024-04-17,0.0,37.30177207321154,0.0,0.0,14.520866989900986,20.421460695829566,5.615092456965524,9.290055960317108,8.73663260269776,4.114119221077525
2024-04-18,0.0,37.197363264222275,0.0,0.0,14.52698635035508,20.418441339988426,5.617458760213887,9.293970960785018,8.740314380382802,4.20546494405251
2024-04-19,0.0,37.1975131908173,0.0,0.0,14.522695224087926,20.41240993692552,5.615799419159986,9.291225614850621,8.737732579056892,4.222624035101757
2024-04-22,0.0,37.11506660245074,0.0,0.0,14.522835876555426,20.41260763134663,5.613916805978829,9.291315600475786,8.737817204095746,4.3064402790968455
2024-04-23,0.0,37.08332801459061,0.0,0.0,14.51932038200251,20.40766641934446,5.612073730474479,9.289066482627142,8.735702069762032,4.352842901198761
2024-04-24,0.0,37.08284388124603,0.0,0.0,14.51932038200251,20.40766641934446,5.612073730474479,9.289066482627142,8.735702069762032,4.35332703454335
