date,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA CONSTRUCTION BANK (ASIA),BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,38.13394690878324,1.9673321335476008,34.10841911708243,7.179167847603943,0.0,6.721248075014066,5.151911582586259,2.5103352372601884,2.0914806370499233,2.136158461072352
2024-03-04,40.696389944207134,1.8803302467776652,32.76016541696525,6.867019225251841,0.0,6.424012415613461,4.924077135868499,2.399319970268716,1.9989884958078623,2.04969714923957
2024-03-05,40.751882375524225,1.7912663877585524,31.335568157693682,6.546840418540143,2.585684157536049,6.11973217702148,4.69847032755813,2.3110982293021323,1.9043042615481816,1.9551535075174253
2024-03-06,40.4508843321906,1.7739192089095728,31.885716297131594,6.48682081666057,2.5570142521487593,6.051876966631844,4.691630869724273,2.2854729156373867,1.883189454139057,1.933474886826348
2024-03-07,40.36498229563492,1.7599643798372964,31.672319377542628,6.44496100313542,2.6018638399381127,6.054457557407042,4.751013321493112,2.534702918639519,1.882993237890202,1.9327420684817527
2024-03-08,40.30487111175565,1.7816194699448291,31.58950291231549,6.47847987008035,2.565388014937259,6.035937935612761,4.79072459709531,2.550385745844059,1.9652972512092453,1.9377930912050447
2024-03-11,40.028280493573234,1.7785510053553222,31.674876662851837,6.479802410955758,2.6034028946944745,6.090440169782804,4.862347880023813,2.5484893149406123,1.9619124402970824,1.9718967275250572
2024-03-12,40.09666320995235,1.7783734474423434,31.344761705096097,6.728737775148845,2.603142989421456,6.039915691112001,4.8668541029451955,2.5981513441876656,1.9617165768794482,1.981683157814608
2024-03-13,40.129431943143025,1.7828230575513015,31.393163601425677,6.68302184680092,2.609656228458764,6.040015562858812,4.859014760946232,2.5996479591262283,1.9666249238433255,1.9366001158457176
2024-03-14,40.17489645943461,1.7898148532446903,31.399586718131957,6.741298882277554,2.4978021604856755,6.072224968211506,4.827071848914412,2.613511021897902,1.9771122841306554,1.9066808032710392
2024-03-15,40.36191356193009,1.7842516392282948,31.37324574088612,6.718425840022337,2.443974513552665,6.044855446169333,4.870420521372883,2.551649620194842,1.9682007865290931,1.8830623301143483
