date,HAITONG INTERNATIONAL SECURITIES CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HUATAI FINANCIAL HOLDINGS (HONG KONG),MORGAN STANLEY HONG KONG SECURITIES LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,MASON SECURITIES LTD
2024-03-01,0.0,0.0,61.63459764426978,0.0,0.0,0.0,38.36540235573022,0.0,0.0,0.0
2024-03-04,0.0,0.0,43.929784324400515,0.0,0.0,14.096534150312007,27.352338222343818,14.621343302943664,0.0,0.0
2024-03-05,0.0,0.0,36.14671869989172,0.0,17.649511588825387,11.580102558103125,22.557513665280624,12.066153487899141,0.0,0.0
2024-03-06,0.0,0.0,36.15481032322333,0.0,17.644163159902206,11.578635102928796,22.554655129271815,12.067736284673854,0.0,0.0
2024-03-07,0.0,0.0,36.18529368591588,0.0,17.63702827831529,11.573952977194141,22.545534561063356,12.058190497511328,0.0,0.0
2024-03-08,0.0,0.0,36.15549051426097,0.0,17.619393927037187,11.567528386291956,22.526965458311082,12.130621714098806,0.0,0.0
2024-03-11,0.0,0.0,36.165410489377905,0.0,17.61510250553974,11.550193346609374,22.52346528361154,12.145828374861438,0.0,0.0
2024-03-12,0.0,0.0,26.566015268581637,26.57463757100239,12.926039295136643,8.47019674761825,16.535109920781927,8.928001196879148,0.0,0.0
2024-03-13,0.0,0.0,26.546838024209436,26.541778151075874,12.914582744643127,8.45703162229297,16.541147974126947,8.998621483651647,0.0,0.0
2024-03-14,0.0,0.0,26.544928991935596,26.50120927258387,12.884698643003192,8.519268572655058,16.49341510467228,9.056479415150005,0.0,0.0
2024-03-15,0.0,0.0,24.85158744766002,24.772450457896056,12.037293092480738,8.105640806515009,15.330725398451358,8.37497085424033,6.52733194275649,0.0
2024-03-18,0.0,0.0,24.949063074890773,24.80064421667299,12.04138340242662,8.110240530811174,15.25901816115867,8.304328940664059,6.535321673375713,0.0
2024-03-19,0.0,0.0,25.005744308199095,24.804009592613994,12.0407642966452,8.10986740048418,15.255681375584961,8.24547960988094,6.5384534165916275,0.0
2024-03-20,0.0,0.0,25.064955253071584,24.845813509043538,12.049323847434867,8.121402143207344,15.206724572329271,8.162307549625671,6.549473125287719,0.0
2024-03-21,0.0,0.0,25.122655917698523,24.865971953902683,12.061235076236603,8.12799137552301,15.168887342737289,8.098471347878462,6.554786986023433,0.0
2024-03-22,9.545192038530333,34.37091608207922,14.154140478599993,13.947293775544804,6.7627370934698465,4.555986639959583,8.427972781174791,4.559188970221305,3.6765721404201224,0.0
2024-03-25,9.501086267418014,34.389568432947215,14.168733129336147,13.961673171248046,6.766712309356991,4.563081406258404,8.42707133999911,4.5417113267780955,3.680362616657979,0.0
2024-03-26,9.433850739972787,34.41762548594101,14.196490032444627,13.973063933676821,6.770433305391949,4.566804239159899,8.406351400713927,4.546016621323781,3.6893642413751975,0.0
2024-03-27,9.384050400401739,34.455037209487486,14.216725909695718,13.988252558621255,6.768183940766631,4.556754606435299,8.401075878206248,4.536544941308885,3.693374555076733,0.0
2024-03-28,9.314952680078555,34.474912919327835,14.244155605233694,13.996321812685277,6.76547838430858,4.559383212865775,8.380684521356404,4.541565470166466,3.7225453939774096,0.0
2024-04-02,9.315512444694269,34.47397996832936,14.269048831054409,13.997162895401418,6.765884943046771,4.55965720045108,8.366164861630441,4.529819762029182,3.7227690933630644,0.0
2024-04-03,9.322230526700185,34.49227321477853,14.260696958928259,14.00665588562218,6.769561577135136,4.562945495236081,8.333109600636188,4.527072892659971,3.72545384830347,0.0
2024-04-05,9.33154588493358,34.37986046733613,14.294210040448805,14.020652215883784,6.77572418268572,4.5675050769548395,8.369126982221,4.53219859376695,3.7291765557691923,0.0
2024-04-08,9.350119769767943,34.31499234393732,14.34196305104084,14.048559486851708,6.790417184491518,4.569961622109791,8.312199255594033,4.535188027197702,3.736599259009145,0.0
2024-04-09,9.354803026353393,34.332179922046635,14.360008990313283,14.055596082141705,6.795025277509119,4.566819416642312,8.326018095363526,4.471078355334375,3.7384708342956476,0.0
2024-04-10,9.355194939775282,34.33361824651764,14.360645596086203,14.056184932248089,6.800137879614959,4.56701074058785,8.305244719494237,4.471265668270077,3.7506972774056595,0.0
2024-04-11,9.362147683476776,34.3591348551559,14.347729696879169,14.066631433030153,6.806399594316842,4.570404924820855,8.286051680037895,4.448015351565532,3.7534847807168745,0.0
2024-04-12,9.364466468154294,34.36764480801379,14.35067920422809,14.070115408132228,6.809293558476857,4.569724639435688,8.286291673316807,4.4273698092687095,3.7544144309735334,0.0
2024-04-15,9.364749325354694,34.36868289553621,14.350508564387596,14.070540401212952,6.816144417734941,4.572279099492901,8.286541963845623,4.416025497974157,3.7545278344609287,0.0
2024-04-16,9.36729580931002,34.37802850602919,14.319967298989592,14.074366494590324,6.817997879241909,4.567479686779015,8.290003802651755,4.429311748191367,3.7555487742168276,0.0
2024-04-17,9.36672980431187,34.37595126449043,14.319102036140038,14.073516071806214,6.823628263934739,4.557535940159735,8.29252406749671,4.435690700924902,3.755321850735358,0.0
2024-04-18,9.367012798260683,34.3769898538803,14.310470852460764,14.073941270351495,6.826251437862671,4.557673635504803,8.295795874162753,4.4364289684684195,3.755435309048111,0.0
2024-04-19,9.366503421464156,34.37512043816121,14.305463106865094,14.073175931467777,6.825880227300179,4.549570921948416,8.295344749987093,4.439208819153264,3.769732383652813,0.0
2024-04-22,9.367239205732037,34.377820770578424,14.298731385404901,14.074281447686962,6.826416433295063,4.546302704363395,8.282098223841917,4.457081314683933,3.7700285144133754,0.0
2024-04-23,9.36729580931002,34.37802850602919,14.298817788595771,14.074366494590324,6.826457683399437,4.544517361208581,8.282148270219764,4.458316791017177,3.7700512956297323,0.0
2024-04-24,9.367239205732037,34.377820770578424,14.298731385404901,14.074281447686962,6.82702070136918,4.544489900141045,8.2814939557678,4.458894118906282,3.7700285144133754,0.0
2024-04-25,9.368711121118825,34.382618345332666,14.2949345775363,14.076493001269172,6.82809346107944,4.543995269723124,8.285212715342364,4.449320593066634,3.7706209155314765,0.0
2024-04-26,9.369503882558652,34.38552773315262,14.29614418606958,14.07768412571683,6.828671240576907,4.543775359272922,8.285913793332345,4.441839701451557,3.77093997786859,0.0
2024-04-29,9.369390622710384,34.383298855598824,14.297180186035765,14.076909545880751,6.829193101521322,4.5419072129156035,8.287022445788022,4.444203635320497,3.7708943942288284,0.0
2024-04-30,9.37760906501028,34.34933514048992,14.309721081718497,14.08925722925978,6.83518338751961,4.544076375186163,8.276143368851736,4.444472284990404,3.7742020669736123,0.0
2024-05-02,9.377382155985654,34.34003507987239,14.331152036657668,14.088916312977876,6.835017997302888,4.54033688835228,8.274128344730409,4.438920441119443,3.77411074300139,0.0
2024-05-03,9.376588060867421,34.334707613705895,14.225295736554466,14.087723235903782,6.834439194569416,4.5369280479357,8.388353194998553,4.44217377156543,3.773791143899335,0.0
2024-05-06,9.398303855220982,34.31722186981146,14.266122475695154,14.120349826590592,6.850873748160832,4.545010299636938,8.304107763589284,4.415479071491623,3.7825310898031357,0.0
2024-05-07,9.40543166771019,34.292283085085316,14.289076750115884,14.131058908505414,6.856676283841267,4.542389984406052,8.294630694309705,4.403052808763479,3.7853998172626904,0.0
2024-05-08,9.409770665235284,34.308103106610425,14.352120804413513,14.137577974487412,6.859839466827126,4.534773332672419,8.199514336598604,4.411154181526655,3.7871461316285675,0.0
2024-05-09,9.41291322700051,34.31956091327712,14.350234593809013,14.142299472340666,6.862130433311962,4.538109444932555,8.185250707109569,4.401090291181762,3.78841091703684,0.0
2024-05-10,9.413313339988424,34.304017001464075,14.350844576616897,14.142900616488221,6.862422120640306,4.537695105269182,8.185598636070376,4.41463665313291,3.7885719503296054,0.0
2024-05-14,9.412227398149179,34.277594312362275,14.373475837717963,14.141269058400965,6.861630455577199,4.537171626150771,8.196797730315208,4.411698689516319,3.788134891810117,0.0
2024-05-16,9.41971977699152,34.30488017271482,14.377018004066047,14.152525877920418,6.867092492635445,4.540783333269378,8.139518975210315,4.407311021067594,3.791150346124461,0.0
2024-05-17,9.795411437707099,35.6636015000284,14.960534431404573,14.716978544907743,7.1409763707044425,0.7322691818877642,8.455937155363848,4.59193657958669,3.9423547984094345,0.0
2024-05-20,9.794235552662975,35.65932028163446,14.968847510470248,14.715211852913674,7.140119135929964,0.7321812770167204,8.454922066809553,4.593280782073341,3.941881540489075,0.0
