date,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,HUATAI FINANCIAL HOLDINGS (HONG KONG),FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,TIGER BROKERS (HK) GLOBAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD
2024-03-28,85.03199371065399,6.461302947111659,3.7310307625192483,0.09834536926290284,0.7090128356525015,0.06312627172017804,0.0025591731778450556,0.055448752186642865,0.6740374688886192,0.6792776806337305
2024-04-03,86.17280077645961,6.562315184797196,5.538126690602618,0.10559280869846437,0.44926961343072946,0.04186662239623325,0.00469301371993175,0.08089273648829727,0.6935780276614922,0.3508645257454237
2024-04-05,86.14845790783963,6.587376876155409,5.7200319244181115,0.09000633022298783,0.2894771493015326,0.0559298595212805,0.004691687995162603,0.07580780076394311,0.6931351685484961,0.33508529523345537
2024-04-08,86.07438622029463,6.567649992395144,5.8376095593561805,0.08844862968721486,0.2675170130260727,0.062419813977309224,0.004687654014106227,0.07500246422569963,0.6874814689635264,0.3347971840601131
2024-04-09,86.00097179449214,6.558597208201931,5.92802922885214,0.08812668202406188,0.2637144739282277,0.06039450935914731,0.00468365582785224,0.07407571454050516,0.6868951033847509,0.3345116293892363
2024-04-10,85.97161989197775,6.552662415417772,5.972333733220455,0.08415381952033278,0.2504407811962349,0.06899873928460669,0.00468205730859831,0.07417364473095218,0.6865374558818365,0.3343974614614688
2024-04-11,85.94249972882827,6.550196567974871,6.011080163724664,0.08129239817343765,0.2466608433062519,0.07082292265110099,0.004680471409985804,0.07217779595399162,0.6863049130642342,0.33428419491319666
2024-04-12,85.89933232288557,6.539396904979119,6.029112446101157,0.07657344594019112,0.27657540779619516,0.05983069891789853,0.029422915722999484,0.06931004833493183,0.6864526279139963,0.33399318140793977
2024-04-15,85.815027185083,6.53150302056587,6.041889343934302,0.1376231359333649,0.2790096927421194,0.059034052947287884,0.04771919279905771,0.06887306177183587,0.6857789150709942,0.33354239915217654
2024-04-16,85.77262032727569,6.558884156347827,6.0550070636709075,0.13608000526795572,0.3000152311264433,0.06625756354058548,0.05765268515869127,0.06785561238293727,0.6859317338709963,0.29969562135797295
