date,GUOYUAN SECURITIES BROKERAGE (HONG KONG),BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,NANYANG COMMERCIAL BANK LTD,FORTUNE (HK) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS BANK CO LTD,SOUTH CHINA SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-18,0.0,7.116601716959736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.116601716959736
2024-04-03,0.0,7.116601716959736,0.0,1.489341049544123,0.0,0.0,0.0,1.0523131702053534,0.0,0.0,9.658255936709214
2024-04-05,0.0,7.116601716959736,2.6938013223705153,1.489341049544123,0.0,0.0,0.0,1.0523131702053534,0.0,0.0,12.352057259079729
2024-04-08,0.0,7.116601716959736,2.6953814851573803,1.489341049544123,0.0,0.0,0.0,1.0523131702053534,0.0,0.0,12.353637421866594
2024-04-09,0.0,7.116601716959736,2.7175790100204895,1.489341049544123,0.0,0.0,0.0,1.0523131702053534,0.0,0.0,12.375834946729702
2024-04-12,0.0,7.116601716959736,2.7185572060314063,1.489341049544123,0.0,0.0,0.0,1.0507330074184882,0.0,0.0,12.375232979953754
2024-04-22,0.0,7.116601716959736,2.7185572060314063,1.488588591074187,0.0,0.0,0.0,1.0507330074184882,0.0,0.0,12.374480521483818
2024-04-23,0.0,7.113591883079994,2.7185572060314063,1.4878361326042513,0.0,0.0,0.0,1.0507330074184882,0.0,0.0,12.370718229134138
2024-04-24,0.0,7.1284153149377305,2.7185572060314063,1.4878361326042513,0.0,0.0,0.0,1.0502815323365267,0.0,0.0,12.385090185909913
2024-04-29,0.0,7.1284153149377305,2.7448932524791627,1.4878361326042513,0.0,0.0,0.0,1.0502815323365267,0.0,0.0,12.411426232357671
2024-05-02,0.0,7.130672690347538,2.774013395265682,1.4878361326042513,0.0,0.0,0.0,1.0502815323365267,0.0,0.0,12.442803750553997
2024-05-06,0.0,7.130672690347538,2.8041117340631176,1.4878361326042513,0.0,0.0,0.0,1.0502815323365267,0.0,0.0,12.472902089351432
2024-05-07,0.0,7.109378115648352,2.8432395744997843,1.4878361326042513,0.0,0.0,0.0,1.0502815323365267,0.0,0.0,12.490735355088914
2024-05-09,0.0,7.109378115648352,2.843314820346778,1.4878361326042513,0.0,0.0,0.0,1.0502815323365267,0.0,0.0,12.490810600935907
2024-05-10,0.0,7.109378115648352,2.8589659565214447,1.4878361326042513,0.0,0.0,0.0,1.0502815323365267,0.0,0.7073109617397442,13.213772698850319
2024-05-13,11.684325612858611,7.1078731987084804,2.890870195646727,1.4878361326042513,0.0,0.0,0.0,1.0502815323365267,0.0,0.7073109617397442,24.92849763389434
2024-05-14,11.684325612858611,7.1078731987084804,2.9360177038428805,1.4878361326042513,1.4571358270308665,0.0,0.0,1.0502815323365267,0.0,0.7073109617397442,26.430780969121358
2024-05-16,11.674468406902452,7.1078731987084804,2.9360177038428805,1.4878361326042513,1.4549536974680526,0.0,0.0,1.0502815323365267,0.0,0.7073109617397442,26.418741633602387
2024-05-20,11.674468406902452,7.141733829855595,2.935415737066932,1.487911378451245,1.4549536974680526,0.0,0.0,1.0502815323365267,0.0,0.7073109617397442,26.45207554382055
2024-05-21,11.674393161055459,7.141658584008602,2.935415737066932,1.4878361326042513,1.4549536974680526,1.2353863159407574,0.0,1.0532913662162702,0.0,0.7073109617397442,27.690245956100068
2024-05-22,11.674393161055459,7.141658584008602,2.9381998334056947,1.4907707206370013,1.4549536974680526,1.2353863159407574,0.0,1.0502815323365267,0.0,0.7073109617397442,27.692954806591835
2024-05-23,11.674393161055459,7.184548716794949,2.895309700619349,1.4907707206370013,1.4549536974680526,1.2353863159407574,0.0,1.0502815323365267,0.0,0.7073109617397442,27.692954806591835
