date,CHINA INTERNATIONAL CAPITAL CORPORATION,BANK OF CHINA (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA GALAXY INTERNATIONAL SECURITIES,UBS SECURITIES HONG KONG LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-13,0.0,33.900212709960336,0.0,0.0,0.0,0.0,0.0,66.09978729003966
2024-03-18,0.0,33.79729687018067,0.0,0.0,0.0,0.0,0.0,66.20270312981933
2024-03-19,0.0,33.28425106141755,0.0,0.0,0.0,0.0,0.0,66.71574893858245
2024-03-21,0.0,4.331005240941321,45.0838252127833,0.0,0.0,0.0,0.0,50.585169546275374
2024-03-25,0.0,4.316687108670523,45.0905726043943,0.0,0.0,0.0,0.0,50.592740286935175
2024-03-26,0.0,4.302364689961904,45.09732201598068,0.0,0.0,0.0,0.0,50.60031329405742
2024-04-03,0.0,4.316925319054364,45.249946311282734,0.0,0.0,0.0,0.0,50.433128369662896
2024-04-09,0.0,4.316838871631146,45.249040170691856,0.0,0.0,0.0,0.0,50.434120957676996
2024-04-19,80.91125298690493,0.8240304511686175,8.637474804037133,0.0,0.0,0.0,0.0,9.627241757889326
2024-04-23,77.68768419486778,0.7912004213765274,8.293350925189188,0.0,0.0,0.0,3.984079683649025,9.243684774917483
2024-04-24,77.68754447902242,0.7911989984581218,8.293336010179846,0.0,0.0,7.708575096739007,3.984072518561447,1.5352728970391607
2024-04-26,77.68469324501532,0.7911699604249863,8.293031633952962,0.0,0.0,7.708292181998819,3.983926297914008,1.538886680693904
2024-04-29,77.68754447902242,0.7875287335861167,8.293336010179846,0.0,0.0,7.708575096739007,3.984072518561447,1.5389431619111655
2024-05-03,77.65574765639546,0.7879770066568762,8.298056700411928,0.0,0.0,7.712962932360012,3.9863403119077185,1.5589153922680055
2024-05-08,77.64753904136185,0.788266486018437,8.301105160120189,0.0,0.0,7.7157964459860935,3.9878047750058867,1.559488091507537
2024-05-10,77.64725378840062,0.7886309591379173,8.301074664436001,0.0,0.0,7.715768100544477,3.987790125048722,1.5594823624322618
