date,THE HONGKONG AND SHANGHAI BANKING,LUEN FAT SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,HANG SENG SECURITIES LTD,SINOPAC SECURITIES (ASIA) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-04-03,69.27981995498874,0.0,0.0,0.0,30.720180045011254,0.0,0.0
2024-04-09,48.32592205074549,0.0,30.25111169238818,0.0,21.422966256866335,0.0,0.0
2024-04-12,48.332679482149864,0.0,30.2471557473519,0.0,21.420164770498236,0.0,0.0
2024-04-25,43.03221288515407,0.0,26.99579831932773,0.0,19.11764705882353,0.0,10.854341736694678
2024-04-30,43.11391223155929,0.0,26.99579831932773,0.0,19.11764705882353,0.0,10.77264239028945
2024-05-09,43.25526932084309,0.0,27.08430913348946,0.0,18.852459016393443,0.0,10.807962529274006
2024-05-17,43.31500760322845,0.0,27.055795999532112,0.0,18.832612001403675,0.0,10.79658439583577
2024-05-20,43.3465855940131,0.0,27.04630495790458,0.0,18.814312441534145,0.0,10.792797006548176
2024-05-27,43.42274803795244,0.0,27.093826871266252,0.0,18.671664519151925,0.0,10.811760571629378
2024-06-12,43.49712677377741,0.0,26.984871584379032,0.0,18.69356162777061,0.0,10.824440014072945
2024-06-19,39.495261420508996,0.0,24.363752529017145,0.0,16.973698221701632,9.338728569907358,9.828559258864871
2024-06-25,39.51209118994354,0.0,24.374134441248536,0.0,16.93831895174177,9.342708000426121,9.832747416640034
2024-07-08,39.50564670786277,0.0,24.37673130193906,0.0,16.940123588323033,9.343703388024718,9.833795013850416
2024-07-30,39.56466069142125,0.0,24.413145539906104,0.0,16.816047801963293,9.357661118224499,9.848484848484848
2024-08-02,33.644690305613494,0.0,20.749070463408,14.990477917838033,14.292191892627187,7.953205767661195,8.37036365285209
2024-08-20,33.65079365079365,0.0,20.73469387755102,14.993197278911566,14.294784580498865,7.954648526077097,8.371882086167801
2024-08-29,33.87869474825996,0.0,20.66347283738588,14.9416975503932,14.245683810901202,7.927325318629666,8.343125734430082
2024-09-04,28.26546003016591,16.56862745098039,17.239819004524886,12.46606334841629,11.885369532428355,6.613876319758673,6.96078431372549
2024-09-16,28.267591824421146,16.569877064635342,17.233577192850138,12.467003544762049,11.886265932574101,6.61437514141338,6.961309299343841
2024-10-02,28.24888620403232,16.58989654912029,17.20909159555992,12.48206599713056,11.900626746205543,6.6223665332628565,6.947066374688515
2024-10-03,28.2616907154189,16.597416333005967,17.17156455390194,12.487723804487421,11.906021001737555,6.625368285865377,6.950215305582836
2024-10-04,28.272370012091898,16.603688029020557,17.14026602176542,12.492442563482467,11.910519951632406,6.627871825876662,6.952841596130592
2024-10-07,28.28305738262645,16.609964466621303,17.146745293717398,12.497164889997732,11.877220836168444,6.630377258637635,6.955469872231043
2024-10-08,28.167737060823573,16.79637325273895,17.13638080846241,12.489610880241782,11.832262939176426,6.62636947487722,6.951265583679637
2024-10-14,28.18051251039383,16.80399123138559,17.09879809509411,12.49527553103031,11.83762945044977,6.629374858265931,6.954418323380453
2024-10-15,28.19969742813918,16.815431164901664,17.042360060514373,12.503782148260212,11.845688350983359,6.633888048411498,6.959152798789712
2024-10-16,28.188833408987747,16.817975487970948,17.044938719927373,12.505674080798912,11.847480708125284,6.634891814192767,6.960205779996974
2024-11-05,28.15870860677378,17.0098815719997,16.99479520253451,12.46888436297805,11.812627291242363,6.615373010485026,6.939729953986573
2024-11-13,28.126179156290092,17.017583578597844,17.002490378084673,12.474530224134027,11.817976001811184,6.618368425024526,6.9428722360576565
2024-11-18,28.234496270062543,16.991937306909804,16.976866852535604,12.45573054027579,11.800165774998115,6.60839424308643,6.932409012131716
2024-11-28,28.217486256495217,17.04194592966338,16.966639054145645,12.448226523081557,11.793056706077266,6.604412982905339,6.928232547631599
2024-12-04,28.209955568943446,17.049476617215152,16.966639054145645,12.448226523081557,11.793056706077266,6.604412982905339,6.928232547631599
2024-12-06,28.192970572740272,17.106946639572516,16.956423571912396,12.440731542108828,11.778430044404304,6.600436516896215,6.924061112365471
2024-12-18,28.14028749905923,17.15962971325356,16.956423571912396,12.440731542108828,11.778430044404304,6.600436516896215,6.924061112365471
2024-12-23,28.127585947491163,17.197020988490184,16.94877002933875,12.435116226585421,11.773113668848266,6.597457308357782,6.920935830888437
2025-01-02,27.78112298660244,17.5146771037182,16.957699834412164,12.441667921119976,11.779316573837121,6.600933313262081,6.924582267048021
