date,YUE XIU SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,CHINA GALAXY INTERNATIONAL SECURITIES,CHINA INDUSTRIAL SECURITIES,CITIBANK N.A.,HAITONG INTERNATIONAL SECURITIES CO LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,9.878518518518518
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,9.891851851851852
2024-03-15,0.0,0.0,0.0,0.0,0.06602567901234568,0.0,0.0
2024-03-20,0.0,0.0,0.0,0.0,0.06158123456790123,9.975802469135802,9.89679012345679
2024-03-22,0.0,0.0,0.0,0.0,0.0,0.0,9.90172839506173
2024-03-25,0.0,0.0,0.0,0.0,0.0,0.0,9.902222222222221
2024-04-10,0.0,0.0,0.0,0.0,0.06503802469135803,0.0,0.0
2024-04-18,1.4325925925925926,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,0.0,0.0,0.06502370370370371,0.0,0.0
2024-05-02,1.4380246913580248,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,1.4444444444444444,0.0,0.0,0.0,0.06156691358024691,0.0,0.0
2024-05-22,1.4992592592592593,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,1.5644444444444443,0.0,0.0,0.0,0.06551753086419752,0.0,0.0
2024-05-24,1.6765432098765434,0.7762962962962963,0.0,0.0,0.0,0.0,0.0
2024-05-27,1.7545679012345679,0.0,65.16148148148149,0.0,0.06897432098765431,0.0,0.0
2024-05-30,1.7876543209876545,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-31,1.7999999999999998,0.0,0.0,1.1091358024691358,0.0,0.0,0.0
2024-07-04,0.0,0.0,0.0,0.0,0.0,0.0,9.779753086419753
2024-07-05,0.0,0.0,0.0,0.0,0.0,0.0,9.654814814814815
2024-10-02,0.0,0.0,0.0,0.0,0.0739125925925926,0.0,0.0
2024-10-03,1.7753086419753088,0.7812345679012346,0.0,0.0,0.07440641975308641,0.0,0.0
2024-10-04,0.0,0.0,0.0,0.0,0.07094962962962963,0.0,0.0
2024-10-08,1.577777777777778,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-09,0.0,0.0,0.0,0.0,0.06946814814814815,0.0,0.0
2024-10-14,0.0,0.7762962962962963,0.0,0.0,0.0,0.0,0.0
2024-10-29,0.0,0.0,0.0,0.0,0.8595916049382715,0.0,0.0
2024-11-07,0.0,0.0,0.0,0.0,0.8600113580246914,0.0,0.0
2024-11-11,0.0,0.0,0.0,0.0,0.8649496296296296,0.0,0.0
2024-12-05,0.0,0.0,0.0,0.0,0.8654434567901234,0.0,0.0
2024-12-06,0.0,0.0,0.0,0.0,0.861492839506173,0.0,0.0
2024-12-13,0.0,0.7753086419753087,0.0,0.0,0.0,0.0,0.0
2024-12-16,0.0,0.7614814814814814,0.0,0.0,0.0,0.0,0.0
2025-01-03,0.0,0.0,64.76493827160495,0.0,0.8555669135802468,0.0,0.0
2025-01-06,0.0,0.0,64.71604938271605,0.0,0.0,0.0,0.0
2025-01-07,0.0,0.0,64.51851851851852,0.0,0.0,0.0,0.0
2025-01-17,0.0,0.0,0.0,0.0,0.8548148148148148,0.0,0.0
2025-02-20,1.5930864197530863,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-24,1.6434567901234567,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-25,0.0,0.0,0.0,0.0,0.854320987654321,0.0,0.0
2025-03-06,1.6780246913580248,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-15,1.7777777777777777,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-29,1.7960493827160493,0.0,0.0,0.0,0.0,0.0,0.0
