date,CMB WING LUNG BANK LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,LIVERMORE HOLDINGS LTD,CINDA INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CITIC SECURITIES BROKERAGE (HK) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,733.7505278918877,0.0,0.0,212.03977425423273,253.31132184128688,0.0,0.0,1199.1016239874075
2024-03-04,8781.54873881829,0.0,733.520175068146,0.0,77.92528890083311,212.7692248627481,252.96579260567435,0.0,0.0,10058.729220255691
2024-03-05,8780.588935386033,0.0,733.1746458325335,0.0,79.76811149076669,213.15314623565092,252.73543978193266,0.0,0.0,10059.420278726917
2024-03-06,8780.588935386033,0.0,733.0210772833723,0.0,79.76811149076669,212.88440127461894,252.69704764464237,0.0,0.0,10058.959573079434
2024-03-07,8780.934464621645,0.0,732.5603716358889,0.0,79.99846431450838,213.22993051023153,252.35151840902984,173.57085268936922,0.0,10232.645602180673
2024-03-08,8780.896072484356,2575.2293930203095,732.1380581256958,0.0,79.99846431450838,213.65224402042463,251.35332283948247,173.57085268936922,103.27484931086113,12910.113256805007
2024-03-11,8780.896072484356,2574.8454716474066,731.2934311053097,0.0,79.11544515683188,214.8040081391331,251.08457787845052,163.66568126847622,105.96229892118095,12901.666986601145
2024-03-12,8781.279993857259,2574.8454716474066,730.3720198103429,0.0,78.92348447038047,214.8040081391331,251.77563634967558,163.66568126847622,105.96229892118095,12901.628594463853
2024-03-13,8781.279993857259,2574.8454716474066,725.6113947863478,0.0,78.76991592121934,214.8040081391331,252.9274004683841,163.66568126847622,105.96229892118095,12897.866165009407
2024-03-14,8781.625523092871,2574.8454716474066,724.0373171574461,0.0,76.27442699735094,214.8040081391331,245.6328943832303,163.78085768034708,105.96229892118095,12886.962798018965
2024-03-15,8781.625523092871,2574.8454716474066,720.1597112911276,0.0,76.27442699735094,214.8040081391331,242.4847391254271,163.78085768034708,105.96229892118095,12879.937036894844
2024-03-18,8781.625523092871,2575.2293930203095,720.1597112911276,0.0,76.27442699735094,214.8040081391331,242.94544477291052,163.78085768034708,105.96229892118095,12880.78166391523
2024-03-19,8781.625523092871,2575.2293930203095,720.082927016547,0.0,77.42619111605943,215.2263216493262,235.68933082504705,163.78085768034708,105.96229892118095,12875.022843321687
2024-03-20,8781.625523092871,2578.0704111797904,720.082927016547,0.0,84.33677582831037,205.66667946404579,225.8225515414443,166.04599378047376,105.96229892118095,12867.613160824663
2024-03-21,8781.779091642033,2578.2239797289517,721.1195147233847,0.0,80.30560141283065,172.80300994356358,216.80039927822781,166.04599378047376,107.26763158905057,12824.345222098515
2024-03-22,8782.163013014935,2578.300764003532,722.8087687641571,0.0,81.5341498061197,147.69455215571853,214.03616539332745,166.04599378047376,117.3263715591047,12809.909778477368
