date,217,293,1627,1085,Others
2025-03-24,100.0,0.0,0.0,0.0,0.0
2025-03-25,100.0,0.0,0.0,0.0,0.0
2025-03-26,100.0,0.0,0.0,0.0,0.0
2025-03-28,100.0,0.0,0.0,0.0,0.0
2025-04-01,100.0,0.0,0.0,0.0,0.0
2025-04-03,100.0,0.0,0.0,0.0,0.0
2025-04-07,100.0,0.0,0.0,0.0,0.0
2025-04-09,99.99523696118123,0.0,0.0,0.004763038818766373,0.0
2025-04-10,100.0,0.0,0.0,0.0,0.0
2025-04-11,100.0,0.0,0.0,0.0,0.0
2025-04-14,100.0,0.0,0.0,0.0,0.0
2025-04-15,100.0,0.0,0.0,0.0,0.0
2025-04-16,99.99009410599307,0.0,0.009905894006934125,0.0,0.0
2025-04-17,100.0,0.0,0.0,0.0,0.0
2025-04-22,99.87468671679198,0.12531328320802004,0.0,0.0,0.0
2025-04-24,99.98745294855709,0.0,0.012547051442910915,0.0,0.0
2025-04-25,100.0,0.0,0.0,0.0,0.0
2025-04-30,100.0,0.0,0.0,0.0,0.0
