date,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,HANG SENG SECURITIES LTD,CITIBANK N.A.,HUATAI FINANCIAL HOLDINGS (HONG KONG),GOLDMAN SACHS (ASIA) SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ABN AMRO CLEARING HONG KONG LTD
2024-03-01,41.352574599032984,22.77569918484156,8.781898311733467,0.0,6.497196128368881,10.509095123611067,8.193486459097947,0.0,0.0,1.890050193314096
2024-03-04,37.38683722773975,20.637139887935373,7.9155015588339275,9.892167261273423,5.839734730391369,9.471657077963123,7.1170678923065385,0.0,0.0,1.7398943635564983
2024-03-05,37.475981738092564,20.53982883475971,7.931780107794495,9.832099637652071,5.834765062594668,9.46359661094965,7.070066421533208,0.0,0.20204777426312773,1.6498338123605067
2024-03-06,37.10265335174871,20.346693317710308,7.851895838248665,9.641562903443871,5.779900906895427,9.388660758547376,7.031156801980802,0.0,0.20014792389607153,2.6573281975287695
2024-03-07,35.631066943962786,20.02504046812055,7.679513439606896,9.40222430601757,5.710850694899183,8.698943376062779,6.81697932327873,0.0,0.19775683505246447,5.837624612999042
2024-03-08,35.6035046423434,19.908983915260887,7.660258925068654,9.36681051392703,5.707597750751929,8.686020661697398,6.793513796259972,0.0,0.1974630574081339,6.075846737282594
2024-03-11,34.96711235292743,19.854115435251714,7.620897483504242,9.150114645844315,5.666854497155277,8.624016162077803,6.768389427134321,0.0,0.1960534823512915,7.152446513753606
2024-03-12,34.70171301249164,19.90957293122701,7.599101455839366,9.1720743303217,5.680454582132715,8.646795617644992,6.183087483113252,0.0,0.19652399805298082,7.910676589176344
2024-03-13,34.93002784421703,19.702237352578045,7.448457203076813,9.10154615476012,5.6316091271173745,8.589346874886996,6.061412254555035,0.0,0.19501283726889043,8.340350351539698
2024-03-14,35.515909949103055,20.33564328527286,7.556361586367916,9.370196833433496,5.785339339562936,8.843942625261265,6.18076127364687,0.0,0.20076903848915317,6.21107606886245
2024-03-15,36.07045557035017,20.437825707584302,7.582432537003584,9.437748324932423,5.559009608790669,8.87445598661547,6.213826945706731,0.0,0.2014617316102796,5.622783587406373
2024-03-18,36.29514883672315,20.636673304263695,7.583476939487091,9.441557432187969,5.582549641274954,8.91331905758629,6.226030279234685,0.0,0.20234397403565008,5.118900535206512
2024-03-19,36.20902493507049,20.57463954768445,7.559345040240266,9.331145858939966,5.56576851960711,8.886525656509518,6.018137511623185,0.0,0.20173572886718039,5.653677201457842
2024-03-20,36.635608831460075,20.557172224150356,7.552927356702352,9.323223963478123,5.561043329684705,8.878981231812478,5.984195210508049,0.0,0.20156446058146676,5.305283391622393
2024-03-21,36.60426990474419,20.437884444208258,7.518699100583226,9.279005194563643,5.534668066054656,8.786916607989797,5.958204354930849,0.0,0.20060846806871174,5.679743858856664
2024-03-22,36.24308599283947,20.391570027828795,7.52121713105582,9.282112755795008,5.536521639746006,8.721018315972454,5.964984092135375,0.0,0.14751653912909424,6.191973505497981
2024-03-25,35.723432853196734,20.29882417687089,7.487008794860668,9.276143808142919,5.495464984601056,8.681352990358462,5.9616666843057775,0.0,0.14684559780710574,6.929260109856382
2024-03-26,36.19790771184087,20.34069116927431,7.472986734734365,9.236486754572748,5.472748674134715,8.651651214770338,5.985901522265278,0.0,0.14680403644972292,6.494822181957652
