date,CMB INTERNATIONAL SECURITIES LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,FUTU SECURITIES INTERNATIONAL,CITIC SECURITIES BROKERAGE (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-11,0.0,0.0,0.0,70.20598132182771,0.0,0.0,0.0,29.794018678172296,0.0,0.0
2024-04-02,0.0,0.0,0.0,70.21262298550445,0.0,0.0,0.0,29.787377014495537,0.0,0.0
2024-04-25,0.0,0.0,0.0,70.19311613550965,0.0,0.0,0.0,29.73567348674565,0.0712103777447061,0.0
2024-04-26,0.0,0.0,0.0,70.20770159117174,0.0,0.0,0.0,29.72112287658476,0.07117553224351256,0.0
2024-05-09,0.0,0.0,0.0,70.25218629882393,0.0,0.0,0.0,29.72112287658476,0.02669082459131721,0.0
2024-05-14,0.0,0.0,0.0,70.25663476958914,0.0,0.0,0.0,29.72112287658476,0.022242353826097676,0.0
2024-05-17,0.0,0.0,0.0,51.17190411188618,0.0,27.162939062085282,0.0,21.648955428503765,0.016201397524773817,0.0
2024-05-23,0.0,0.0,0.0,51.23013531036701,0.0,27.134852363027935,0.0,21.61883347140584,0.01617885519922008,0.0
2024-05-24,0.0,0.0,0.0,51.15089616025548,0.0,27.213391431023076,0.0,21.619533029994574,0.016179378726871353,0.0
2024-05-27,0.0,0.0,0.0,51.13434972005402,0.0,27.236936654207057,0.0,21.6125394807644,0.016174144974528827,0.0
2024-05-31,0.0,0.0,0.0,51.13751095598047,0.0,27.235174631555463,0.0,21.611141313833702,0.016173098630361087,0.0
2024-06-05,0.0,0.0,0.0,51.14721481515869,0.0,27.235174631555463,0.0,21.601437454655485,0.016173098630361087,0.0
2024-06-06,0.0,0.0,0.0,51.15353480475346,0.0,27.231651270100592,0.0,21.59864291879782,0.016171006348116128,0.0
2024-06-07,0.0,0.0,0.0,51.132256160399116,0.0,27.25782227295866,0.0,21.593754220485714,0.016167346156513517,0.0
2024-06-11,0.0,0.0,0.0,51.07947351937499,0.0,27.331547104147496,0.0,21.572827698107506,0.01615167837000053,0.0
2024-07-08,0.0,0.0,0.0,50.9987494103956,0.0,27.446389636905867,0.0,21.53873479984309,0.016126152855442406,0.0
2024-07-09,0.0,0.0,0.0,51.000329762739824,0.0,27.445504456105756,0.0,21.538040148387815,0.016125632766604635,0.0
2024-07-19,0.0,0.0,0.0,50.83907343507378,0.0,27.606760783771804,0.0,21.538040148387815,0.016125632766604635,0.0
2024-07-22,0.0,0.0,0.0,50.16872239948012,0.0,28.30289451516436,0.0,21.512365419895154,0.016017665460369875,0.0
2024-07-23,0.0,0.0,0.0,50.1350031294847,0.0,28.349709522810507,0.0,21.499279425806854,0.016007921897938152,0.0
