date,LIVERMORE HOLDINGS LTD,SDICS INTERNATIONAL SECURITIES (HONG,VALUABLE CAPITAL LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA CONSTRUCTION BANK (ASIA),INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,92.27542817196785,0.0,0.0,7.724571828032156,0.0,0.0,0.0
2024-03-12,0.0,0.0,92.23512970565115,0.0,0.0,7.764870294348851,0.0,0.0,0.0
2024-03-13,0.0,0.0,92.27542817196785,0.0,0.0,7.724571828032156,0.0,0.0,0.0
2024-03-14,0.0,0.0,92.210967516591,0.0,0.0,7.789032483409011,0.0,0.0,0.0
2024-03-15,0.0,0.0,92.27542817196785,0.0,0.0,7.724571828032156,0.0,0.0,0.0
2024-03-19,0.0,0.0,92.25930456054516,0.0,0.0,7.740695439454831,0.0,0.0,0.0
2024-03-20,0.0,50.03222341568206,45.370569280343716,0.0,0.0,3.806659505907626,0.0,0.0,0.790547798066595
2024-03-22,0.0,50.05365958360163,45.331616226658085,0.0,0.0,3.8248551191242757,0.0,0.0,0.789869070616012
2024-03-27,35.41628328820421,30.652751123846578,27.760982149898787,0.0,0.0,2.339703988012303,2.2687242041063116,1.1067588527563816,0.4547963931754252
2024-03-28,35.42373327022692,30.659199074439275,27.766821803265756,0.0,0.0,2.3664904945965133,2.269201440929768,1.1464331729378665,0.3681207436039021
2024-04-02,35.422801851072784,30.658392932267564,27.766091712242325,0.0,0.0,2.369057635675221,2.269141775347076,1.1464030290281868,0.368111064366849
2024-04-10,35.421870480898164,30.657586832487578,27.765361659611393,0.0,0.0,2.368995346146767,2.282228590960482,1.146372886703652,0.3575842031919649
2024-04-11,35.422801851072784,30.658392932267564,27.766091712242325,0.0,0.0,2.3348758939840133,2.316470340765671,1.1464030290281868,0.3549642406394615
2024-04-12,35.42373327022692,30.659199074439275,27.764192369382872,0.0,0.0,2.3349372880018935,2.316531250821698,1.1464331729378665,0.354973574189477
2024-04-22,35.44143954540671,30.674523834578554,27.778070083131645,0.0,0.0,2.338735136272756,2.265074187098811,1.1470062085657162,0.3551510049458066
2024-05-02,35.42466473836445,30.660005259006045,27.764922429660793,0.0,0.0,2.337628188272417,2.264002103602419,1.1464633184328161,0.4023139626610571
2024-05-06,35.40046247635064,30.63905822997688,27.74595333193189,0.0,0.0,2.336031112045407,2.2624553289888585,1.1456800504519655,0.470359470254362
2024-05-08,34.092461853791846,29.504795161820894,26.71879349173815,0.0,3.6589994686100358,2.249550848958729,2.191350995723576,1.1032667830663732,0.480781396290392
2024-05-13,34.093324560959566,29.505541778430082,26.719469608785868,0.0,3.6590920593147427,2.2496077736727567,2.1914064476947215,1.1032947011488436,0.4782630699934207
2024-05-14,34.07176997192929,29.486887691879726,26.702576941557293,0.0,3.6567786966087548,2.2633588751485725,2.1900209898085627,1.1025971726980757,0.5260096603697241
2024-05-16,34.06315576568149,29.479432659975224,26.695825853917526,0.0,3.655854170353703,2.275427906859151,2.1894672970444717,1.1023184082117665,0.5385179379566657
2024-05-17,34.064016990291265,29.480177993527505,26.69650080906149,0.0,3.6559466019417473,2.2679004854368934,2.1895226537216828,1.102346278317152,0.5435881877022654
2024-05-20,34.06832376665739,29.483905226692293,26.699876096796217,0.0,3.6564088299997475,2.255544036210079,2.189799479100817,1.1024856499860924,0.5436569145573621
2024-05-22,34.06751801744848,29.48539638386648,26.701226450878746,0.0,3.656593753951195,2.253129346314325,2.189910228853205,1.1025414085219372,0.5436844101656341
2024-05-24,34.02277950349774,29.446675253175748,26.66616157789732,0.0,3.651791802409273,2.3814935474909715,2.1870343712907543,1.1010935171856453,0.5429704270525545
2024-05-28,34.004745317784845,29.43106668685951,26.652026856479377,0.0,3.649856126003332,2.4332374173355547,2.1858751072744713,1.1005098692513504,0.5426826190115603
2024-05-29,33.97730138713745,29.407313997477928,26.630517023959648,0.0,3.646910466582598,2.5119798234552335,2.184110970996217,1.0996216897856241,0.5422446406052964
2024-05-30,33.96530859217427,29.396934247680516,26.62111738604276,0.0,3.6456232351754743,2.546389673255345,2.183340056474385,1.0992335619201292,0.5420532472771278
2024-05-31,33.973874010188126,29.404347606798808,26.62783073586523,0.0,3.646542593433197,2.5218136884047007,2.183890654158471,1.0995107681444496,0.5421899430070106
2024-06-04,33.97130393121013,29.402123206495702,26.62581637541922,0.0,3.646266737272108,2.5291877852585922,2.1837254456968505,1.0994275915979523,0.5421489270494491
2024-06-05,33.96445228791126,29.39619311735787,26.620446237236862,0.0,3.6455313248455816,2.5513677045254,2.180763897642758,1.0992058489852514,0.5420395814950207
2024-06-06,33.981586580905535,29.411022827594905,26.63387564636146,0.0,3.64737041241014,2.5526548114516334,2.1314163198385674,1.0997603733131542,0.5423130281246058
2024-06-11,33.98758766839901,29.416216761693327,26.638579141228114,0.0,3.6555830263888187,2.5430142792270045,2.1368383874060246,1.099954589030728,0.5222261466269741
2024-06-12,34.004745317784845,29.43106668685951,26.6621232772982,0.0,3.657428441617447,2.4938159422484727,2.1379171083850776,1.1005098692513504,0.5123933565551012
2024-06-13,34.00217056611393,29.428838242346227,26.660104490043157,0.0,3.6571515105625805,2.501198859190833,2.137755230811943,1.1004265414805279,0.5123545594507963
2024-06-14,33.996164328252746,29.423639850610677,26.668012516402545,0.0,3.653982032906026,2.508327445240739,2.1373776117896437,1.1002321590794388,0.512264055718179
2024-06-17,33.99530646748593,29.422897373135836,26.66733957455399,0.0,3.6538898281561485,2.510787554568624,2.1373236771051505,1.100204395770774,0.5122511292235484
2024-06-18,33.99702223231635,29.424382365558838,26.668685492214905,0.0,3.6540742423095365,2.5058672117495644,2.137431549196255,1.1002599237893356,0.5122769828652182
2024-06-26,33.99788017968001,29.42512491798314,26.66935850199364,0.0,3.654166456367032,2.5286428102760814,2.1374854893251904,1.1002876899005702,0.487053954474335
2024-07-02,33.998738170347,29.425867507886434,26.670031545741324,0.0,3.6542586750788644,2.5261829652996846,2.137539432176656,1.1003154574132492,0.4870662460567823
2024-07-05,34.001312402200796,29.428095502498614,26.672050880823782,0.0,3.6545353591439103,2.518802685376811,2.1377012770682953,1.1003987683610117,0.48710312452677806
