date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,ORIENT SECURITIES (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,SHANGHAI COMMERCIAL BANK LTD,TOTAL_CCASS_PCT
2024-03-01,12.091597985335852,9.569665674904533,4.046345203474825,4.486768646375714,0.0,2.016240566014605,2.0752126732140064,0.0,1.3175117349699803,0.0,35.60334248428952
2024-03-04,12.09270828968227,9.56573690567875,4.042331026222395,4.486683238349067,3.8359575189374975,2.0127388369220593,2.0753834892673013,0.0,1.3175117349699803,0.0,39.429051040029314
2024-03-05,12.090573089016084,9.56573690567875,4.042074802142452,4.486085382162535,3.8359575189374975,2.012482612842117,2.0755543053205963,0.0,1.3175117349699803,0.0,39.42597635107001
2024-03-06,12.131910573913451,9.563601705012564,4.042074802142452,4.48591456610924,3.8359575189374975,2.0187173987873814,2.0758105294005387,0.0,1.2497831698385486,0.0,39.40377026414168
2024-03-07,12.104580005386266,9.577523213356098,4.039170929236438,4.484377221629585,3.8359575189374975,2.0329805392375064,2.069575743455274,0.0,1.2497831698385486,0.0,39.39394834107722
2024-03-08,12.110558567251587,9.57880433375581,4.044551634915228,4.526056338633543,3.8333952781380733,2.0096641479627513,2.069575743455274,0.0,1.2497831698385486,0.0,39.42238921395082
2024-03-11,12.12729854047449,9.520641467608893,4.054288149953038,4.529814291806032,3.8282707965392264,1.9433875192843266,2.0595830043375223,0.0,1.2437191999465793,0.0,39.307002969950105
2024-03-12,12.122174058875641,9.517225146542996,4.066245273683682,4.53152245233898,3.8363845590707344,1.9475725125900516,2.0606079006572915,0.0,1.2436337919199318,0.0,39.32536569567931
2024-03-13,12.20365173624882,9.513808825477097,4.067782618163336,4.53152245233898,3.80569933407289,1.9538927065619633,2.064195037776485,0.0,1.2474771531190674,1.1825896005860366,40.570619464344674
2024-03-14,12.203224696115583,9.508684343878251,4.075469340561607,4.529002915552881,3.80569933407289,1.9477433286433465,2.0671843187091454,0.0,1.2507226581316706,1.1825896005860366,40.57032053625141
