date,CHIYU BANKING CORPORATION LTD,BANK OF CHINA (HONG KONG) LTD,GET NICE SECURITIES LTD,CHONG HING BANK LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,HAITONG INTERNATIONAL SECURITIES CO LTD,SHANGHAI COMMERCIAL BANK LTD,HSBC BROKING SECURITIES (HONG KONG) LTD
2024-03-01,0.0,72.73316118359807,0.0,0.0,0.0,0.0,27.266838816401933,0.0,0.0,0.0
2024-03-08,0.0,72.73201976857764,0.0,0.0,0.0,0.0,27.26798023142235,0.0,0.0,0.0
2024-03-11,0.0,72.70242275712303,0.0,0.0,0.0,0.0,27.29757724287697,0.0,0.0,0.0
2024-03-12,0.0,54.3892562941444,0.0,0.0,25.189210714692976,0.0,20.421532991162614,0.0,0.0,0.0
2024-03-14,0.0,54.38786152545006,0.0,0.0,25.191129177161553,0.0,20.42100929738838,0.0,0.0,0.0
2024-03-21,0.0,43.73986169565843,0.0,0.0,20.25923570557951,19.577897588065767,16.423005010696293,0.0,0.0,0.0
2024-03-27,0.0,42.75992594240046,0.0,0.0,19.80690990936393,19.14011185071674,16.057002432971824,0.0,2.236049864547051,0.0
2024-03-28,0.0,42.75925844293943,0.0,0.0,19.805978091050587,19.1385393289516,16.06027946772971,0.0,2.235944669328672,0.0
2024-04-03,0.0,43.48343018361758,0.0,0.0,18.44781037363605,19.462670051620215,16.332276713740036,0.0,2.2738126773861205,0.0
2024-04-08,0.0,43.47006075436373,0.0,0.0,18.471517945457784,19.456686052905134,16.328621677055146,0.0,2.2731135702182077,0.0
2024-04-11,0.0,43.47095179387334,0.0,0.0,18.468480274694233,19.457768130826583,16.32963963661791,0.0,2.2731601639879364,0.0
2024-04-12,0.0,43.44453314511059,0.0,0.0,18.518712357674243,19.445260196343163,16.319715606980196,0.0,2.2717786938917994,0.0
2024-04-15,0.0,43.446976264021316,0.0,0.0,18.513447345908222,19.44703658984523,16.320633352043398,0.0,2.2719064481818383,0.0
2024-04-17,0.0,43.445916730262695,0.0,0.0,18.5137941995538,19.447400934497573,16.320939122820207,0.0,2.271949012865727,0.0
2024-04-18,0.0,43.435831610461776,0.0,0.0,18.532709628424197,19.442886600746515,16.31715053602759,0.0,2.2714216243399283,0.0
2024-04-22,0.0,43.428441974557366,0.0,0.0,18.53513077206292,19.445426651400503,16.31928223538589,0.0,2.271718366593322,0.0
2024-04-25,0.0,24.15725558115148,21.367475098699074,23.00709952844492,10.310245335375129,10.81660129040824,9.077670161230325,0.0,1.2636530046908319,0.0
2024-04-29,23.68547906092907,18.435933543179146,16.30636238714807,17.557624410702953,7.868154564938079,8.254574750829068,6.927527871041477,0.0,0.9643434112321377,0.0
2024-04-30,23.685547715676307,18.435986981589842,16.306409652782225,17.55767530324614,7.867887511502318,8.254598677545586,6.927547951178919,0.0,0.9643462064786674,0.0
2024-05-02,23.68760754318204,18.428893719508245,16.307827749231834,17.559202216744637,7.8685717469400105,8.255316543545938,6.9281504094369435,0.0,0.9644300714103549,0.0
2024-05-06,23.688156891025823,18.429321110624453,16.30820594994267,17.55960943853176,7.865855309772051,8.255507995567198,6.928890866680315,0.0,0.9644524378557312,0.0
2024-05-07,23.687744877754255,18.430450000243724,16.30792229776501,17.559304020420694,7.865718497237638,8.255654292681731,6.928770350972509,0.0,0.9644356629244429,0.0
2024-05-09,23.691178759684174,18.42152460163493,16.310286367455127,17.561849496027968,7.866858747132801,8.256851069421838,6.926875486791674,0.0,0.9645754718514884,0.0
2024-05-14,23.69195797738336,18.430828652777244,16.31082282298338,17.562427116250944,7.853780321018627,8.257122642421988,6.930002701284726,0.0,0.9630577658797317,0.0
2024-05-16,23.69182059395432,18.43072177725253,16.310728240814523,17.562325276358195,7.853734779013511,8.2570747615409,6.930542389704818,0.0,0.9630521813612057,0.0
2024-05-17,23.690790269020766,18.42992025032406,16.31001890951074,17.561561514808012,7.8565823973618745,8.256715672632083,6.931400686805862,0.0,0.9630102995365973,0.0
2024-05-20,23.687768499461185,18.43916499687382,16.307938560223217,17.559321530771957,7.8573196107182355,8.255082750816376,6.930516583938763,0.0,0.9628874671964491,0.0
2024-05-21,23.682550894564923,18.43510347974219,16.304346479353224,17.555453813051052,7.877325667040691,8.253264438543495,6.929279851670703,0.0,0.962675376033725,0.0
2024-05-22,23.681521375709266,18.434302075927082,16.30363770299698,17.554690649032086,7.876983226931834,8.257252817777887,6.928978624649375,0.0,0.9626335269754914,0.0
2024-05-23,23.68083507953167,18.419277725328776,16.303165219660332,17.55418190988057,7.8941430941815565,8.257013520607897,6.928777821184543,0.0,0.9626056296246622,0.0
2024-05-27,23.683580502938064,18.421413153240255,16.30505531733814,17.556217043427743,7.895058296924678,8.257970792516183,6.917987664884167,0.0,0.9627172287307674,0.0
2024-05-31,23.683443216649103,18.421306370085198,16.304960802045763,17.556115275543206,7.895012531747636,8.257922923649213,6.918527232118982,0.0,0.9627116481609024,0.0
2024-06-05,23.685060035307128,18.4119690615524,16.369841810672227,17.557313794461265,7.886276176180862,8.257617112290786,6.869144639083087,0.0,0.9627773704522434,0.0
2024-06-06,23.681833825221204,18.400766675607446,16.409635148022094,17.554922262298756,7.870711232620723,8.254173801540452,6.865310826909229,0.0,0.9626462277800939,0.0
2024-06-07,23.677304885934117,18.394350101263594,16.40794574780547,17.551565040146862,7.883693989365548,8.251725986894481,6.870952118306363,0.0,0.9624621302835599,0.0
2024-06-11,23.70246438772995,18.41244560034507,16.425380829310594,17.570215331397264,7.783365076004353,8.260204203002054,6.878088723293192,0.0,0.9678358489175193,0.0
2024-06-12,23.70315193817971,18.412979700303904,16.4258572893863,17.57072500031843,7.777209191097138,8.259863660274165,6.87799816429193,0.0,0.972215056148423,0.0
2024-06-13,23.723659262963093,18.428910111412467,16.44006849602909,17.58592671548276,7.783937821753774,8.267009870499265,6.8839488219336875,0.0,0.8865388999258597,0.0
2024-06-14,23.72682798510488,18.43137162440554,16.44226436338996,17.588275632854632,7.784977506898999,8.26695261759647,6.884868297332199,0.0,0.8744619724173274,0.0
2024-06-17,23.726896879769743,18.431425142860338,16.442312106151597,17.58832670324449,7.785000111834503,8.266686255925178,6.884888288655704,0.0,0.8744645115584451,0.0
2024-06-18,23.73613238511614,18.438599428073914,16.448712144982338,17.59517281911565,7.765953947771174,8.266127769025271,6.887568176502875,0.0,0.8617333294126398,0.0
2024-06-21,23.736821890233866,18.43913504644944,16.449189959607736,17.595683936997418,7.766179539072408,8.26636788975379,6.887768251790178,0.0,0.8588534860951637,0.0
2024-06-24,22.342328944419457,17.353683707711944,15.933977720927093,16.561971115610064,7.309931325505939,7.781281409946983,6.4831250234784035,5.425303268097704,0.8083974843024141,0.0
2024-06-25,22.30384827926349,17.323795091639727,16.078493456068173,16.533446082861328,7.297341276350827,7.768152495633622,6.47195900028479,5.4159591536614435,0.8070051642365985,0.0
2024-06-27,22.303787400841554,17.32374780628816,16.078449569771223,16.533400954769796,7.297321358235546,7.768131292437682,6.472214285358086,5.415944370784407,0.8070029615135402,0.0
2024-06-28,22.243195955351844,17.27668535442662,16.306978946013366,16.488485593772737,7.277497135499199,7.74648362922552,6.454631584625643,5.401231179153765,0.8048106219313069,0.0
2024-07-02,21.199516781003496,16.466041203182435,15.801271070303308,15.714824782380976,6.93602767144618,7.383008719662991,6.152031460006479,5.1477985110767905,0.767047879244056,4.432431921693291
2024-07-03,21.198251873370648,16.46505872695829,15.800328258795293,15.713887128847576,6.93561382077053,7.382568199052105,6.157631069325871,5.147491358338533,0.76700211194062,4.43216745260054
2024-07-04,21.195227706220297,16.462709802621127,15.79807416567618,15.711645367520122,6.947593574215678,7.382293145095585,6.1572713823953835,5.14675701126286,0.766892690531485,4.431535154461284
2024-07-08,21.195447616554247,16.461583677813024,15.798238078034835,15.711808383139845,6.947665658726598,7.3823697398164985,6.157594653560463,5.14681041125784,0.7669006473994185,4.431581133697235
2024-07-10,21.196600048805468,16.46247872189417,15.79909705489642,15.712662660673079,6.946253160980942,7.383030532433292,6.154023136969424,5.1470902520244115,0.7669423450816537,4.431822086241138
2024-07-12,21.1938511987034,16.46034380939826,15.797048172082576,15.710624986977342,6.94535234629054,7.382073074907749,6.166193415338815,5.146422759146684,0.7668428852843888,4.431247351870246
