date,UOB KAY HIAN (HONG KONG) LTD,HANG SENG SECURITIES LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,NANYANG COMMERCIAL BANK LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-05,0.0,65.2958152958153,0.0,0.0,34.704184704184705,0.0,0.0,0.0
2024-03-06,0.0,44.61712034427296,0.0,31.714068752853557,23.66881090287348,0.0,0.0,0.0
2024-03-07,0.0,44.61712034427296,0.0,31.69912915119802,23.683750504529023,0.0,0.0,0.0
2024-03-11,42.40224403445293,25.6984600947488,0.0,18.25798705171063,13.64130881908765,0.0,0.0,0.0
2024-03-14,42.48829278749076,25.672645468837445,0.0,18.25798705171063,13.581074691961167,0.0,0.0,0.0
2024-03-18,42.4915835004881,25.674633812039254,0.0,18.25940113053928,13.574381556933373,0.0,0.0,0.0
2024-03-19,42.50791026957818,25.66734472561961,0.0,18.254217245394674,13.570527759407533,0.0,0.0,0.0
2024-03-21,42.620953279410564,25.61687667139173,0.0,18.218325148425695,13.543844900772017,0.0,0.0,0.0
2024-03-25,42.74047496974888,25.605664070732086,0.0,18.124526673914183,13.529334285604847,0.0,0.0,0.0
2024-03-26,42.750014337994266,25.611379071768255,0.0,18.10625265400974,13.532353936227743,0.0,0.0,0.0
2024-03-28,42.792568693167915,25.61115921686389,0.0,18.064034319073528,13.532237770894664,0.0,0.0,0.0
2024-04-03,42.79747911002771,25.60896087540467,0.0,18.0624837873218,13.531076227245824,0.0,0.0,0.0
2024-04-05,42.802011386359986,25.61030079021006,0.0,18.064034319073528,13.523653504356417,0.0,0.0,0.0
2024-04-09,42.802993375060105,25.609861106462574,0.0,18.063724191427266,13.523421327050055,0.0,0.0,0.0
2024-04-11,39.55087035980575,23.531515178803357,0.0,16.63122594760287,12.45098038983234,0.0,7.835408123955682,0.0
2024-04-12,39.51682787273492,23.4788850216819,0.0,16.616911008661127,12.558712117338613,0.0,7.828663979583437,0.0
