date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.004241176486397937,0.013901634038748792,0.0,0.16696679299712458,0.30952734320174574,0.022462527316848332,0.003769934654575944,0.12048082833582287,0.6413502370312641
2024-03-04,0.0,0.0,0.004241176486397937,0.014765577397089114,0.0,0.1680663572713759,0.3028514172509341,0.022462527316848332,0.004555337707612599,0.12346535993736216,0.6404077533676201
2024-03-05,0.0,0.0,0.005419281065952919,0.01672908502968075,0.0,0.16798781696607223,0.3027728769456305,0.022462527316848332,0.007696949919759218,0.12652843184420512,0.6495969690881491
2024-03-06,0.0,0.11506154726986995,0.005419281065952919,0.011466884574335163,0.001884967327287972,0.2756665755373976,0.27646187466890254,0.024111873728225305,0.014215795259963455,0.1317906322995507,0.8560794317314857
2024-03-07,0.0,0.11898856253505323,0.005419281065952919,0.011545424879638827,0.0029845316015392888,0.2580264229661944,0.266722876811248,0.0245831155600473,0.014529956481178117,0.13823093733445127,0.8410311092353033
2024-03-08,0.0,0.12063790894643021,0.005419281065952919,0.011938126406157155,0.003534313738664947,0.5714022411278197,0.266722876811248,0.0245831155600473,0.014687037091785446,0.13650305061777063,1.1554279513658763
2024-03-11,0.0,0.13603180878594862,0.00031416122121466196,0.011859586100853489,0.010131699384172849,0.5441173390653263,0.2671155783377664,0.0245831155600473,0.013666013122837797,0.13563910725943032,1.1434584088375976
2024-03-12,0.0,0.133597059321535,0.00031416122121466196,0.011859586100853489,0.016100762587251426,0.5357135263978341,0.26852930383323237,0.0245831155600473,0.014765577397089114,0.13752407458671828,1.1429871670057756
2024-03-13,0.0,0.17490925991126308,0.0006283224424293239,0.011859586100853489,0.014922658007696443,0.5217176439927209,0.2704142711605203,0.0245831155600473,0.015550980450125767,0.13548202664882297,1.1700678642744795
2024-03-14,0.0,0.21747810538584977,0.000785403053036655,0.011859586100853489,0.01484411770239278,0.5178691690328413,0.27253485940371924,0.025054357391869293,0.015786601366036764,0.13422538176396434,1.2104375812005637
2024-03-15,0.0,0.2264317001904676,0.00031416122121466196,0.011859586100853489,0.026939324719157266,0.1927908453809698,0.27300610123554125,0.025054357391869293,0.01688616564028808,0.13438246237457166,0.9076647042549331
2024-03-18,0.0,0.2575336610907192,0.001099564274251317,0.011859586100853489,0.026703703803246267,0.18176378651633515,0.2723777787931119,0.025054357391869293,0.015943681976644097,0.1278636170343674,0.9201997369813981
2024-03-19,0.0,0.2867506546636827,0.002199128548502634,0.011859586100853489,0.02937407418357089,0.17956465796783252,0.27229923848780824,0.025054357391869293,0.012723529459193809,0.1292773425298334,0.9491025693331471
2024-03-20,0.0,0.2759120925317769,0.002199128548502634,0.012095207016764486,0.040998039368513386,0.1329902569227589,0.27072843238173494,0.024268954338832638,0.011309803963727832,0.1260571900123831,0.8965591050849948
2024-03-21,0.0,0.27850392260679785,0.002199128548502634,0.009738997857654521,0.04217614394806837,0.12890616104696828,0.27104259360294963,0.02387625281231431,0.010210239689476515,0.12597864970707945,0.8926320898198117
2024-03-22,0.0,0.3319113302132904,0.002199128548502634,0.008953594804617866,0.04131220058972805,0.12804221768862795,0.2665657962006407,0.02387625281231431,0.008325272362188543,0.12307265841084383,0.9342584516307543
2024-03-25,0.0,0.3430640535664109,0.002199128548502634,0.008875054499314201,0.04107657967381705,0.12427228303405202,0.2652306110104784,0.022462527316848332,0.004398257097005268,0.11922418345096424,0.930802678197393
2024-03-26,0.0,0.36953213645374616,0.002670370380324627,0.009189215720528863,0.04107657967381705,0.05947653115852798,0.26043965238695477,0.021991285485026338,0.004398257097005268,0.11922418345096424,0.8879982118068954
2024-03-27,0.0,0.42427472925040105,0.0027489106856282922,0.009110675415225198,0.04728126379280663,0.059555071463831655,0.26020403147104376,0.021991285485026338,0.005026579539434591,0.11867440131383855,0.9488669484172361
2024-03-28,0.0,0.4589895441946211,0.0027489106856282922,0.008953594804617866,0.05364302852240353,0.028824292046445234,0.25996841055513276,0.022776688538062993,0.005026579539434591,0.11867440131383855,0.959605450200185
2024-04-02,0.0,0.5059566467662131,0.002670370380324627,0.008953594804617866,0.08364542514840376,0.032120942821261295,0.2558057743740385,0.02128442273729335,0.004633878012916264,0.09487668880682791,1.0099477438518967
2024-04-03,0.0,0.5303826817156531,0.0024347494644136303,0.008953594804617866,0.08411666698022574,0.030000354578062324,0.2558057743740385,0.02128442273729335,0.004633878012916264,0.09448398728030959,1.0320961099475303
2024-04-05,0.0,0.5237067557648415,0.0024347494644136303,0.008953594804617866,0.08498061033856606,0.029136411219722005,0.25643409681646784,0.0134303922069268,0.005340740760649254,0.09440544697500593,1.018822798351211
2024-04-08,0.0,0.5244921588178783,0.0024347494644136303,0.008953594804617866,0.08655141644463937,0.02882224999850734,0.2562770162058605,0.0134303922069268,0.005340740760649254,0.09448398728030959,1.0207863059838027
