date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,MERRILL LYNCH FAR EAST LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CHINA INTERNATIONAL CAPITAL CORPORATION,MORGAN STANLEY HONG KONG SECURITIES LTD,THE CORE SECURITIES COMPANY LTD
2024-03-01,125817190.0,157850616.0,126171960.0,47769460.0,51759180.0,0.0,27169140.0,0.0,75426161.0,0.0
2024-03-04,125554190.0,157864616.0,126152460.0,47834460.0,51769180.0,0.0,27183140.0,0.0,75427161.0,0.0
2024-03-05,125511690.0,157859116.0,126099960.0,47858460.0,0.0,0.0,0.0,0.0,75428661.0,0.0
2024-03-06,125558690.0,157853116.0,126042960.0,47864460.0,51749180.0,0.0,27096140.0,0.0,75427661.0,0.0
2024-03-07,125337190.0,0.0,126129460.0,47998460.0,51744180.0,0.0,27073640.0,0.0,75422661.0,0.0
2024-03-08,124945190.0,158003116.0,126149960.0,47923960.0,51768180.0,29110046.0,0.0,0.0,75345161.0,0.0
2024-03-11,124971190.0,157990616.0,125955960.0,47966960.0,51788180.0,29025046.0,0.0,0.0,75117661.0,0.0
2024-03-12,125181190.0,157944616.0,125939460.0,47686460.0,51778180.0,0.0,0.0,0.0,74964661.0,0.0
2024-03-13,124963190.0,0.0,126008460.0,47672460.0,51833680.0,29028046.0,27080640.0,12077000.0,74914161.0,0.0
2024-03-14,124275190.0,157946616.0,126134960.0,47670460.0,51959180.0,29061046.0,27084140.0,0.0,74915161.0,0.0
2024-03-15,124005190.0,157914707.0,126077960.0,47762460.0,51992180.0,0.0,27139140.0,0.0,74917661.0,0.0
2024-03-18,123669190.0,157916879.0,126001960.0,47671460.0,51952180.0,0.0,0.0,0.0,74920661.0,91161607.0
2024-03-19,123337190.0,157927379.0,126029960.0,47679460.0,51980180.0,0.0,0.0,0.0,74923661.0,0.0
2024-03-20,122846190.0,157397379.0,125996960.0,47742460.0,52000180.0,0.0,0.0,0.0,74926661.0,91131261.0
2024-03-21,123380690.0,157383379.0,125965460.0,47692960.0,52005680.0,0.0,0.0,0.0,74927661.0,91015261.0
2024-03-22,123656690.0,157382379.0,125958460.0,47776960.0,0.0,0.0,0.0,0.0,74928661.0,0.0
2024-03-25,123846690.0,156887279.0,125940460.0,47765960.0,0.0,29048046.0,0.0,0.0,74946661.0,0.0
2024-03-26,124213690.0,0.0,125969960.0,47772960.0,51945680.0,0.0,0.0,0.0,74945661.0,90961261.0
2024-03-28,124181190.0,156887779.0,125922960.0,47820460.0,0.0,29052546.0,27151640.0,0.0,74935161.0,0.0
2024-04-02,124281190.0,0.0,125892960.0,48042460.0,51965680.0,0.0,27285140.0,0.0,74890161.0,0.0
2024-04-03,123734190.0,156359379.0,125832960.0,48104460.0,51979180.0,29069546.0,0.0,12087000.0,74840161.0,0.0
2024-04-05,123392690.0,155815879.0,125466960.0,49243460.0,51959180.0,29179546.0,27308640.0,12089500.0,74683161.0,90711261.0
2024-04-08,123464690.0,155815379.0,125439960.0,49586460.0,51979180.0,29184546.0,0.0,12039500.0,0.0,0.0
2024-04-09,123565690.0,0.0,125413960.0,49924960.0,52014180.0,29174546.0,0.0,0.0,74682161.0,0.0
2024-04-10,0.0,0.0,125391460.0,49759460.0,51973180.0,29164546.0,0.0,11971000.0,74681661.0,0.0
2024-04-11,123616190.0,0.0,125369460.0,49579460.0,0.0,29269546.0,0.0,11963500.0,74678661.0,0.0
2024-04-12,123974690.0,155831379.0,125450960.0,49242460.0,51914180.0,29242546.0,27308140.0,11751000.0,74676161.0,0.0
2024-04-15,124098690.0,155835879.0,125557960.0,48902960.0,51812180.0,29248046.0,27287140.0,11711000.0,74672161.0,0.0
2024-04-16,124170690.0,155834379.0,125555960.0,48985460.0,51803180.0,0.0,27411640.0,0.0,74670161.0,0.0
2024-04-18,124618190.0,155836379.0,125462460.0,49065460.0,51833180.0,0.0,27476640.0,0.0,74671161.0,0.0
2024-04-19,124847190.0,155513879.0,125381960.0,49142460.0,51853180.0,29497546.0,0.0,0.0,74672161.0,0.0
2024-04-22,125039190.0,0.0,125537960.0,49284960.0,51683680.0,0.0,0.0,0.0,74673161.0,0.0
2024-04-23,125624190.0,154471279.0,125522960.0,49288960.0,51330680.0,0.0,27466640.0,0.0,74674161.0,0.0
2024-04-24,125892690.0,0.0,125494960.0,49263960.0,51375680.0,29449546.0,0.0,0.0,74675161.0,0.0
2024-04-25,125907190.0,154471779.0,125485960.0,49342960.0,51372680.0,0.0,0.0,0.0,74676161.0,0.0
2024-04-26,126556190.0,154473779.0,125539460.0,48772460.0,0.0,0.0,27467640.0,0.0,74677161.0,0.0
2024-04-29,126487473.0,154469279.0,125548460.0,48770960.0,51392680.0,0.0,27484140.0,0.0,74678161.0,0.0
2024-04-30,126685473.0,154505779.0,125539960.0,48650960.0,51369680.0,29520546.0,27485140.0,0.0,74680661.0,0.0
2024-05-02,126698473.0,154360779.0,125480460.0,48814960.0,51470680.0,29495546.0,0.0,11711500.0,0.0,0.0
2024-05-03,126953473.0,154373779.0,125481960.0,49080460.0,0.0,0.0,0.0,0.0,74681661.0,0.0
2024-05-06,126973473.0,154382279.0,125512460.0,49070960.0,51510680.0,29395546.0,27486140.0,0.0,74686161.0,0.0
2024-05-07,126963473.0,154395779.0,125544960.0,49099960.0,51531180.0,29295546.0,27496140.0,0.0,74689666.0,0.0
2024-05-08,127053973.0,154398779.0,125550460.0,48879960.0,51520680.0,29291546.0,0.0,0.0,74692166.0,0.0
2024-05-09,127327473.0,154410779.0,125543460.0,48786960.0,51519180.0,0.0,0.0,0.0,74694166.0,0.0
2024-05-10,127691473.0,0.0,125543960.0,48802460.0,51530180.0,28973546.0,0.0,0.0,74695666.0,0.0
2024-05-13,127689973.0,154416279.0,125638960.0,49728460.0,50879180.0,28673546.0,0.0,11611500.0,74697166.0,0.0
2024-05-14,128394973.0,154460779.0,125844960.0,48040960.0,51065680.0,28523546.0,0.0,0.0,74698166.0,0.0
2024-05-16,128650973.0,154489279.0,125903460.0,48380960.0,50419180.0,0.0,27495640.0,0.0,74699166.0,0.0
2024-05-17,128900973.0,154446779.0,125909460.0,48979460.0,50388180.0,27523546.0,0.0,11609500.0,74700166.0,0.0
2024-05-20,129379473.0,154493779.0,126113460.0,48138460.0,50473180.0,0.0,0.0,0.0,74716666.0,0.0
2024-05-21,129853973.0,154073779.0,126146460.0,48191960.0,49992397.0,27530546.0,0.0,0.0,74728666.0,0.0
2024-05-22,129928973.0,154140279.0,126016960.0,48578500.0,49781897.0,27462546.0,27494140.0,0.0,74740666.0,0.0
2024-05-23,129981473.0,154166279.0,125978960.0,48661000.0,49791897.0,0.0,0.0,0.0,74757666.0,0.0
2024-05-24,130340473.0,154156779.0,125954960.0,48621000.0,49781897.0,0.0,27513640.0,0.0,74758666.0,0.0
2024-05-27,130377473.0,154160779.0,125910960.0,48570000.0,0.0,0.0,27522640.0,0.0,74768166.0,0.0
2024-05-28,130694473.0,154130279.0,125832460.0,48503500.0,49752397.0,0.0,27563640.0,0.0,74784666.0,90110761.0
2024-05-29,130609973.0,154148279.0,125589460.0,48875000.0,49811397.0,27463046.0,27618640.0,0.0,74802666.0,0.0
