date,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHIEF SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6704,0.6704
2024-03-07,0.0,0.0,2.696,0.0,0.0,0.0,0.0,0.6704,3.3664
2024-03-25,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.6704,3.3703999999999996
2024-03-28,0.0,0.0,2.7004,2.9232,0.0,0.0,0.0,0.6704,6.294
2024-04-18,0.0,0.0,2.7,2.9232,0.0,0.0,0.0,0.6704,6.2936000000000005
2024-04-19,0.0,0.0,2.6963999999999997,2.9232,0.0,0.0,0.0,0.6704,6.29
2024-04-26,0.0,0.0,2.696,2.9232,0.0,0.0,0.0,0.6704,6.289599999999999
2024-05-02,0.0,0.0,2.698,2.9232,0.0,0.0,0.0,0.6704,6.2916
2024-05-07,0.0,0.0,2.702,2.9232,0.0,0.0,0.0,0.6704,6.295599999999999
2024-05-14,0.0,0.0,2.7119999999999997,2.9232,0.0,0.0,0.0,0.6704,6.3056
2024-05-17,0.0,0.0,2.718,2.9232,0.0,0.0,0.0,0.6704,6.3116
2024-05-24,0.0,0.0,2.734,2.9132000000000002,0.0,0.0,0.0,0.6704,6.3176
2024-05-28,0.0,0.0,2.7312,2.8632,0.0,0.0,0.0,0.6704,6.264799999999999
2024-05-29,0.0,0.0,2.7332,2.8632,0.0,0.0,0.0,0.6624,6.258800000000001
2024-05-30,0.0,0.0,2.7224000000000004,2.8632,0.0,0.0,0.0,0.6624,6.248
2024-05-31,0.0,0.0,2.7244,2.8632,0.0,0.0,0.0,0.6624,6.25
2024-06-04,5.5072,0.0,2.726,2.854,0.0,0.0,0.0,0.6624,11.749600000000001
2024-06-05,5.5072,0.0,2.7256,2.854,0.0,0.0,0.0,0.6624,11.7492
2024-07-08,5.5172,0.0,2.7288,2.854,0.0,0.0,0.0,0.6624,11.762400000000001
2024-07-09,5.5172,0.0,2.7236,2.86,0.0,0.0,0.0,0.6624,11.7632
2024-07-11,5.5184,0.0,2.7288,2.868,0.0,0.0,0.0,0.6624,11.777600000000001
2024-07-12,5.5283999999999995,0.0,2.7283999999999997,2.868,0.0,0.0,0.0,0.6624,11.7872
2024-07-15,5.5404,0.0,2.7232,2.868,0.0,0.0,0.0,0.6624,11.794
2024-07-16,5.5504,0.0,2.7132,2.868,0.0,0.0,0.0,0.6624,11.794
2024-07-17,5.5604000000000005,0.0,2.7132,2.868,0.0,0.0,0.0,0.6624,11.804
2024-07-18,5.5792,0.0,2.7132,2.868,0.0,0.0,1.4056000000000002,0.6624,13.2284
2024-07-19,5.5792,0.0,2.7032,2.868,0.0,0.0,1.4056000000000002,0.6624,13.218399999999999
2024-07-22,5.5792,0.0,2.7016,2.868,0.0,0.0,1.4056000000000002,0.6624,13.216800000000001
2024-08-09,5.59,0.0,2.7016,2.868,0.0,0.0,1.4056000000000002,0.6624,13.2276
