date,UBS SECURITIES HONG KONG LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,36.952711317862644,21.86484137759848,18.16148582358437,7.202253923237309,0.0,8.183868163176479,0.0,3.849035911250468,3.7858034832902425
2024-03-04,0.0,37.02162079394478,21.881740346441426,18.346989510071445,7.222137298826459,0.0,7.875208894884358,0.0,3.8613756802896337,3.7909274755419005
2024-03-05,0.0,33.62015914063054,19.79746334560457,16.66716992158136,6.618353335426007,9.202420144974099,7.143449103234607,0.0,3.4761306311155913,3.4748543774332283
2024-03-06,0.0,33.66710611438713,19.82476286467197,16.69015295305013,6.6268928661476725,9.215109732515106,6.949685762108032,0.0,3.518478125022903,3.5078115820970535
2024-03-07,0.0,33.664328948796374,19.818329570959882,16.72222390837373,6.61027396345241,9.214028405311836,7.077947396927027,0.0,3.4769952606456553,3.415872545533087
2024-03-08,0.0,33.66057661232791,19.816120554974255,16.720359994475412,6.609537160645576,9.213001379498866,7.0689453820373656,0.0,3.4824741916898647,3.428984724350755
2024-03-11,0.0,33.64222197397055,19.785966248431784,16.76283956456469,6.605933073119376,9.207977659600834,7.03225636491875,0.0,3.513995997261304,3.4488091181327167
2024-03-12,0.0,30.41008334007314,17.85855189481192,15.13593866947382,5.971275483763669,8.323331563493182,6.361940225336091,9.667807293133547,3.153602868434238,3.1174686614803884
2024-03-13,31.137998211853933,20.943614341668315,12.298746410299934,10.421862938703827,4.18378023794994,5.715803737015182,4.360779267575983,6.6556113513375275,2.143670725250556,2.138132778344799
2024-03-14,31.151978785418518,20.95484291643054,12.286016867863646,10.435302958128197,4.167407176724336,5.702673748974397,4.373688119061891,6.658599637979512,2.144633206719939,2.1248565826990227
2024-03-15,31.17189149651449,20.97663856719786,12.29387023429328,10.482152351198543,4.207327946229536,5.648242011152463,4.357124847286375,6.553276734797057,2.209559993327214,2.0999158180031756
2024-03-18,31.14913618900029,20.979940595899354,12.277960830169972,10.508445179766222,4.3396705890594145,5.594114206659433,4.332774331573381,6.45724357405877,2.2382417961244587,2.122472707688702
2024-03-19,31.18658631600076,21.019781897605558,12.292722433496841,10.521079321662546,4.381431713327667,5.56429631895279,4.215562482330939,6.446369780011407,2.2471452126548943,2.125024523956597
2024-03-20,31.187270133171364,21.02024279087673,12.293722859771266,10.524233566133018,4.381527783420336,5.564418325296372,4.209076922317362,6.428604368133161,2.265832132267918,2.125071118612476
2024-03-21,31.181230785452218,21.01617226611413,12.291342206806261,10.549598568195586,4.369718111103801,5.563340787667149,4.208261843632951,6.4273594827372245,2.263566492271191,2.1294094560194847
2024-03-22,31.18818193604762,21.02085734667961,12.294082283722627,10.532946715831585,4.371057695733479,5.564581008744203,4.207738161496347,6.426599588763274,2.2640711032558807,2.1298841597253744
2024-03-25,31.296756492902134,20.99912578430539,12.280945527636094,10.521691808902785,4.400703071386608,5.558635014423634,4.1849887999567645,6.364972853877571,2.2645723597835605,2.1276082868254567
2024-03-26,31.290359617673218,20.996658633111146,12.278435373708446,10.538155707195525,4.399803593241851,5.557498861715975,4.184133412556036,6.363671890399426,2.264109494347787,2.1271734160505917
2024-03-27,31.29607098831229,21.00523684504387,12.28067653348238,10.542634610722216,4.40060668113752,5.5621638240363325,4.1827067970907015,6.333438602169839,2.2689034329812894,2.1275616850235624
2024-03-28,31.285221166130704,20.99795468222107,12.3209404512514,10.558320929890186,4.399081064711124,5.552571991787228,4.166294605643275,6.324674170976179,2.2553443031514133,2.1395966342374213
2024-04-02,31.271298739234027,20.988610254464252,12.317281270915187,10.556175678186014,4.397123402842258,5.5501010078925095,4.1644405374949605,6.328060633107106,2.2557997077987855,2.171108768064904
2024-04-03,31.29458583138139,21.00424004026613,12.338865020027916,10.53118314163807,4.400397850082814,5.554234053810292,4.167541710597733,6.309045479465833,2.2432430373415584,2.156663835388267
2024-04-05,31.156434219893132,21.384225778657736,12.290572711456795,10.460343035744808,4.39187488324212,5.529714592544652,4.192755169192936,6.226679747001731,2.2202567339388666,2.1471431283272215
