date,VMS SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,CELESTIAL SECURITIES LTD,EAST ASIA SECURITIES CO LTD,WOCOM SECURITIES LTD
2024-03-12,0.0,0.0,85.13157894736842,14.868421052631579,0.0,0.0,0.0
2024-04-22,0.0,0.0,85.14460999123575,14.85539000876424,0.0,0.0,0.0
2024-04-23,0.0,0.0,85.15111695137976,14.848883048620237,0.0,0.0,0.0
2024-04-24,0.0,0.0,85.15761821366024,14.842381786339756,0.0,0.0,0.0
2024-04-30,0.0,0.0,85.12505484861781,14.874945151382185,0.0,0.0,0.0
2024-05-03,0.0,62.105088127702025,32.25806451612903,5.636847356168939,0.0,0.0,0.0
2024-05-06,25.338299193047796,46.36871508379888,24.084419615145872,4.208566108007449,0.0,0.0,0.0
2024-05-07,25.38557213930348,46.45522388059701,23.942786069651742,4.216417910447761,0.0,0.0,0.0
2024-05-08,24.811573061026017,45.40481400437637,23.401410162898127,4.121079504011671,2.261123267687819,0.0,0.0
2024-05-10,25.350888088436218,46.391752577319586,21.736430257110918,4.210657061234629,2.310272015898646,0.0,0.0
2024-05-16,25.118365312733616,46.5362571642163,21.804136556192375,4.223772738599552,2.317468228258161,0.0,0.0
2024-05-17,25.149700598802394,46.46956087824351,21.831337325349303,4.229041916167665,2.3203592814371254,0.0,0.0
2024-05-30,25.00620193500372,45.447779707268666,21.06177127263706,4.204911932522947,2.307119821384272,1.972215331183329,0.0
2024-05-31,26.141078838174277,47.5103734439834,18.12759336099585,3.7474066390041494,2.411825726141079,2.0617219917012446,0.0
2024-06-03,25.806451612903224,48.18228366615463,17.895545314900154,3.699436763952893,2.380952380952381,2.035330261136713,0.0
2024-06-04,26.026336173508906,48.59282210172993,18.048024786986833,2.8789052414149237,2.4012393493415956,2.0526723470178156,0.0
2024-06-05,26.726766538512532,47.249105130584645,18.493967917274293,2.9563834018295108,2.465862388969906,2.1079146228291132,0.0
2024-06-06,27.26903827945354,48.207764101176785,16.840254294603003,3.01636683349114,2.5158934126876775,2.1506830785878535,0.0
2024-06-11,27.64294529000411,48.86877828054298,15.699986288221583,3.057726587138352,2.550390785684903,2.1801727684080627,0.0
2024-06-21,27.73802971931756,49.036873968079256,15.410016510731975,3.0682443588332418,2.5591634562465604,2.1876719867914143,0.0
2024-06-24,28.000000000000004,49.5,14.61111111111111,3.0972222222222223,2.5833333333333335,2.2083333333333335,0.0
2024-06-25,28.39836596703761,48.795605014790816,14.804902098887169,3.1412875052824343,2.6200873362445414,2.239752077757431,0.0
2024-06-26,28.616039744499645,48.45990063875089,14.861603974449963,3.165365507452093,2.640170333569908,2.256919801277502,0.0
2024-06-27,28.957196207986215,47.701809824763,15.038781959207123,3.20310255673657,2.671646078713014,2.427463372594082,0.0
2024-07-05,28.965517241379313,47.71551724137931,15.043103448275863,3.2040229885057467,2.6436781609195403,2.42816091954023,0.0
2024-07-18,30.35230352303523,45.96507076181873,15.010538994278832,3.35742246311352,2.7702499247214694,2.5444143330322193,0.0
2024-07-19,30.45317220543807,46.11782477341389,14.72809667673716,3.3685800604229605,2.7794561933534743,2.5528700906344413,0.0
2024-07-23,32.15311004784689,43.110047846889955,15.550239234449762,3.556618819776715,2.934609250398724,2.6953748006379583,0.0
2024-07-24,32.41157556270097,42.65273311897106,15.675241157556268,3.585209003215434,2.9581993569131835,2.717041800643087,0.0
2024-07-26,34.140558848433535,44.92802709568163,11.17696867061812,3.7764606265876375,3.1160033869602035,2.8619813717188824,0.0
2024-08-06,34.25658453695837,45.08071367884452,11.214953271028037,3.7892948173322005,3.1265930331350895,2.531860662701784,0.0
2024-08-16,36.422764227642276,41.60794941282746,11.924119241192411,4.0289069557362245,3.3242999096657635,2.691960252935863,0.0
2024-08-29,36.45569620253165,41.64556962025316,11.934900542495479,4.032549728752261,3.3273056057866186,2.603978300180832,0.0
2024-08-30,36.52173913043478,41.721014492753625,11.956521739130435,4.0398550724637685,3.3333333333333335,2.427536231884058,0.0
2024-09-02,40.686175580222,35.37840565085772,13.319878910191726,4.50050454086781,3.511604439959637,2.60343087790111,0.0
2024-10-02,40.686175580222,35.37840565085772,13.319878910191726,4.50050454086781,3.511604439959637,2.60343087790111,0.0
