date,UPBEST SECURITIES CO LTD,SEAZEN RESOURCES SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CNI SECURITIES GROUP LTD,SHANGHAI COMMERCIAL BANK LTD
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-27,92.27386956410768,0.0,3.6404554039674935,4.085675031924816,0.0,0.0
2024-03-28,92.2941104073438,0.0,3.620350637664228,4.0855389549919785,0.0,0.0
2024-05-16,92.30025868688344,0.0,3.6139301951939857,4.085811117922577,0.0,0.0
2024-05-17,92.28642620967572,0.0,3.6283749880113043,4.085198802312981,0.0,0.0
2024-05-31,92.28642620967572,0.0,3.6350356060153466,4.078538184308938,0.0,0.0
2024-06-11,92.28642620967572,0.0,3.6416962240193897,4.071877566304895,0.0,0.0
2024-06-17,92.93916677407191,0.0,3.6416962240193897,3.4191370019087035,0.0,0.0
2024-06-21,92.94226203859127,0.0,3.638487087880393,3.4192508735283464,0.0,0.0
2024-07-12,92.94411929626675,0.0,3.6385597954724282,3.4173209082608276,0.0,0.0
2024-08-05,92.94149405755545,0.0,3.6415264403033962,3.416979502141151,0.0,0.0
2024-08-27,92.69833747003482,0.0,3.7669724128378754,3.534690117127312,0.0,0.0
2024-09-10,92.69858899439403,0.0,3.7668426498806804,3.5345683557252894,0.0,0.0
2024-09-12,92.69220295645884,0.0,3.7734721854553483,3.5343248580857995,0.0,0.0
2024-09-13,91.71691047172504,0.0,3.7434360964022764,3.515820313546014,0.0,1.0238331183266651
2024-09-16,91.71090957855964,0.0,3.749903592961791,3.515458943737509,0.0,1.0237278847410676
2024-09-25,91.71433570936533,0.0,3.7464774621560983,3.515458943737509,0.0,1.0237278847410676
2024-09-26,91.71461957733635,0.0,3.746349107335243,3.515338503642111,0.0,1.0236928116862907
2024-10-03,91.72773170783756,0.0,3.7416412026097126,3.5107097163538206,0.0,1.019917373198901
2024-10-10,91.72144908195351,0.0,3.7482341407024578,3.5104692604379846,0.0,1.019847516906053
2024-10-16,91.8441157287422,0.0,3.7532469628724177,3.3814258654142013,0.0,1.021211442971186
2024-10-22,91.90986562326087,0.0,3.7229895948539613,3.3541659894057587,0.0,1.0129787924794127
2024-10-24,90.37283134573322,0.0,3.6607290030952346,3.2980733375095377,1.6723278476197072,0.9960384660422977
2024-10-28,85.25713686130175,5.657499992655978,3.4566630783349788,3.1113807737078982,1.57766313236363,0.9396561616357781
2024-10-29,85.24099907150962,5.656429119893984,3.4749371622935543,3.1107918399161028,1.5773645063842676,0.9394783000024698
2024-10-31,85.27032099553861,5.656072252389325,3.4463271566132687,3.1105955781937524,1.5772649895118027,0.9394190277532297
2024-11-14,85.26520804781435,5.658035581104253,3.4475234413786824,3.1116753242342337,1.5778124877591333,0.9397451177093399
2024-11-18,85.25713686130175,5.657499992655978,3.447197099540797,3.12084675250208,1.57766313236363,0.9396561616357781
2024-11-19,85.27154351783062,5.651971510268288,3.4438285147460204,3.117797075731725,1.5761214473698517,0.9387379340534836
2024-12-11,85.27784800362012,5.651971510268288,3.437524028956541,3.117797075731725,1.5761214473698517,0.9387379340534836
2024-12-12,85.27831206698197,5.651793352013923,3.437415673265218,3.117698798292876,1.5760717657595995,0.9387083436864174
2025-01-07,85.28100024651485,5.651971510268288,3.434371786061801,3.117797075731725,1.5761214473698517,0.9387379340534836
2025-02-21,85.23227997723798,5.647698809841499,3.494772714566622,3.1122902660663665,1.5749299525492189,0.9380282797383147
2025-02-24,85.24570557874219,5.6485884229511925,3.4827217792308787,3.1096301511279045,1.575178032055547,0.9381760358922839
2025-02-27,85.25644910559997,5.649300315251438,3.5335727567511444,3.047006996124388,1.5753765519384935,0.9382942743345666
2025-03-03,85.25376297001702,5.64912232535443,3.5366120799401406,3.046910995481625,1.5753269172767512,0.9382647119300329
2025-03-06,85.24570557874219,5.6485884229511925,3.545728900513101,3.0466230298456827,1.575178032055547,0.9381760358922839
2025-03-11,85.24677980958107,5.648659604107344,3.5457735823103285,3.0454012638133947,1.5751978817923433,0.9381878583955198
2025-03-21,85.26020997979721,5.649549519951035,3.530577739350058,3.045881050351265,1.5754460457197532,0.938335664830685
2025-03-26,85.2575236072285,5.649371514350773,3.533617290973735,3.045785080950027,1.5753964066789663,0.9383060998179923
2025-03-27,85.24677980958107,5.648659604107344,3.5457735823103285,3.0454012638133947,1.5751978817923433,0.9381878583955198
2025-04-02,85.26558323283481,5.649905564806265,3.546555696093149,3.0240153726336287,1.575545333186354,0.9383948004457923
2025-04-03,85.26558323283481,5.649905564806265,3.5654622400913856,3.0051088286353926,1.575545333186354,0.9383948004457923
2025-04-24,85.33499089096144,5.648659604107344,3.5615255611282524,2.9414382036150997,1.5751978817923433,0.9381878583955198
2025-04-28,85.41375078505105,5.648659604107344,3.5457735823103285,2.8784302883434063,1.5751978817923433,0.9381878583955198
2025-05-02,85.55688364039014,5.648125789160593,3.529688006068173,2.752154346538197,1.5750490209594514,0.9380991968834492
