date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HAITONG INTERNATIONAL SECURITIES CO LTD,INTERACTIVE BROKERS HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,REALINK FINANCIAL TRADE LTD,SHANGHAI COMMERCIAL BANK LTD,HANG SENG SECURITIES LTD
2024-03-01,0.0,45.084372707263384,0.0,54.915627292736616,0.0,0.0,0.0,0.0
2024-03-04,0.0,33.433079434167574,0.0,40.723612622415665,0.0,25.84330794341676,0.0,0.0
2024-03-06,0.0,33.570062824364925,0.0,40.48074296640262,0.0,25.949194209232452,0.0,0.0
2024-03-07,0.0,22.798887859128822,0.0,27.469879518072286,31.974050046339205,17.757182576459684,0.0,0.0
2024-03-08,0.0,22.746622246899868,0.0,27.429205996668514,31.92670738478623,17.897464371645384,0.0,0.0
2024-03-11,0.0,22.94172062904718,0.0,27.419056429232192,31.914893617021278,17.724329324699355,0.0,0.0
2024-03-13,0.0,22.945965951147297,0.0,27.405625462620282,31.92079940784604,17.72760917838638,0.0,0.0
2024-03-15,0.0,22.89736939607262,0.0,27.436087439792516,31.919229344201554,17.747313819933307,0.0,0.0
2024-03-18,0.0,23.183582917359953,0.0,27.2508781660196,31.85431687927528,17.711222037345166,0.0,0.0
2024-03-19,90.38036681501869,1.9681119163838519,0.0,2.2932782330037926,2.6806773374935786,1.5122567452372366,0.0,1.16530895286285
2024-03-25,90.38036681501869,1.969667736080598,0.0,2.2932782330037926,2.6791215177968324,1.5122567452372366,0.0,1.16530895286285
2024-04-05,90.376148545258,1.9742430481842206,0.0,2.2931712001761553,2.678996476732252,1.5121861645666372,0.0,1.1652545650827275
2024-04-17,90.3759988201404,1.974273762890695,0.0,2.293206876675244,2.6790381557902103,1.5122096907247877,0.0,1.1652726937786688
2024-04-25,90.3759988201404,1.943158337155617,0.0,2.3243223024103217,2.6790381557902103,1.5122096907247877,0.0,1.1652726937786688
2024-04-26,90.36756334452207,1.9367544631896023,0.0,2.3241053558275224,2.6787881008935703,1.5276248055037664,0.0,1.1651639300634633
2024-04-29,90.3634395640787,1.9425539032384909,0.0,2.32359930459432,2.6782048209581117,1.527292180128261,0.0,1.1649102270021054
2024-04-30,90.35360275698542,1.9532282665204417,0.0,2.3233463616095062,2.6779132762326436,1.5271259217540396,0.0,1.1647834168979385
2024-05-03,90.36705668649296,1.9723190895409237,0.0,2.323852302660994,2.678496429171507,1.5134593644505672,0.0,1.14481612768306
