date,SPDB INTERNATIONAL SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,LEADING SECURITIES COMPANY LTD,TIGER BROKERS (HK) GLOBAL LTD,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,YUE XIU SECURITIES CO LTD,CHINA INTERNATIONAL CAPITAL CORPORATION
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,64.99653504750373,0.0,35.00346495249626
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,64.89223654354885,0.0,35.10776345645115
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,64.7275653364203,0.0,35.272434663579695
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,64.75246865762372,0.0,35.247531342376284
2024-03-07,0.0,0.0,0.0,0.0,52.87430092946129,0.0,30.420516454816493,0.0,16.705182615722215
2024-03-08,0.0,0.0,0.0,0.0,52.836949553072856,0.0,30.41482647358721,0.0,16.748223973339943
2024-03-11,0.0,0.0,0.0,0.0,32.78360097784839,37.8962524570484,18.895098981838263,0.0,10.42504758326496
2024-03-12,0.0,0.0,0.0,0.0,32.757072413579884,37.87524327893089,18.930189820029522,0.0,10.437494487459704
2024-03-13,0.0,0.0,0.0,0.0,32.7261159549759,37.84822465014734,18.932622540846268,0.0,10.493036854030494
2024-03-14,0.0,0.0,0.0,0.0,32.68435675333735,37.80518956179864,18.94975480863773,0.0,10.560698876226281
2024-03-15,0.0,0.0,0.0,0.0,32.66402288014908,37.78342244972429,18.93884409924883,0.0,10.613710570877794
2024-03-18,0.0,0.0,0.0,0.0,32.63975826246056,37.757106301066216,18.98016188201289,0.0,10.622973554460332
2024-03-19,0.0,0.0,0.0,0.0,32.617748313217405,37.73339599307999,18.981104945023095,0.0,10.667750748679513
2024-03-20,0.0,0.0,46.47824763332697,0.0,17.307007293913394,20.185342508629816,10.305324624852659,0.0,5.724077939277157
2024-03-21,0.0,0.0,46.45606081542931,0.0,17.29550930182491,20.175706850203664,10.311732450442168,0.0,5.760990582099948
2024-03-22,0.0,0.0,46.45155083428984,0.0,17.29180773182229,20.17374818096282,10.321652946309321,0.0,5.761240306615732
2024-03-25,0.0,0.0,46.448920416321684,0.0,17.290828546392678,20.172605799519204,10.326731173649591,0.0,5.760914064116843
2024-03-26,0.0,0.0,46.44497534789582,0.0,17.28855108588222,20.170892469919856,10.335156326661313,0.0,5.760424769640788
2024-03-27,0.0,0.0,46.43126675076157,0.0,17.28304390926862,20.164938873505236,10.362025931174164,0.0,5.758724535290407
2024-03-28,0.0,0.0,42.04768951226352,9.41134447382752,15.650618926595946,18.261166410520424,9.414137491640352,0.0,5.215043185152242
2024-04-02,0.0,0.0,42.04337910142348,9.4103796940332,15.647550080324347,18.25929441397173,9.424888131845982,0.0,5.214508578401258
2024-04-03,0.0,0.0,42.02799198856989,9.406935666044918,15.641823361299517,18.252611843974275,9.45803697710602,0.0,5.212600163005379
2024-04-05,0.0,0.0,42.023378050720154,9.405902949170617,15.569113482341457,18.250608026693012,9.538969580324354,0.0,5.212027910750402
2024-04-08,0.0,0.0,42.02399318390029,9.406040631652642,15.567877593126124,18.250875176909762,9.539109210619806,0.0,5.212104203791381
2024-04-09,0.0,0.0,42.01707397375497,9.404491936090063,15.565314357021641,18.247870187828113,9.55400350946868,0.0,5.211246035836529
2024-04-10,0.0,0.0,42.01154024593015,9.403253346779023,15.55594760442467,18.245466908935697,9.573232189017608,0.0,5.210559704912855
2024-04-11,0.0,0.0,42.01599785695371,9.404251073725728,15.556500527404934,18.247402834015976,9.564735139458264,0.0,5.21111256844139
2024-04-12,59.02325619387501,0.0,17.217669737268558,3.8537532695290957,6.374873905420607,7.477574533124853,3.917418730176174,0.0,2.135453630605701
2024-04-15,59.74454993921554,0.0,16.499973710712585,3.854215566710605,6.375638636848086,7.478471544788398,3.911440801581066,0.0,2.1357098001437147
2024-04-16,59.74453270088584,0.0,16.501087165084087,3.854475657620246,6.374569274673582,7.478976208430881,3.9105050707857587,0.0,2.1358539225196
2024-04-17,60.34817532739862,0.0,15.902247047741144,3.8547184408086204,6.372871213698714,7.479447289286215,3.9065522267790134,0.0,2.135988454287672
2024-04-18,60.34894349259837,0.0,15.90308179182511,3.85492078349668,6.371256029150202,7.479839902000464,3.905857423888006,0.0,2.13610057704116
2024-04-19,60.350521135035194,0.0,15.903892769997489,3.8551173653072106,6.370081077662062,7.480221336679152,3.903956807759443,0.0,2.1362095075594496
2024-04-22,60.35364318926146,0.0,15.905347967582816,3.855470106460731,6.36961394284237,7.48090577288507,3.8986140513937286,0.0,2.13640496957382
2024-04-23,60.358390254588166,0.0,15.906994331762847,3.8558691865621784,6.367272969434541,7.481680122199766,3.893167026383771,0.0,2.1366261090687315
2024-04-24,59.93932014604528,0.0,15.796944211402542,4.528029638180764,6.322030145756593,7.429174372528176,3.862657299709523,0.0,2.121844186377122
2024-04-25,59.94297724447413,0.0,15.799086075734351,4.528643581298219,6.320801374684332,7.428542707061088,3.857817135338125,0.0,2.122131881409759
