date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,PRUDENTIAL BROKERAGE LTD,CITIBANK N.A.,GF SECURITIES (HONG KONG) BROKERAGE LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG)
2024-03-01,0.0,49.17162753894558,0.0,17.39282382930915,0.0,19.097000142082425,0.0,0.0,14.338548489662847,0.0
2024-03-04,50.11319244401965,24.502775999613867,0.0,8.683670211015869,0.0,9.539160082817093,0.0,0.0,7.1612012625335275,0.0
2024-03-05,47.35660176613379,23.211056774162707,0.0,8.199848100470792,0.0,9.023223312071815,0.0,5.435390836251583,6.7738792109093104,0.0
2024-03-06,66.66018433703627,12.255267345525898,0.0,4.318562576807657,5.568245095999425,4.758454669663904,0.0,2.8670373396297197,3.5722486353371226,0.0
2024-03-07,65.71958878095255,12.102818649164341,1.4392584312475654,4.254670823140335,5.486483201085042,4.694020009537785,0.0,2.824938904371035,3.4782212005013515,0.0
2024-03-08,65.70002839849091,12.165104441808408,1.4394955115979002,4.248015065269691,5.487386956332314,4.694793227108848,0.0,2.8254042394981966,3.439772159893727,0.0
2024-03-11,65.71074202834204,12.170228090928669,1.4201425434565957,4.247846619889628,5.488615786335066,4.6958445659009,0.0,2.826037912349607,3.440542452797498,0.0
2024-03-12,65.69470466768243,12.164207425446131,1.4182139760834094,4.2475012816521085,5.487343025188762,4.722902423007463,0.0,2.825382579312491,3.4397446216271996,0.0
2024-03-13,65.68887885070197,12.174544249379824,1.418468046240462,4.246502723884525,5.488326071560976,4.723908474942454,0.0,2.819010738390939,3.4403608448988474,0.0
2024-03-14,65.69182098982157,12.177009063550596,1.41853157800416,4.2450933133882165,5.488571888191107,4.722040564841199,0.0,2.8191369990596717,3.4377956031434826,0.0
2024-03-15,65.01663024917772,12.02727162824971,1.403965364810889,4.201027553353025,5.432212403855574,4.183399223012669,0.0,2.7841725579443186,3.4024945464403724,1.5488264731557204
2024-03-18,64.67597470184674,11.979321033115337,1.3966398764401458,4.174068050208608,5.403868678440943,4.674995668002817,0.0,2.7696455445246455,3.3847413063276264,1.5407451410931379
2024-03-19,64.75042720685863,11.971353606989403,1.3956375798543657,4.149354224854905,5.399990599905615,4.648663320120907,0.0,2.7610479915296255,3.383886042313785,1.5396394275727625
2024-03-20,64.75766317236358,11.984023984442405,1.3957935446227983,4.144466435634136,5.400594057633904,4.6320265803099,0.0,2.7613565431313067,3.3842641970801868,1.5398114847817814
2024-03-21,64.75570991581259,11.98409943472941,1.3958023324075757,4.151890218207417,5.400628059265757,4.624028463123094,0.0,2.763734893075178,3.3842855040890267,1.539821179289954
2024-03-22,63.26804606625436,11.714319135437574,1.363735898825867,4.056045516361843,5.2765568516591275,4.503035408069326,2.3133377453808657,2.7000918161182987,3.3080745137113934,1.4967570481813444
2024-03-25,63.272566112498566,11.71829458511146,1.3638764240910377,4.049388782886938,5.277100570975607,4.4951943541975545,2.3178824523540853,2.700370045296523,3.3084153920652186,1.4969112805230118
2024-03-26,63.25555909531595,11.713516261000724,1.363195042028273,4.040602029541933,5.274464172538803,4.479113728304852,2.375906920341564,2.6990209614065233,3.3024583542415886,1.4961634352797906
2024-03-27,63.23623764978375,11.717509542830609,1.3621114916844608,4.039816415590699,5.273839934854121,4.470898496433798,2.4020625583440256,2.6987015297939947,3.3028360177230347,1.495986362961505
2024-03-28,63.21971003054433,11.714487723566183,1.3619210007903277,4.05000911827779,5.273102389880131,4.4624355117074295,2.467963140565546,2.698324117173554,3.2562698177889704,1.495777149705739
2024-04-02,63.221884453171015,11.69026196798253,1.3591255007866108,4.046387395933597,5.272988939732043,4.452350453030692,2.4829704563782533,2.705949947621648,3.2646520325599693,1.5034288528036424
2024-04-03,63.19812132820316,11.701058850180099,1.3588623789769916,4.044221198426734,5.2719681080346605,4.451488493993368,2.48248976222651,2.716949680922012,3.2640200076659567,1.5108201913705064
2024-04-05,63.190808392407774,11.674656398733465,1.3587579937938221,4.0411450787038365,5.271563125627954,4.446537455141994,2.482299062158162,2.716740970095594,3.263001091269798,1.5544904320676043
2024-04-08,63.19410941801304,11.673422541336368,1.358828973973424,4.040587963330393,5.271838506894632,4.44415778711598,2.482428735016804,2.7168828899686472,3.263171547233669,1.5545716371170404
2024-04-09,63.154551727904604,11.662789704744373,1.3581633043486634,4.032465785023035,5.269255913479346,4.440752110725753,2.551393615835447,2.715244792618914,3.2615729691778705,1.553810076141992
2024-04-10,63.144603365964414,11.65981880915204,1.3580319169286164,4.027469066980402,5.268746170698178,4.448000218538108,2.5511467964554537,2.7149821224326733,3.2612574477259635,1.5659440851241553
2024-04-11,63.156523766334956,11.644216313625689,1.358271770261753,4.026337417944562,5.269676727863102,4.453700414009498,2.5515973757495214,2.715461638048878,3.2579939166042173,1.5662206595578196
2024-04-12,63.18556352357654,11.618156539067437,1.3581379610492517,4.032213114847927,5.2721382192014845,4.459314775530748,2.552789239152876,2.7167300432370802,3.238004335577713,1.5669522487589398
2024-04-15,63.16975166370856,11.59136569078813,1.357933483643158,4.01547491104203,5.271344460998308,4.457414355612207,2.6161612504762237,2.7163210200537002,3.237516830812772,1.5667163328649085
2024-04-16,63.065066765994345,11.573377523941616,1.3564913732926678,4.008908521906519,5.265746351444508,4.451606364558077,2.7700723258210944,2.713436317153699,3.230241958451263,1.565052497436206
2024-04-17,63.0733736791438,11.557483389943808,1.3577093275666463,4.005978984258358,5.264518301216721,4.4537902310857636,2.7732620743323686,2.719707890426183,3.2294886180683187,1.5646875039580357
2024-04-18,63.08165497028278,11.544731919246388,1.3579239253696735,4.006151798968762,5.265350404258587,4.458484023336005,2.773700412595417,2.720137763983292,3.2269299654917143,1.5649348164673897
2024-04-19,63.07317309637678,11.539201506250212,1.3576884964406934,4.011134088984384,5.264437528519954,4.458938465112518,2.876323453811016,2.711227596730185,3.1432122705765924,1.5646634971976714
2024-04-22,63.05991809086559,11.534475567114848,1.3574031743676263,4.007376609593276,5.263331192101027,4.459381972601333,2.900569174383257,2.7106578245913733,3.1425517156381937,1.5643346787434798
2024-04-23,63.04457493371023,11.519640868052813,1.3571554371716439,4.001123974385451,5.262370591053616,4.455500734338572,2.900039796754279,2.7109299484720335,3.1416714377604857,1.6069922783008797
