date,BNP PARIBAS,CITIBANK N.A.,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,ABN AMRO CLEARING HONG KONG LTD,CGS INTERNATIONAL SECURITIES HK LTD,THE HONGKONG AND SHANGHAI BANKING,THE BANK OF EAST ASIA LTD,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,DBS BANK (HONG KONG) LTD
2024-07-08,0.0,0.0,0.0,99.94,0.0,0.02,0.0,0.0,0.04,0.0
2024-09-13,0.0,0.0,0.0,99.93984359334269,0.0,0.020052135552436335,0.0,0.0,0.04010427110487267,0.0
2024-09-26,0.0,0.0,0.0,99.95990376904571,0.0,0.020048115477145148,0.0,0.0,0.020048115477145148,0.0
2024-09-30,0.0,0.0,0.0,99.95991180597315,0.0,0.020044097013429546,0.0,0.0,0.020044097013429546,0.0
2024-10-03,0.0,0.0,0.0,99.95945672004865,0.0,0.020271639975674032,0.0,0.0,0.020271639975674032,0.0
2024-10-04,0.0,0.0,0.0,99.95986353602248,0.0,0.02006823198876179,0.0,0.0,0.02006823198876179,0.0
2024-10-09,0.0,0.0,0.0,99.79566816510012,0.0,0.02043318348998774,0.0,0.0,0.14303228442991417,0.04086636697997548
2024-10-10,0.0,0.0,0.0,97.61807817589576,0.0,0.020358306188925084,0.0,2.035830618892508,0.28501628664495116,0.04071661237785017
2024-10-15,0.0,0.0,0.0,97.63301638680963,0.0,0.020230629172567266,0.0,2.0230629172567265,0.2832288084159417,0.04046125834513453
2024-10-17,0.0,0.0,0.0,97.57232449929192,0.0,0.020230629172567266,0.0,2.0230629172567265,0.3439206959336435,0.04046125834513453
2024-10-21,0.0,0.0,0.0,97.49140198260166,0.0,0.020230629172567266,0.0,2.0230629172567265,0.42484321262391256,0.04046125834513453
2024-10-22,0.0,0.0,99.94026544956262,0.0582360506894126,0.0,1.2084675386887862e-05,0.0,0.0012084675386887862,0.0002537781831246451,2.4169350773775723e-05
2024-10-23,17.165831338183914,6.213921684586668,76.57447821715355,0.04461134655988462,0.0,9.259308127829933e-06,0.0,0.0009259308127829935,0.00020370477881225855,1.8518616255659866e-05
2024-10-24,17.972610294913945,5.760452017600624,76.22230109689144,0.04347528346723542,0.0,9.216723228160998e-06,0.0,0.0009216723228160997,0.00021198463424770294,1.8433446456321997e-05
