date,GOLDMAN SACHS (ASIA) SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CMB INTERNATIONAL SECURITIES LTD,YUE XIU SECURITIES CO LTD
2024-03-01,0.0,98.34175632723728,0.0,1.658243672762729,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,94.92760612344703,0.0,1.602208263692478,0.0,0.0,3.470185612860489,0.0,0.0
2024-03-05,0.0,94.93355495372859,0.0,1.5958725968895404,0.0,0.0,3.470572449381874,0.0,0.0
2024-03-06,0.0,78.98724949304297,16.79733311204661,1.3278085607461356,0.0,0.0,2.8876088341642854,0.0,0.0
2024-03-07,0.0,78.95517112293633,16.829760299322295,1.3276021598313006,0.0,0.0,2.8874664179100584,0.0,0.0
2024-03-08,0.0,73.89895740584373,15.75239419968402,1.2425837860387983,6.403508780953857,0.0,2.702555827479587,0.0,0.0
2024-03-11,0.0,73.88765318204847,15.749984577199541,1.2576905747339986,6.402529244856516,0.0,2.7021424211614806,0.0,0.0
2024-03-12,0.0,73.84724198036761,15.782156005894766,1.2513795223537112,6.412761583633745,0.0,2.7064609077501767,0.0,0.0
2024-03-13,0.0,73.8455492816974,15.783177482653125,1.2514605160466827,6.413176640164179,0.0,2.7066360794386104,0.0,0.0
2024-03-14,0.0,73.83215659774395,15.788787537900802,1.2560015507666034,6.415456173249579,0.0,2.7075981403390657,0.0,0.0
2024-03-15,0.0,73.83264439443026,15.788891851774277,1.2553491657157605,6.415498559093454,0.0,2.7076160289862563,0.0,0.0
2024-03-19,0.0,73.8322986231943,15.789100483656387,1.255365753698097,6.41558333246144,0.0,2.707651806989771,0.0,0.0
2024-03-20,0.0,73.81670216949142,15.786951839311286,1.2743523783049648,6.4147102740587725,0.0,2.70728333883355,0.0,0.0
2024-03-21,0.0,73.71896317967457,15.886845515497702,1.2679413453316153,6.417703395019819,0.0,2.7085465644762925,0.0,0.0
2024-03-25,0.0,73.71334496745298,15.888483650051603,1.270980391289037,6.418365141348113,0.0,2.708825849858264,0.0,0.0
2024-03-28,0.0,73.70359818536629,15.894934462466399,1.2705706708362388,6.420971033165636,0.0,2.7099256481654317,0.0,0.0
2024-04-02,0.0,73.74867882146025,15.820541618251733,1.289377150050147,6.428358804963649,0.0,2.7130436052742275,0.0,0.0
2024-04-03,0.0,73.73900958899071,15.821421425982967,1.297658205561339,6.428716297135045,0.0,2.7131944823299374,0.0,0.0
2024-04-05,0.0,73.73600659964971,15.825863854233441,1.293651849203892,6.430521388480742,0.0,2.7139563084322074,0.0,0.0
2024-04-08,0.0,73.72556676370704,15.83215457399455,1.2941660708177476,6.433077495897396,0.0,2.71503509558326,0.0,0.0
2024-04-09,0.0,73.14418152412556,15.709027490711339,1.2851530533182836,6.383047282706718,0.7846704530316273,2.6939201961064803,0.0,0.0
2024-04-10,0.0,73.10954683682795,15.710060177901669,1.3181067645882143,6.383466894370649,0.784722036054571,2.6940972902569573,0.0,0.0
2024-04-11,0.0,73.09747264291838,15.715039635163244,1.3220755531378934,6.385490196650924,0.7849707613806678,2.6949512107488873,0.0,0.0
2024-04-12,0.0,73.04821772631901,15.712931761807663,1.3747616002996539,6.384633704719607,0.7848654724987282,2.694589734355343,0.0,0.0
2024-04-15,0.0,73.04821772631901,15.710301742980542,1.377391619126775,6.384633704719607,0.7848654724987282,2.694589734355343,0.0,0.0
2024-04-16,0.0,72.93835232679142,15.754741065356177,1.3779909881478822,6.402693752202855,0.8240100171720953,2.7022118503295696,0.0,0.0
2024-04-17,0.0,72.87236325231156,15.74902967163038,1.41361151981655,6.4003726537618935,0.823711297845478,2.740911604634143,0.0,0.0
2024-04-19,0.0,72.86782596962972,15.750898399127648,1.4150976617607889,6.401132100700544,0.8238090366893427,2.7412368320919582,0.0,0.0
2024-04-22,0.0,72.83403524089336,15.752144463853085,1.4468538943755753,6.401638498793622,0.8238742088055676,2.7414536932787925,0.0,0.0
