date,EMPEROR SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL
2024-03-13,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,80.81441610109992,0.0,0.0,0.0,13.22256026211093,5.963023636789141
2024-03-18,80.29111398051414,0.0,0.0,0.0,13.264467660523534,6.44441835896232
2024-03-20,71.42558790359634,0.0,0.0,10.849588571905935,11.996157219832087,5.728666304665636
2024-03-21,71.48381163388584,0.0,0.0,10.776916163284076,12.005936082603515,5.733336120226575
2024-03-22,71.48082349252796,0.0,0.0,10.77646567039398,12.005434214651478,5.737276622426586
2024-04-03,71.47783560097811,0.0,0.0,10.776015215165005,12.004932388655506,5.741216795201371
2024-04-08,71.48082349252796,0.0,0.0,10.77646567039398,12.005434214651478,5.737276622426586
2024-04-10,71.56758114131459,0.0,0.0,10.78954527381924,12.020005440810262,5.622868144055914
2024-04-12,71.56907880969322,0.0,0.0,10.789771062654333,12.020256979031515,5.620893148620935
2024-04-17,71.57057654075547,0.0,0.0,10.789996860939626,12.020508527780684,5.618918070524223
2024-04-19,71.57207433450527,0.0,0.0,10.790222668675707,12.020760087058429,5.616942909760589
2024-04-25,71.57507011008329,0.0,0.0,10.786488635887991,12.021263237202295,5.61717801682642
2024-04-26,72.29679737871261,0.0,0.0,10.89525420145862,11.132015643166685,5.675932776662086
2024-04-29,72.34267583289264,0.0,0.0,10.902168164992068,11.139079851930196,5.616076150185087
2024-04-30,72.57448433919022,0.0,0.0,10.937102113572701,10.835243188184366,5.653170359052712
2024-05-03,72.58064516129032,0.0,0.0,10.938030560271647,10.834040747028864,5.647283531409168
2024-05-06,72.58372596459952,0.0,0.0,10.938494842735262,10.834500615476038,5.643278577189185
2024-05-09,72.56370541681696,0.0,0.0,10.935477711060662,10.831512168212006,5.669304703910377
2024-05-10,72.56832456289256,0.0,0.0,10.936173824478017,10.832201663554574,5.66329994907486
