date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,GOLDMAN SACHS (ASIA) SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD
2024-03-01,15.85901205951003,18.72135909413351,3.4715078525563365,5.504189487789138,8.61396988396224,0.0,3.146913001356736,1.9019259244387565,0.12674125343575857,0.0
2024-03-04,15.873191853946677,18.720683865827002,0.0,5.503739335584799,0.0,5.769283220619348,3.144437164232877,1.897424402395377,0.11863851375767545,0.0
2024-03-05,15.850047053284538,18.66203646111314,3.438421665537497,5.559558208922706,8.717504890959969,5.765907079086814,3.14826345796975,1.896974250191039,0.12966724276395525,0.0
2024-03-06,15.843265285250085,18.820063292750387,3.4278430887355555,5.55415638247065,8.71300336891659,5.763656318065123,3.1464628491523983,1.896524097986701,0.006977359167238228,0.0
2024-03-07,15.959311597539081,18.868004502512377,3.444723796398229,5.505089792197813,8.756443056635202,5.780311949625627,3.1741472097191825,1.9100286641168394,0.013504566130138508,0.0
2024-03-08,15.936353835117846,18.774734091154066,3.4508008511567914,5.527147250210373,8.741137881687711,5.7836880911581625,3.17459736192352,0.0,0.006977359167238228,0.0
2024-03-11,15.938604596139536,18.68168875589792,3.450575775054622,5.519269586634459,8.726618897565096,5.780086873523459,3.169870763777972,1.914080033955881,0.02115715360388366,0.0
2024-03-12,15.926000334418072,18.88592168562554,3.4483250140329327,5.501038422358772,8.724593212645576,5.776935808093093,3.1953043633230656,1.906652522584305,0.03466171973402216,0.0
2024-03-13,15.833764597901432,19.04707572462632,3.4526014599741432,5.48820908453514,8.717165701274,5.774910123173572,3.193053602301376,1.9019259244387565,0.05086719909018838,0.0
2024-03-14,15.786498616445947,19.051352170567533,3.4638552650825916,5.487984008432972,8.709738189902424,5.769733372823685,3.1863013192363066,1.8913473476368146,0.06527206962900278,0.0
2024-03-15,15.78312247491341,19.054953388202236,3.5106710943337385,5.488884312841647,8.714464788047973,5.769958448925855,3.1887771563601652,1.8989999351105595,0.06167085199429918,2.4041004184232264
2024-03-18,15.808781150560675,18.984054866171213,3.4917647017515443,5.492260454374182,8.744624985738616,5.771755456525572,3.207233396738022,1.8922476520454905,0.07247450489841,0.0
2024-03-19,15.615819581877474,18.957657940908835,3.4341452195962865,5.553481154164143,8.833079893891023,5.801915654216215,3.25810059582821,1.9266842956773438,0.06279623250514406,0.0
2024-03-20,15.550997664452812,18.295258972225543,3.4348204479027937,5.556182067390171,8.831054208971501,5.809568241689959,3.2806082060451076,1.89674917408887,0.7384746912164074,0.0
2024-03-21,15.549647207839797,18.569207649067284,3.432119534676766,5.5577576001053535,8.830153904562826,5.817896057470211,3.2864601847015007,1.8956237935780254,0.4206672349538145,0.0
2024-03-22,15.470870572080656,18.66609728414847,3.4757354569833767,5.555731915185833,8.845459079510317,5.816320524755029,3.2878106413145147,1.8735663355654655,0.45307819366614693,0.0
2024-03-25,15.456465701541841,0.0,3.4950920017699083,5.568561253009465,8.833980198299699,5.81384468763117,3.283309119271135,1.8571357801071304,0.4951674247717453,0.0
2024-03-26,15.458491386461363,18.667897892965826,3.500718904324133,5.55415638247065,8.845234003408148,5.805967024055255,0.0,1.8767174009958314,0.49651788138475916,0.0
2024-03-27,15.455340321030997,18.721466005282043,3.4928412407482186,5.587917797795996,8.859638873946963,5.81834620967455,3.2927623155622325,1.8805436947327039,0.4634316943659198,0.0
2024-03-28,15.440260222185675,19.205604701047506,3.509721948410892,5.581165514730927,8.860764254457806,5.800340121501032,3.295013076583922,1.8798684664261969,0.006977359167238228,0.0
