date,FUTU SECURITIES INTERNATIONAL,KGI ASIA LTD,EVERBRIGHT SECURITIES INVESTMENT,FUNDERSTONE SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,CHINA SECURITIES (INTERNATIONAL),BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA CONSTRUCTION BANK (ASIA),STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,24.13713145473788,0.0,0.0,0.0,0.0,0.0,10.408064978141637,3.095188465112917,0.0,62.359615102007574
2024-03-04,24.138411946848713,0.0,0.0,0.0,0.0,0.0,10.381400848222182,3.1158734030119497,0.0,62.36431380191716
2024-03-05,24.200256672224533,0.0,0.0,0.0,0.0,0.0,10.37061665927062,3.113443688403927,0.0,62.31568298010092
2024-03-08,24.206987495125112,0.0,0.0,0.0,0.0,0.0,10.370505117543658,3.1074946469204665,0.0,62.31501274041077
2024-03-11,24.2072478574854,0.0,0.0,0.0,0.0,0.0,10.37061665927062,3.1064525031430623,0.0,62.31568298010092
2024-03-12,24.2150541605868,0.0,0.0,0.0,0.0,0.0,10.352220675830502,3.1177124231719353,0.0,62.31501274041077
2024-03-13,24.217743049074027,0.0,0.0,0.0,0.0,0.0,10.349531787343274,3.1177124231719353,0.0,62.31501274041077
2024-03-14,24.22140144586881,0.0,0.0,0.0,0.0,0.0,10.343968897649814,3.1434010878348158,0.0,62.29122856864656
2024-03-15,24.283761318757733,0.0,0.0,0.0,0.0,0.0,10.330818184846345,3.1410371388347818,0.0,62.24438335756114
2024-03-18,24.289524427205535,0.0,0.0,0.0,0.0,0.0,10.324001370424025,3.1410877576053617,0.0,62.24538644476508
2024-03-19,24.294374180450287,0.0,0.0,0.0,0.0,0.0,10.320556550931775,3.1410202662737965,0.0,62.244049002344134
2024-03-20,24.29450468209472,0.0,0.0,0.0,0.0,0.0,10.320074821509358,3.1410371388347818,0.0,62.24438335756114
2024-03-21,20.925111258257196,13.885609018568884,0.0,0.0,0.0,0.0,8.88092313446054,2.6966174731383075,0.0,53.61173911557508
2024-03-22,18.72203593901153,12.42972553039739,0.0,0.0,10.636004976214027,0.0,7.817656241229547,2.4039417189337136,0.0,47.99063559421379
2024-03-26,18.72157071712926,12.429416665468054,0.0,0.0,10.666801800472983,0.0,7.797582866101309,2.395184870820603,0.0,47.989443080007796
2024-03-27,18.727775577208334,12.433536127047374,0.0,0.0,10.724608480636924,0.0,7.733467242556088,2.3752644285890114,0.0,48.005348143962266
2024-03-28,18.711725185809357,12.432506005678778,0.0,0.0,10.754374530635305,0.0,7.724955750829597,2.3750676373770063,0.0,48.00137088966995
2024-04-02,18.661956690572833,12.44075175916197,0.0,0.0,10.765652536891759,0.0,7.721788743491576,2.3766428807136886,0.0,48.033207389168176
2024-04-03,16.49935076294265,11.022337564773173,0.0,0.0,9.670437505599175,11.40282342766485,6.754358595020106,2.093920944682053,0.0,42.55677119931799
2024-04-05,16.512332532629962,11.0263466529301,0.0,0.0,9.673954875326617,11.406970907642734,6.713462361355181,2.0946825538789704,0.0,42.57225011623644
2024-04-08,16.4438398346416,11.025009966205655,0.0,0.0,9.67278213448491,11.580080939780784,6.645055487094965,2.0661424114996363,0.0,42.567089226292445
2024-04-09,16.44308048731756,11.02622512256177,0.0,0.0,9.673848250772158,11.605605271111683,6.584433114972413,2.0953942544321875,0.0,42.57141349883223
2024-04-10,16.446075197592908,11.026508697588596,0.0,0.0,9.67409704505549,11.61692584662981,6.568436708499564,2.0954481442698523,0.0,42.57250836036378
2024-04-11,16.450771963276946,11.02744054681202,0.0,0.0,9.674914602096072,11.617907591951528,6.557233906384356,2.09562523039743,0.0,42.57610615908165
2024-04-12,16.456111366543535,11.026832801194592,0.0,0.0,9.674381397049673,11.61726730444395,6.556137695072514,2.095509736050021,0.0,42.57375969964571
