date,UBS SECURITIES HONG KONG LTD,PHILLIP SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,GF SECURITIES (HONG KONG) BROKERAGE LTD,UOB KAY HIAN (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,LONG BRIDGE HK LTD
2024-03-04,0.0,0.0,16.754446057575397,0.0,0.0,0.0,55.45695889650373,27.78859504592088,0.0,0.0
2024-03-05,0.0,1.5946165923368072,16.47788562574909,0.0,0.0,0.0,54.57679570848586,27.350702073428245,0.0,0.0
2024-03-06,0.0,1.3750807174050683,14.20445581060502,0.0,0.0,13.782457569454287,47.06303681847268,23.574969084062943,0.0,0.0
2024-03-07,0.0,1.3512970969077847,13.920506389285967,1.7508756727522272,0.0,13.544073934077296,46.24902685311403,23.1842200538627,0.0,0.0
2024-03-08,0.0,1.3517209634273342,13.893505505879311,1.7514248766092266,0.0,13.548322355458572,46.157203854168685,23.297822444456873,0.0,0.0
2024-03-11,0.0,1.3516562886358543,13.876892000573305,1.7513410774807434,0.0,13.552990369930262,46.15499540463263,23.31212485874721,0.0,0.0
2024-03-12,0.0,1.3520959548283096,13.876087889919766,1.7519107529742106,0.0,13.557310602498768,46.19659858364955,23.2659962161294,0.0,0.0
2024-03-13,0.0,1.3473656053551502,13.81853302993492,1.7457816390768124,0.0,13.509879932480873,46.03497835618597,23.18459940952666,0.35886202743961343,0.0
2024-03-14,0.0,1.345960453723474,13.908410661107872,1.7439609840823926,0.0,13.49579063870981,45.9869690224949,23.16042046540001,0.35848777448154534,0.0
2024-03-15,0.0,1.345867831058155,13.906924201307985,1.754427941313385,0.0,13.494861921899384,45.973217447247734,23.166237552133673,0.3584631050396871,0.0
2024-03-18,0.0,1.3470086901352811,13.839243188604836,1.7559151267530115,0.0,13.506301184628516,46.01218781359355,23.18057703088249,0.35876696540231856,0.0
2024-03-19,0.0,1.3475084244086855,13.80727792845734,1.7565665635079881,0.0,13.511311962701672,46.029258132005864,23.18917692255688,0.3589000663615698,0.0
2024-03-20,0.0,1.3598236050179058,13.70266505255463,1.7499075446305843,0.0,13.470651230680176,46.14885186703669,23.21056119833732,0.3575395017426974,0.0
2024-03-21,0.0,1.3585683246879015,13.763337949495863,1.7482921700246468,0.0,13.458216203475306,46.10625094013175,23.208124962297145,0.3572094498873825,0.0
2024-03-22,0.0,1.3585922107486825,13.763579933591059,1.748322908127602,0.0,13.458452822984535,46.10706157047866,23.206774823801123,0.35721573026833686,0.0
2024-03-25,0.0,1.3586853837296446,13.842072606328697,1.7484428090483828,0.0,13.4593758108824,46.1102236174387,23.123959544257865,0.35724022831430857,0.0
2024-03-26,0.0,1.3597613817681422,13.773840650655393,1.7498274717933349,0.0,13.470034836250111,46.146740172898255,23.142272345300604,0.35752314133415974,0.0
2024-03-27,0.0,1.359940880487689,13.77829905139559,1.7500584621676945,0.0,13.47181298206141,46.136990987672775,23.145327299139623,0.3575703370752201,0.0
2024-03-28,0.0,1.361640321334975,13.796574388654847,1.7522454107905494,0.0,13.488647941284418,46.1933948835178,23.049479882008892,0.3580171724085219,0.0
2024-04-02,0.0,1.3615683365915388,13.795845016255907,1.752152776242088,0.0,13.49322146733583,46.19095281447281,23.04826134369914,0.3579982454026909,0.0
2024-04-03,0.0,1.3615719356479459,13.795881483044289,1.7521574077368918,0.0,13.494278511791306,46.18978920251942,23.048322267554695,0.35799919170545386,0.0
2024-04-05,0.0,1.3606152567752472,13.777207145044384,1.7509262924871298,0.0,13.484797050829494,46.23657873771022,23.03212786578478,0.3577476513687438,0.0
2024-04-08,0.0,1.3630491536250031,13.728817404811302,1.7540583858296221,0.0,13.508918936056183,46.3192876907172,22.9674808311579,0.35838759780278406,0.0
2024-04-09,0.0,1.370297684380138,13.856741017712446,1.7586065048249937,0.0,13.543946373749458,46.407552975516744,22.580791164397763,0.41343900195893485,0.06862527745952134
2024-04-10,0.0,1.4499737362074805,13.765153738387095,1.9883885001192882,0.0,13.396357113683896,46.252017969638295,22.705495918588866,0.42736581245865074,0.015247210916431239
2024-04-11,0.0,1.4312507770828011,13.619154872574757,1.980931386823187,0.0,13.625175709855352,45.94292746816341,22.96204187509869,0.43258399015646776,0.005933920245326369
2024-04-12,0.0,1.3932114717280677,13.525463842030758,1.7980791406708323,0.0,13.745103385075502,46.15268459503514,22.978124397133794,0.4013805683026501,0.005952600023258893
2024-04-15,0.0,1.3906403697111482,13.624756580828587,1.794760875641457,0.0,13.719737484956765,46.11469692576824,22.959311818718014,0.39015432957784446,0.005941614797945802
2024-04-16,0.0,1.4508992214998415,13.967939124842069,1.7754739212946817,0.0,13.795317582711517,45.752427606806414,22.82979823707824,0.4222665410648218,0.005877764702420878
2024-04-17,0.0,1.4673184119392215,13.94758803203927,1.7765150745185507,0.0,13.902006956539593,45.639141889470764,22.839034262210998,0.4225141618072549,0.005881211474347894
2024-04-18,0.0,1.3875201156031738,13.796547071542639,1.8279984894412644,0.0,13.934475205339139,45.797748240484694,22.82631498347566,0.4235009470224959,0.005894947090938279
2024-04-19,0.0,1.3890808042953238,13.890697645487105,1.858174739431907,0.0,13.668947670991786,45.908626423113816,22.854593836187647,0.4239773027392168,0.005901577753198372
2024-04-22,0.0,1.3960371863303915,13.891693561105805,1.8535827654550634,0.0,13.706853493756688,45.84971859542015,22.873436021555488,0.4227913827690882,0.005886993607321278
2024-04-23,0.0,1.3733960570015973,13.622937013189821,1.8580902303795042,0.0,13.745392436733425,45.869567462143344,23.100895982057104,0.42381950914342875,0.0059013093517757175
2024-04-24,31.24415676460818,1.3725442656361615,13.6040800346971,1.8569378277594666,0.0,13.73686743294268,14.61735114031047,23.1386082318851,0.4235566528489526,0.005897649311887746
