date,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-03-01,62.92378507512323,14.560727557377668,4.81032549974736,7.905581485127436,1.3743930904299897,2.590189330439119,3.7914002079377513,0.7715640233057307,1.2720337305117224,0.0
2024-03-04,61.70743013764467,14.292297614392185,4.745939058670869,7.9167798040258255,1.366365619985762,2.486387473766634,3.7410172100218917,0.7588236303827596,1.2658763262382629,1.7190831248711402
2024-03-05,61.71385561623395,14.298509025282605,4.764006152361423,7.982277263033555,1.3708273868748897,2.4880436186447703,3.671568982741059,0.7609361148576194,1.2453875677566117,1.7045882722135153
2024-03-06,61.79670058377151,14.317998213780065,4.740087478146219,7.98136118695454,1.2944402219496884,2.483461720404174,3.669461044603302,0.7641579946519226,1.2453925682338445,1.7069389875047345
2024-03-07,61.469581206048495,14.309699872712574,4.815351274832261,8.165662398540636,1.3102588054294846,2.4518528376678526,3.6164347955975904,0.7673892961002078,1.3878267133687456,1.7059427997021526
2024-03-08,61.39464794383902,14.324947969017638,4.7655975603211855,8.266461545767193,1.317066117331911,2.480090735087749,3.589884260246064,0.7669890644257504,1.3887038831965146,1.705610920766975
2024-03-11,61.256246243051635,14.328318019890402,4.775886207295775,8.331762978243978,1.3082354907622258,2.4835181290858506,3.5857728509165354,0.7665407483610486,1.4577498465532621,1.7059694858392835
2024-03-12,61.20523911551333,14.32359723241809,4.783386599128911,8.461308006161302,1.3143549589991508,2.4877145994038896,3.5433147904170696,0.7690025209793334,1.4056627045882926,1.706419472390628
2024-03-13,61.16954053087256,14.316670404744006,4.774610294272189,8.476573117232178,1.2724449339201518,2.548990363444322,3.544858540524534,0.768128707435633,1.4214520755760067,1.706731031978424
2024-03-14,61.34486915463494,14.313751180502019,4.721930824724962,8.363311440451128,1.2739914974703197,2.594497388385856,3.5170006393105546,0.7652498862550791,1.3989978628590947,1.7064001254060495
2024-03-15,61.36052866216377,14.317564703951671,4.7225827391839355,8.43449617689627,1.2591687920873336,2.5218965054995954,3.5205071364920926,0.7652527433583853,1.3912760836785307,1.7067264566884146
2024-03-18,61.32271136697042,14.271538615219098,4.710345115662004,8.483269734930047,1.2455412576562788,2.645781820216549,3.4825480277974212,0.7621511088233167,1.3748687772422596,1.7012441754826038
2024-03-19,61.523859495142055,14.259935504390375,4.706574099361234,8.352077697333312,1.1971585834954965,2.6163703049846947,3.4684603930182045,0.7614038109386319,1.414265016691874,1.6998950946441267
2024-03-20,61.60364238480718,14.267936337277956,4.717595985120631,8.315859349672976,1.1940735152515103,2.5879371972780856,3.4584252260309736,0.7613414808317098,1.3923950656531754,1.700793458075801
2024-03-21,61.69280598020308,14.266130659231358,4.718607385895372,8.257635224511693,1.1983116779960203,2.604762613585149,3.421258946595546,0.7591720341034267,1.3807372636427582,1.700578214235595
2024-03-22,61.870091343337286,14.268053694022562,4.729361081197045,8.156664868986148,1.1877716374605056,2.5914707297511477,3.362252351601327,0.7589241161864858,1.3746666468187827,1.7007435306387122
2024-03-25,61.8880569890273,14.26055127075038,4.719227016181422,8.251602414098437,1.1729735323954742,2.601830594854217,3.2697829752711516,0.7558081103128219,1.3742743956352963,1.7058927014735066
2024-03-26,61.9162838640842,14.254644619192161,4.740498976828878,8.230478018274097,1.1842337006355308,2.595298797009841,3.228978335845923,0.7586886332857472,1.3880058719324062,1.7028891829112145
2024-03-27,61.95370786879539,14.248645578037724,4.721891899394941,8.234214283380723,1.202384995775128,2.520477338366394,3.2634589031620385,0.7694455134840383,1.3835797711482407,1.702193848455379
2024-03-28,61.59328069435056,14.245538738308793,4.738125279403164,8.316932536105675,1.1984075999492092,2.639658582456484,3.2913643679531113,0.7744991147742014,1.5004258198630116,1.701767266835786
2024-04-02,60.841486585828484,14.219948463235388,4.806051107526054,8.62782419472296,1.4392690750572987,2.5799667846417935,3.285872840280199,0.7982543909235618,1.7476888785445115,1.65363767923975
2024-04-03,60.460981635901454,14.227040661330506,4.870312666907948,8.95513493780928,1.5584500089178792,2.5602160112229875,3.3238073116332965,0.8024130007505726,1.5932758642303542,1.6483679012957233
2024-04-05,60.07087031922295,14.272691430792776,4.906815402311466,9.24441288064084,1.575457844404989,2.557925564635597,3.3632502811257092,0.8067717389291474,1.5331557477492097,1.6686487901873215
2024-04-08,59.990121116951926,14.227202241078137,4.937033950295273,9.357853878002622,1.607384531099853,2.5459742834744636,3.352982932092278,0.803569730661742,1.53779682209795,1.6400805142457584
2024-04-09,59.98563410495771,14.233660329590144,4.9391760945588645,9.329228525683831,1.6080819639284187,2.568808863314613,3.354159317254174,0.8103310210341627,1.5301276460469173,1.6407921336311606
2024-04-10,59.74820279829382,14.233033486912339,5.0837013945927305,9.275029917930496,1.614002676647434,2.6846701182360886,3.363626022933493,0.8125538429352678,1.5731637542159511,1.61201598730238
2024-04-11,59.60340788092539,14.242978565935442,5.125311122091578,9.380154335606372,1.6169614969963342,2.7052336052710504,3.359857375564062,0.8108033929971636,1.5324746942384755,1.6228175303741352
2024-04-12,59.54461526009367,14.253268732558972,5.136882824503503,9.51375069199929,1.645873777493606,2.614773598376631,3.3415987780605603,0.8123411783497508,1.52296016988219,1.6139349886818266
2024-04-15,59.344851942413634,14.233245713982278,5.169958072012644,9.626064297933372,1.6509340533969086,2.6976936317744444,3.3171670067321037,0.8096660735801194,1.5560547361972428,1.5943644719772558
2024-04-16,59.37088921893453,14.272406803651288,5.226979378891166,9.425560272392534,1.7258327114581875,2.691063848600021,3.3215902858315607,0.8207297835155223,1.5478120914572318,1.5971356052679562
2024-04-17,59.30020224754351,14.28445667310192,5.294729343746575,9.484230314737534,1.7458350848538418,2.66593880833918,3.3202107266400422,0.8167203242951958,1.4985416555163193,1.5891348212258845
2024-04-18,59.169630155874465,14.301988125469162,5.3296655523953,9.578164709417898,1.779463965353922,2.6052165299268317,3.3327608063748064,0.8126359256941982,1.5010083625598658,1.5894658669335524
2024-04-19,59.07886938353073,14.312904210653246,5.354735132214833,9.546519707118964,1.8344436804463935,2.5927444530561115,3.337878601183306,0.8163353723296884,1.5375472575545521,1.5880222019121786
2024-04-22,59.01808649413738,14.328803127871536,5.360941410104294,9.597957060276563,1.8098306065970953,2.596911669561047,3.3300853226973883,0.8065513425515616,1.5369352549687343,1.6138977112344053
2024-04-23,58.88880496664586,14.280433715280816,5.396979274670281,9.502182938789272,1.8237128866473242,2.824208803111694,3.3426970951265407,0.8076824507069487,1.5246564847011155,1.6086413843201535
2024-04-24,58.588928771621354,14.295698449214328,5.452695108357357,9.45452601769941,1.819810233168645,3.0275032983108017,3.381783063537428,0.8082448527585326,1.5604772863119565,1.6103329190201914
2024-04-25,58.66644811168037,14.366086252018551,5.549247489563081,9.244448270223067,1.8811074448338474,2.81566179343207,3.386854086765239,0.8154261317173204,1.6564747659540642,1.6182456538123975
2024-04-26,58.74761679386139,14.359044626691958,5.549351682859634,9.16533836214485,1.8566493029298665,2.840090903519504,3.3673843588166843,0.8190148205909538,1.6790628239358902,1.6164463246492726
2024-04-29,58.64030609001492,14.374279653971604,5.573468530534638,9.386819728752874,1.8615905034791154,2.8238131265793722,3.3686258990641913,0.8185291796247598,1.536898277450325,1.6156690105282072
2024-04-30,41.90395998651905,10.237877379358103,3.961580758863401,6.6506506984020985,1.332476806407097,2.0372083075187657,2.4121826950961394,0.5861557920738991,1.097111583379774,1.1165474956397479
2024-05-02,58.63817655549779,14.363249642108913,5.59924304688848,9.34091294029081,1.9000415110338245,2.8554000175948566,3.3908813676069878,0.8156569415302963,1.5352613582171168,1.5611766192309295
2024-05-03,58.48495350589968,14.392032355653736,5.679511706966379,9.398453940464215,1.9478990329455155,2.8596586514020195,3.3267852653730285,0.8177865600661555,1.5310910010266172,1.561827980202646
2024-05-06,58.532121337528565,14.41263190414292,5.6878242290740095,9.366916166384181,1.9507499741197243,2.912706337253341,3.2369890816840026,0.8180542676232848,1.5287931023688472,1.5532135998211305
2024-05-07,58.4982284346068,14.432774103011937,5.694121191772919,9.25534677853793,1.952909639982664,2.9650872273975524,3.2736101033116283,0.8263660090116272,1.5491993842246587,1.552357128142279
2024-05-08,58.53818189174037,14.412005809353746,5.760757868635817,9.231226583893099,1.990500728332508,2.904494971115807,3.2222369163002953,0.8223414229100615,1.5479501017289932,1.5703037059892992
2024-05-09,58.565362765606885,14.414489550656127,5.765741164109012,9.189961691532089,2.026270157991478,2.897027566285799,3.2185881740543736,0.8218784095590393,1.5316702637198485,1.5690102564853488
2024-05-10,58.661926316598375,14.41261655446066,5.751044623057482,9.157252857681414,2.094779842736093,2.8798635257019325,3.124190894714499,0.8249368529779773,1.539540721440906,1.5538478106306577
2024-05-13,58.37547393403595,14.411741842677783,5.756273588941151,9.32315764606083,2.188870829857232,2.892678817558154,3.1205355314790713,0.8250611382551997,1.5527305598497851,1.5534761112848487
2024-05-14,58.05251292432758,14.457414263121565,5.75545609069357,9.542364400607248,2.2106979532538484,2.911680848398697,3.1309819164572197,0.8302169496748644,1.5568341489318678,1.551840504533541
2024-05-16,57.200628818691456,14.416455781707263,5.755767309607773,9.810727353402218,2.308862057719365,3.458030901102205,3.1185214760290236,0.8376193934946218,1.5316713438019156,1.5617155644441554
2024-05-17,57.217322946353434,14.42162897261988,5.764512358973847,9.624136544211517,2.355085270166633,3.5903396652313213,3.0919791243202046,0.8390117969129656,1.539208014751816,1.5567753064583834
2024-05-20,57.04557061016229,14.42294865682397,5.80773661275146,9.739307256768214,2.440391553028394,3.4810617467814353,3.1186103311436844,0.8503277364974717,1.5386490054756492,1.5553964905674365
2024-05-21,56.71688254865428,14.413379806616284,5.775859267185319,10.086563692233964,2.404349406107833,3.4801353268023334,3.1759263394142208,0.8559597780728014,1.5370721087944836,1.553871726118482
2024-05-22,56.56923048099658,14.393284736368203,5.82625252050716,10.225261033719482,2.379882312401878,3.4976452905673465,3.168130127430431,0.8525839698942654,1.5370119971574305,1.550717530957222
2024-05-23,56.389554498116524,14.375894883398715,5.98973380491866,10.234348624675688,2.4702771087686166,3.4603783380106603,3.14360998686698,0.863739300199593,1.5265237179714044,1.5459397370731642
2024-05-24,56.309150365248975,14.368691461738479,6.028372718049887,10.240279747681441,2.474818487892355,3.4812588121052848,3.1348081908115737,0.869699912173859,1.5553012886057909,1.537619015692353
2024-05-27,56.31977903378901,14.360801519938057,6.067618552247519,10.191988589450506,2.508429133622805,3.4584365546679074,3.15039547437964,0.8788738568449129,1.528402849003772,1.5352744360558666
2024-05-28,56.29968275464069,14.3860329698321,6.111137258293163,10.052283611343936,2.569019035915434,3.454601070740839,3.162240985108173,0.894994200932751,1.5322772207915758,1.5377308924013386
2024-05-29,56.203840768285374,14.399700558079415,6.20145239342758,9.992014226252566,2.5439625186751877,3.492734852367841,3.167178219544882,0.9050300632194576,1.5550470309129432,1.539039369234752
2024-05-30,56.15874583073638,14.385943655663072,6.202686196492612,9.819423788592886,2.5509109927568328,3.513282882859202,3.3638831528831923,0.9065763604246941,1.5610580599754882,1.5374890796156433
2024-05-31,40.06500685251602,10.26311819682513,4.463808151991369,6.301908897007068,1.8496683476398035,2.5239095612814486,2.3399315729595425,0.6555551058727613,1.114037440804594,1.062371090888206
2024-06-03,56.42426520558996,14.545777183620453,6.403229833175507,8.982083135148782,2.703160569377574,3.56952228483543,3.3146575595472285,0.9431393321544862,1.6086784246267278,1.5054864719238514
2024-06-04,56.3543770105891,14.573478997013387,6.484814748055751,9.20384296933183,2.752698562304428,3.525860631709495,3.0573184935672106,0.9745866208507293,1.5648587765231874,1.5081631900548884
2024-06-05,56.19348659566759,14.588595014963108,6.463937578175957,9.349747592705402,2.7178933198250825,3.588339713562246,3.029918495755535,0.9753276045351194,1.5837064672008183,1.509047617609138
