date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,THE CORE SECURITIES COMPANY LTD
2024-03-01,10.657347156665868,13.280842663837683,4.2343139677103725,1.713871158120924,0.8969736560108641,0.5309450197945236,0.0,2.5740477516496156,0.0
2024-03-04,10.65706236584531,13.10900567345938,4.214048252919432,1.705175545066539,0.9412410665071064,0.5268535250058335,0.46785872680605056,2.578224683684473,2.451586274855367
2024-03-05,10.6896424357172,13.085092737559822,4.209861827857222,1.7078810578618444,0.8135199779085103,0.527328176373431,0.46596012133566067,2.5839857171935505,2.4591806967369263
2024-03-06,10.776608059288407,13.056791080185182,4.214095718056191,1.7025649625447528,0.7970495754528782,0.5278028277410285,0.46585569803478927,2.5676114791049938,0.0
2024-03-07,10.801119055911139,13.072445082288548,4.202013467493998,1.697989323361113,0.7624417000083383,0.5300621682507923,0.4663968005938504,2.564554724297666,2.462674130802444
2024-03-08,10.796344063153107,13.032677841408496,4.206478987560355,1.6982551281269676,0.8195027685365293,0.5301476054969598,0.4678777128607545,2.5673456743391396,0.0
2024-03-11,10.772858313484386,13.05617308410457,4.204286098242055,1.6980083094158172,0.8157340366778053,0.5316569968459198,0.46946304842853004,2.565171771075543,0.0
2024-03-12,10.77750989688684,12.983799477666865,4.203118455877765,1.7024890183259371,0.8514207946808943,0.5318943225297186,0.4693301460456027,2.5862083196874623,0.0
2024-03-13,10.80267591239686,12.93419812496211,4.20309946982306,1.6981317187713922,0.8588063699607108,0.5328151461828576,0.4702794487807976,2.5676494512144017,0.0
2024-03-14,10.879740308439985,12.862155540388166,4.202529888181944,1.7084316534482575,0.954083898420738,0.5334701650701421,0.4704218441910769,2.5665102879321675,0.0
2024-03-15,10.860944114283125,12.813305655728591,4.200140018546091,1.710757445149485,0.9562293226022786,0.5320272249126459,0.46992820676877556,2.5810523717417984,0.0
2024-03-18,10.921585573007377,12.236669461195579,4.2024563172199665,1.7177917784172794,1.1134964146008082,0.5347707098173592,0.48132933261846655,2.496926397442379,3.279226371507714
2024-03-19,10.940362781109531,12.202162306771244,4.201829777414738,1.7232122970352421,1.0544053571036764,0.5365743850142295,0.4813578117005225,2.4908224757853494,0.0
2024-03-20,11.136232414462302,12.04434832146697,4.241737515099597,1.7094474073749157,0.9386379834769284,0.5323025227058524,0.4868599703537123,2.37138111071285,3.2678347386853748
2024-03-21,11.362024070028415,12.021071418399988,4.258701554977531,1.706998206318113,0.8496460732174473,0.5366693152877491,0.5012324137645635,2.3181669965887632,3.269733344155764
2024-03-22,11.35337592211079,11.993209383122018,4.2490756252426545,1.707339955302783,0.8840674106745213,0.5391564884539598,0.5108298644173842,0.0,0.0
2024-03-25,11.386174331611773,12.002417619653409,4.200921294697156,1.715760270563962,0.8885576126119933,0.5387767673598818,0.5106400038703452,2.319306159870997,0.0
2024-03-26,11.38030764070827,11.938332090605869,4.172413733559253,1.714697051500544,0.9004998410207457,0.54548833769771,0.5170952624696707,2.321916742392783,3.279226371507714
2024-03-27,11.430155527333355,11.952970338782574,4.147646425198017,1.7153900424972361,0.8772419240084699,0.5440738766222695,0.5246896843512302,2.318603675846953,3.227014721071993
2024-03-28,11.417102614724424,11.943041581475171,4.1414379853098415,1.7136243394097737,0.835187907769608,0.5450041933027605,0.5265408246848602,2.3636290096469748,0.0
2024-04-02,11.295874257884837,11.91785277632148,4.088600135486878,1.6992095781505143,0.8078322907537026,0.540854897560961,0.5175512743620347,2.34319421791662,0.0
2024-04-03,11.346540858462395,11.856918209207995,4.085257514560464,1.6977972031111848,0.7930211845079305,0.5386892558339885,0.5191566739900729,2.320803365626444,0.0
2024-04-05,11.281797586659517,11.952074623524442,4.088590719653283,1.7001323298428765,0.8199927456839963,0.5385480183300556,0.5198440298425467,2.320775118125658,0.0
