date,USMART SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,FUNDERSTONE SECURITIES LTD,UBS SECURITIES HONG KONG LTD,CLSA LTD,FORTHRIGHT SECURITIES CO LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CHONG HING SECURITIES LTD,VALUABLE CAPITAL LTD
2024-03-01,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,70.03429809254467,0.0,0.0,0.0,0.0,29.965701907455323,0.0,0.0,0.0
2024-03-06,0.0,62.18106117220028,11.236254937546706,0.0,0.0,0.0,26.582683890253016,0.0,0.0,0.0
2024-03-07,0.0,62.10013908205841,11.26029742163261,0.0,0.0,0.0,26.639563496308977,0.0,0.0,0.0
2024-03-08,0.0,55.987306907330904,10.151889141177667,0.0,9.843508026044972,0.0,24.017295925446454,0.0,0.0,0.0
2024-03-11,0.0,55.9235359748104,10.16659843051869,0.0,9.857770495391536,0.0,24.05209509927937,0.0,0.0,0.0
2024-03-14,0.0,56.020130734245264,10.070003671083832,0.0,9.857770495391536,0.0,24.05209509927937,0.0,0.0,0.0
2024-03-15,0.0,54.436417733298384,9.79376399809536,0.0,9.587352788806005,0.0,23.39229962135007,0.0,0.0,2.7901658584501887
2024-03-18,0.0,54.46199989031469,9.798366534757626,0.0,9.591858323421006,0.0,23.403292730500226,0.0,0.0,2.7444825210064523
2024-03-19,0.0,54.37212008039679,9.807584597943361,0.0,9.600882108740759,0.0,23.425309974943858,0.0,0.0,2.794103237975231
2024-03-21,0.0,54.41915885544688,9.807584597943361,0.0,9.600882108740759,0.0,23.425309974943858,0.0,0.0,2.7470644629251426
2024-03-22,0.0,54.397708095940445,9.812200136693125,0.0,9.60540037141413,0.0,23.436334139439694,0.0,0.0,2.7483572565126067
2024-03-26,0.0,54.27524627173167,9.910139983935592,0.0,9.701276060043947,0.0,23.6702624076735,0.0,0.0,2.443075276615297
2024-03-27,39.112615163954594,28.898936579526648,6.918622432921468,0.0,6.772807072935919,0.0,16.525055019639762,0.0,0.0,1.771963731021613
2024-03-28,39.24157150771774,29.477033275832166,6.986580463046542,0.0,6.806686854493741,0.0,16.607718714067673,0.0,0.0,0.8804091848421418
2024-04-02,39.34654441406301,29.188067153085413,7.005269868909833,0.0,6.8248950371491635,0.0,16.652145082181846,0.0,0.0,0.9830784446107355
2024-04-03,40.707731255079175,26.738340687559013,7.247615958136386,0.0,7.061001090532687,0.0,17.228223136763344,0.0,0.0,1.017087871929402
2024-04-05,40.75002345368691,26.66222746408902,7.255145673109039,0.0,7.068336927025737,0.0,17.246121934168503,0.0,0.0,1.0181445479207911
2024-04-08,40.30338754305076,27.294781620682546,7.381133692128358,0.0,6.990865239097184,0.0,17.057097812899872,0.0,0.0,0.9727340921412778
2024-04-09,40.372527920328984,27.17005597017806,7.393796011584003,0.0,7.002858053835549,0.0,17.08635922862568,0.0,0.0,0.9744028154477293
2024-04-10,40.891634319462185,26.37261943149473,7.3498603370155955,0.0,7.092900184344228,0.0,17.3060541268736,0.0,0.0,0.9869316008096592
2024-04-11,40.87742895805424,26.398196877050577,7.34730706605632,0.0,7.090436178876461,0.0,17.300042169721262,0.0,0.0,0.9865887502411322
2024-04-15,40.87742895805424,26.46767495805348,7.34730706605632,0.0,7.090436178876461,0.0,17.300042169721262,0.0,0.0,0.9171106692382356
2024-04-17,40.849047823518504,26.4492984930218,7.411635684814481,0.0,7.085513300206273,0.0,17.288030777693734,0.0,0.0,0.9164739207452098
2024-04-18,40.83487202985474,26.474822700413174,7.409063634209219,0.0,7.083054423441763,0.0,17.28203133412736,0.0,0.0,0.9161558779537395
2024-04-30,40.80654993850234,26.629854421497363,7.299888469494979,0.0,7.078141786167228,0.0,17.27004493020665,0.0,0.0,0.9155204541314368
2024-05-08,40.83487202985474,26.578931322907916,7.304955011714476,0.0,7.083054423441763,0.0,17.28203133412736,0.0,0.0,0.9161558779537395
