date,ABN AMRO CLEARING HONG KONG LTD,INTERACTIVE BROKERS HONG KONG LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,BRIGHT SMART SECURITIES INTERNATIONAL,HAFOO SECURITIES LTD,CHINA MERCHANTS BANK CO LTD
2025-03-24,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-26,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-27,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-09,98.4253666954271,0.0,1.0353753235547885,0.10785159620362382,0.0,0.4314063848144953,0.0
2025-04-10,98.91142260662093,0.0,0.7157769161944527,0.07456009543692216,0.0,0.29824038174768863,0.0
2025-04-11,98.84639696586599,0.0,0.7585335018963337,0.07901390644753477,0.0,0.31605562579013907,0.0
2025-04-14,99.19514884233737,0.0,0.5292171995589856,0.05512679162072767,0.0,0.2205071664829107,0.0
2025-04-15,99.18708240534521,0.0,0.5345211581291759,0.05567928730512249,0.0,0.22271714922048996,0.0
2025-04-16,93.61915367483297,5.56792873051225,0.5345211581291759,0.05567928730512249,0.0,0.22271714922048996,0.0
2025-04-17,96.4034647250816,3.138337936228973,0.3012804418779814,0.03138337936228973,0.0,0.12553351744915892,0.0
2025-04-22,87.61616598227793,10.80613788631943,1.0373892370866653,0.1080613788631943,0.0,0.4322455154527772,0.0
2025-04-23,94.04799002804613,5.193725979017347,0.4985976939856653,0.05193725979017347,0.0,0.20774903916069387,0.0
2025-04-24,78.39506172839506,18.155410312273055,1.7429193899782136,0.18155410312273057,0.7262164124909223,0.7262164124909223,0.07262164124909223
2025-04-28,78.76516773733047,17.84439685938615,1.7130620985010707,0.17844396859386152,0.7137758743754461,0.7137758743754461,0.07137758743754462
2025-04-29,78.52325168619099,17.74937877174299,1.703940362087327,0.5324813631522897,0.7099751508697196,0.7099751508697196,0.07099751508697195
2025-04-30,72.90969899665552,16.722408026755854,4.013377926421405,2.842809364548495,1.6722408026755853,1.6722408026755853,0.16722408026755853
2025-05-02,75.17241379310344,15.32567049808429,3.67816091954023,2.6053639846743293,1.532567049808429,1.532567049808429,0.15325670498084293
