date,ZHONGTAI INTERNATIONAL SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),GF SECURITIES (HONG KONG) BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.9005929199087289,0.0,0.0,0.0,0.9005929199087289
2024-03-06,0.0,0.0,0.0,3.4405373496614877,0.0,0.901075036032877,1.2197537940947987,1.1156167112788,0.5742003038604369,7.251183194928402
2024-03-08,0.0,0.0,0.0,3.426073865937044,0.0,0.901075036032877,1.2197537940947987,1.1156167112788,0.5742003038604369,7.236719711203957
2024-03-13,0.0,0.0,0.0,3.421252704695562,0.0,0.901075036032877,1.2197537940947987,1.1156167112788,0.5505766137771779,7.208274859879216
2024-03-14,0.0,0.0,0.0,3.4188421240748217,0.0,0.901075036032877,1.2197537940947987,1.1156167112788,0.5505766137771779,7.205864279258475
2024-03-19,0.0,0.0,0.0,3.4188421240748217,0.0,0.901075036032877,1.2197537940947987,1.1156167112788,0.5727539554879925,7.22804162096929
2024-03-20,0.0,0.0,0.0,3.4188421240748217,0.0,0.9015571521570253,1.166238904314355,1.1156167112788,0.5727539554879925,7.175008847312994
2024-04-05,0.0,0.0,0.0,3.4188421240748217,0.0,0.9020392682811733,1.166238904314355,1.1156167112788,0.5722718393638443,7.175008847312994
2024-04-08,0.0,0.0,0.0,3.4173957757023774,0.0,0.9030035005294695,1.166238904314355,1.1156167112788,0.5722718393638443,7.1745267311888465
2024-04-12,0.0,0.0,0.0,3.4173957757023774,0.0,0.9030035005294695,1.166238904314355,1.1156167112788,0.5708254909913999,7.173080382816402
2024-04-17,0.0,0.0,0.0,3.4173957757023774,0.0,0.9058961972743584,1.1565965818313921,1.1156167112788,0.6002345745644365,7.195739840651365
2024-04-18,0.0,0.0,0.0,3.4173957757023774,0.0,0.9068604295226548,1.1565965818313921,1.1156167112788,0.6002345745644365,7.196704072899661
2024-04-19,0.0,0.0,0.0,3.424145401440451,0.0,0.9068604295226548,1.1565965818313921,1.1156167112788,0.6002345745644365,7.203453698637735
2024-04-22,0.0,0.0,0.0,3.424145401440451,0.0,0.9044498489019139,1.1541860012106515,1.1156167112788,0.6002345745644365,7.198632537396253
