date,THE HONGKONG AND SHANGHAI BANKING,HSBC BROKING SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,ICBC (ASIA) SECURITIES LTD,GET NICE SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD,ZHESHANG INTERNATIONAL FINANCIAL,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,CITIBANK N.A.,BOCI SECURITIES LTD
2024-03-04,88.33394331688439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666056683115606,0.0
2024-03-07,88.33334819992601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666651800073991,0.0
2024-03-08,88.33350539722802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.666494602771973,0.0
2024-03-11,88.33589637151815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.664103628481856,0.0
2024-03-18,88.33530140975175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.664698590248241,0.0
2024-03-20,88.33470645599972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.665293544000281,0.0
2024-03-21,88.33411151026186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.66588848973814,0.0
2024-03-25,88.33351657253802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.66648342746198,0.0
2024-03-26,88.33232672113176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.667673278868246,0.0
2024-04-03,88.33201238582598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.66798761417402,0.0
2024-04-10,88.33121548991457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.668784510085423,0.0
2024-04-12,88.33090113102324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.66909886897676,0.0
2024-04-17,88.33137266300885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.668627336991158,0.0
2024-04-23,88.3307777757843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6692222242157,0.0
2024-04-26,88.33018289657251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.669817103427498,0.0
2024-05-06,88.3307777757843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.6692222242157,0.0
2024-05-07,88.33285991612702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.66714008387297,0.0
2024-05-10,81.32447670974823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.74084199081963,7.934681299432144
2024-05-16,81.32901525749988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.735860625217446,7.93512411728267
2024-05-20,81.32959412195913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.735527776776884,7.934878101263991
2024-05-23,81.26660554593813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.804661799334214,7.928732654727651
2024-05-24,81.27818811829816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.791949179532438,7.929862702169399
2024-05-30,81.3159803232879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.750469798392256,7.93354987831984
2024-06-18,81.31547619604845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.751023110534636,7.933500693416907
2024-06-24,77.68339590658965,0.0,0.0,0.0,0.0,4.466653162925597,0.0,0.0,10.270812196721078,7.579138733763677
2024-06-25,77.6829358143744,0.0,0.0,0.0,0.0,4.466626708464841,0.0,0.0,10.271343632046555,7.579093845114191
2024-06-27,77.68247572760907,0.0,0.0,0.0,0.0,4.466600254317445,0.0,0.0,10.271875061077052,7.579048956996425
2024-07-09,77.68255503430075,0.0,0.0,0.0,0.0,4.466584381979417,0.0,0.0,10.271838559338848,7.579022024380984
2024-07-18,68.9443001565878,0.0,0.0,0.0,0.0,3.964153009255974,11.248670790828864,0.0,9.116393255633403,6.726482787693955
2024-07-22,71.24885051871911,0.0,0.0,0.0,0.0,3.6699851013006586,10.413940661570496,0.0,8.4398930484401,6.227330669969631
2024-07-30,71.25787220102447,0.0,0.0,0.0,0.0,3.670324460310766,10.414903625859635,0.0,8.428993209224897,6.227906503580242
2024-08-16,71.25892416388507,0.0,0.0,0.0,0.0,3.6701279816558787,10.41434609851367,0.0,8.429028642697737,6.227573113247638
2024-08-26,71.25787801611236,0.0,0.0,0.0,0.0,3.670199426005548,10.414548828823882,0.0,8.429679387092316,6.227694341965906
2024-08-28,71.26773664327405,0.0,0.0,0.0,0.0,3.668940537473576,10.410976609833988,0.0,8.426787983798691,6.225558225619699
2024-08-29,71.2692741498455,0.0,0.0,0.0,0.0,3.6687442069542358,10.410419502837087,0.0,8.426337053715653,6.2252250866475265
2024-09-10,71.26858075188008,0.0,0.0,0.0,0.0,3.6687085127536276,10.410318217061576,0.0,8.427227998548899,6.225164519755822
2024-09-11,71.26823405795703,0.0,0.0,0.0,0.0,3.6686906659137803,10.410267574912893,0.0,8.427673464464371,6.22513423675192
2024-09-16,71.26442064741376,0.0,0.0,0.0,0.0,3.66849436213482,10.409710543794425,0.0,8.42722251770991,6.23015192894709
2024-09-23,71.26823405795703,0.0,0.0,0.0,0.0,3.6686906659137803,10.410267574912893,0.0,8.427673464464371,6.22513423675192
2024-09-30,71.27274134207208,0.0,0.0,0.0,0.0,3.668922688376243,10.41092596127947,0.0,8.421882069486976,6.225527938785234
2024-10-02,51.37809976703335,27.913394658912864,0.0,0.0,0.0,2.6448018186393867,7.504883110060313,0.0,6.071048889722858,4.487771755631228
