date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,DBS BANK (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD
2024-03-01,45.25745869120168,25.24029018078518,0.0,13.433191645279082,1.3276315053202432,6.787758757666941,3.572924633241375,2.873835618931178,1.506908967574321,0.0
2024-03-04,45.60000513316187,23.511675647367824,0.0,13.183913836974106,1.2083255538341693,6.691934407497098,3.510473001949345,2.852279909435456,1.3273255697492126,2.114066940030914
2024-03-05,46.582542212731674,22.721591809536225,0.0,13.403063319418559,1.1201865868641576,6.807872066529754,3.562133213202242,2.7911565382507066,0.8705536226238663,2.1409006308428142
2024-03-06,45.951660919937744,20.777718425711576,0.0,13.179307433644885,2.670963653061692,6.64549833428446,3.5047221558073036,4.340082723677146,0.823633671492093,2.1064126823831018
2024-03-07,45.913249277681054,20.59695993761362,0.0,13.283355218984807,3.0566819867144166,6.4690055735179515,3.5027040825976,4.336010988947268,0.7860239054962361,2.056009028447053
2024-03-08,46.739263207436885,20.790767898117384,0.0,13.526269076389799,3.012583062690791,6.628729344534986,3.561354698280724,2.8022899864909965,0.8489616413299345,2.089781084728499
2024-03-11,47.78842460030574,21.156202996326297,0.0,13.825762674294767,1.0187857904174697,6.775799331249777,3.626434467816743,2.85688356531417,0.8122599604667096,2.139446613808328
2024-03-12,47.61922877781658,21.426851779478216,0.0,13.773617875510055,1.017854022965423,6.756655049120337,3.6047141249433623,2.854711668105245,0.8122184236745923,2.1341482783861867
2024-03-13,47.67617214705774,21.758066355107367,0.0,13.770023240227397,0.6287152026606571,6.726129788275726,3.5979868012925493,2.8693533867760657,0.8499421593388651,2.1236109192636294
2024-03-14,47.48448059408884,20.420204825150975,0.0,13.68396743103423,2.070729444856658,6.678458754176366,3.599931560094411,3.0368711585414827,0.9103244030688626,2.1150318289881667
2024-03-15,47.82932419956145,19.778796396221246,0.0,13.812888873716634,2.1027173222163205,6.760721945290796,3.6422342155100482,3.071599687011409,0.8679651586338932,2.133752201838211
2024-03-18,47.818187252398815,19.547464444882678,0.0,14.011318671802389,2.099176101542987,6.751253757995689,3.662432062600857,3.0738059106173323,0.8979912525942041,2.138370545565049
2024-03-19,39.66590150374043,16.265803918353562,16.96072995046189,11.646217943285412,1.744311313739542,5.65124714921263,3.0483611710361074,2.549995970109719,0.6956183623941481,1.771812717666558
2024-03-20,39.4341478780755,16.449572268593084,16.87854663306024,11.791877407823826,1.7355689340411997,5.765716183621157,3.044041439307744,2.4589163772676437,0.6754098233395739,1.7662030548700338
