date,SDICS INTERNATIONAL SECURITIES (HONG,BOCI SECURITIES LTD,SOLOMON JFZ (ASIA) HOLDINGS LTD,PHILLIP SECURITIES (HONG KONG) LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-03-06,0.0,0.0,1.4096,0.0,0.0,0.0,0.0,0.0,0.0,1.4096
2024-03-07,0.0,0.0,1.4096,0.7204,0.0,0.0,0.0,0.1964,0.0,2.3264
2024-04-11,8.3544546,0.0,1.4096,0.7204,0.0,0.0,0.0,0.1964,0.0,10.6808546
2024-04-15,8.3544546,0.0,1.4096,0.7204,0.0,0.0,0.0,0.1964,0.0,10.6808546
2024-04-19,8.3544546,0.0,1.4096,0.7204,0.0,0.0,0.0,0.1964,0.58446,11.2653146
2024-04-22,8.3544546,0.0,1.4096,0.7204,0.0,0.0,0.0,0.1964,0.58726,11.268114599999999
2024-05-09,8.3544546,6.7804,1.4096,0.7204,0.0,0.0,0.0,0.1964,0.56406,18.0253146
2024-05-13,8.3544546,6.7804,1.4096,0.7204,0.0,0.0,0.0,0.19519999999999998,0.56406,18.0241146
2024-05-14,8.3544546,6.7804,1.4096,0.7204,0.0,0.0,0.0,0.1956,0.56406,18.0245146
2024-05-31,8.3540546,6.7804,1.4096,0.7204,0.0,0.0,0.0,0.1956,0.56406,18.0241146
2024-06-07,8.337254600000001,6.7804,1.4096,0.7204,0.0,0.0,0.0,0.1956,0.58806,18.0313146
2024-06-11,8.3368546,6.7804,1.4096,0.7204,0.0,0.0,0.0,0.1956,0.59046,18.0333146
2024-06-13,8.3368546,6.7804,1.4096,0.7204,0.0,0.0,0.0,0.1936,0.59046,18.0313146
2024-06-14,8.3332546,6.7804,1.4096,0.7204,0.0,0.0,0.0,0.1936,0.58446,18.0217146
2024-06-17,8.3332546,6.7804,1.4096,0.7204,0.0,0.5479999999999999,0.0,0.1936,0.58446,18.5697146
