date,CHINA GALAXY INTERNATIONAL SECURITIES,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD,UOB KAY HIAN (HONG KONG) LTD,CITIBANK N.A.,PHILLIP SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,KGI ASIA LTD,CGS INTERNATIONAL SECURITIES HK LTD
2024-03-05,0.0,55.66901447682674,25.514322365061847,18.81666315811141,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,53.27067090932732,24.40477713364447,17.998166408162252,4.326385548865956,0.0,0.0,0.0,0.0
2024-03-08,0.0,43.85588512085844,20.077189624874393,14.805680585269643,3.559207387112355,17.70203728188517,0.0,0.0,0.0
2024-03-11,0.0,43.83540902575073,20.114505188384438,14.798767886484454,3.5575456108475336,17.69377228853285,0.0,0.0,0.0
2024-03-13,0.0,43.834749748185395,20.11581157806435,14.79850224323364,3.557481751613561,17.693454678903052,0.0,0.0,0.0
2024-03-14,0.0,43.84545089498395,20.111978919050035,14.795682689431363,3.556803945776562,17.690083550758096,0.0,0.0,0.0
2024-03-15,0.0,43.864168093013035,20.105275278860873,14.79075105473235,3.5556184068511363,17.684187166542607,0.0,0.0,0.0
2024-03-18,0.0,43.85769420265717,20.11706690082346,14.788568095274279,3.555093634931048,17.681577166314042,0.0,0.0,0.0
2024-03-20,0.0,43.87301494442198,20.114050397302893,14.78635058673074,3.547658213198561,17.67892585834582,0.0,0.0,0.0
2024-03-21,0.0,39.82527007257555,18.273442398423096,13.422154968157859,3.2203496077213773,16.047859892773953,9.210923060348172,0.0,0.0
2024-03-22,0.0,39.79892863178766,18.33930765217539,13.409494384824386,3.2173119804053316,16.032722586731936,9.2022347640753,0.0,0.0
2024-03-25,0.0,39.76066825063015,18.435418188826468,13.38516174037419,3.213521903467078,16.013835623794094,9.191394292908024,0.0,0.0
2024-03-26,0.0,39.7430053878081,18.49058532171998,13.379215656314916,3.2120943621541707,16.006549406024394,9.168549865978447,0.0,0.0
2024-03-27,0.0,39.740949995931764,18.494800749998223,13.378523722453767,3.2119282420383524,16.005721594154203,9.168075695423695,0.0,0.0
2024-03-28,0.0,39.739391744819876,18.495279010837564,13.378869680437914,3.2120112999483945,16.00613548938602,9.168312774570236,0.0,0.0
2024-04-02,0.0,39.705135423253644,18.56548311947901,13.367354369358578,3.2092466935060933,15.992358867463485,9.16042152693919,0.0,0.0
2024-04-03,0.0,39.68906108180876,18.570432594311512,13.370918046296179,3.2101022643328037,15.996622358869416,9.162863654381331,0.0,0.0
