date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CMB WING LUNG BANK LTD,IFAST SECURITIES (HK) LTD,PHILLIP SECURITIES (HONG KONG) LTD,BNP PARIBAS
2024-03-01,98.52256952544393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4774304745560778
2024-03-04,98.49366085095637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.506339149043627
2024-03-05,98.50053242945563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4994675705443643
2024-03-06,98.49858297413428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5014170258657211
2024-03-07,99.02884168609555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9711583139044476
2024-03-08,99.23922697198564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.760773028014348
2024-03-11,99.23675721972413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7632427802758726
2024-03-12,99.23659903141343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7634009685865683
2024-03-13,99.30520508548398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6947949145160287
2024-03-14,99.55525288043252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4447471195674835
2024-03-15,78.57075028693787,21.141076822501418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28817289056071854
2024-03-18,76.29378253950058,20.534867416113734,2.8887745554101207,0.0,0.0,0.0,0.002665806499769408,0.0,0.0,0.2799096824757878
2024-03-19,76.29986843193821,20.557336187088183,2.8919353848699396,0.0,0.0,0.0,0.002668723362804935,0.0,0.0,0.24819127274085898
