date,ELSTONE SECURITIES LTD,KGI ASIA LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CMB INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,95.96396177025629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.036038229743714
2024-03-05,95.96469872185027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.035301278149726
2024-03-06,95.97176585128392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.028234148716076
2024-03-07,69.25086152022651,0.0,0.0,19.065387738975833,0.0,0.0,8.77762900853838,0.0,2.906121732259268
2024-03-08,69.27989816298312,0.0,0.0,19.01981871255185,0.0,0.0,8.776858415819854,0.0,2.9234247086451726
2024-03-12,64.21138211382113,0.0,0.0,17.61382113821138,0.0,0.0,8.128048780487806,7.189024390243902,2.857723577235772
2024-03-25,58.46375846375847,0.0,0.0,16.032116032116033,8.961408961408962,0.0,7.398157398157398,6.543456543456544,2.601102601102601
2024-03-26,50.42895869877213,0.0,14.804656354648383,13.819167596874502,7.724445861904003,0.0,6.376973369478551,3.8064104608515383,3.039387657470898
2024-03-27,50.51342560112252,0.0,14.787295108106385,13.78595573697302,7.7237068690605275,0.0,6.37636328847503,3.809235282862428,3.004018113400089
2024-04-02,50.5229925377894,0.0,14.787295108106385,13.78595573697302,7.7237068690605275,0.0,6.37636328847503,3.809235282862428,2.99445117673321
2024-04-05,50.532457594694556,0.0,14.784466267057772,13.783318454278792,7.72222930748629,0.0,6.375143476597373,3.8085065680397907,2.993878331845428
2024-04-08,50.524403073097645,0.0,14.79804902929644,13.781121489368484,7.7209984379482925,0.0,6.374127323153432,3.8078995186330458,2.993401128502662
2024-04-11,50.522792476888746,0.0,14.797577303155881,13.780682180427158,7.7207523111252785,0.0,6.37392413133567,3.8077781319732225,2.996493465094039
2024-04-12,50.541919030921264,0.0,14.797577303155881,13.780682180427158,7.7207523111252785,0.0,6.37392413133567,3.804590372967804,2.980554670066943
2024-04-15,50.548294548932105,0.0,14.797577303155881,13.780682180427158,7.7207523111252785,0.0,6.37392413133567,3.804590372967804,2.9741791520561045
2024-04-17,50.56104558495378,0.0,14.797577303155881,13.780682180427158,7.7207523111252785,0.0,6.37392413133567,3.804590372967804,2.961428116034428
2024-04-19,50.57060886197004,0.0,14.797577303155881,13.780682180427158,7.7207523111252785,0.0,6.37392413133567,3.804590372967804,2.95186483901817
2024-04-23,50.58017213898629,0.0,14.797577303155881,13.780682180427158,7.7207523111252785,0.0,6.37392413133567,3.804590372967804,2.9423015620019126
2024-04-26,50.63775510204081,0.0,14.818239795918368,13.689413265306122,7.793367346938776,0.0,6.375956632653061,3.805803571428571,2.8794642857142856
2024-04-29,50.639369877866,0.0,14.818712331388117,13.686660926687713,7.793615867852929,0.0,6.376159954080168,3.805924933830798,2.8795561082942696
2024-04-30,50.64732142857142,0.0,14.818239795918368,13.676658163265307,7.793367346938776,0.0,6.375956632653061,3.805803571428571,2.88265306122449
2024-05-03,50.648895124517715,0.0,14.817767290583847,13.67622205924556,7.793118841873664,0.0,6.375753324192468,3.8056822167660473,2.882561142820701
2024-05-06,50.650510204081634,0.0,14.818239795918368,13.676658163265307,7.793367346938776,0.0,6.375956632653061,3.805803571428571,2.8794642857142856
2024-05-08,50.65446486934617,0.0,14.817531049216395,13.676004017664972,7.792994595284027,0.0,6.374057363327647,3.805621542336942,2.8793265628238447
2024-05-09,43.722384857355856,0.0,16.89910358746841,15.597214393512374,8.887757514046221,0.0,7.269487426586904,4.340236740185828,3.2838154808444098
2024-05-16,43.72647770040545,0.0,16.89787458409847,15.596080071271432,8.887111143433755,0.0,7.268958746204615,4.339921092343776,3.2835766622425044
2024-05-17,43.725800294486554,0.0,16.912981040155607,15.593244987366164,8.885495628147098,0.0,7.260366108596463,4.339132173565287,3.2829797676828267
2024-05-28,43.629966812353786,0.0,16.873107125369508,15.556482472207614,8.90081790319363,0.0,7.24324912497053,4.328902268729258,3.4674742931756772
