date,ABCI SECURITIES CO LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,CITIBANK N.A.,CHINA MERCHANTS BANK CO LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CITIC SECURITIES BROKERAGE (HK) LTD
2024-03-01,0.0,30.96335213504292,16.98464508340008,15.602626095397634,10.562778565040272,8.833725060199749,8.083213114221238,4.903482502992921,4.066177443705187,0.0
2024-03-04,0.0,29.982503325523197,16.388327227012127,15.128815728582145,10.659279149408867,8.523423165876077,8.059894142082417,4.766784069731977,4.1314667244955725,2.359506467287619
2024-03-05,0.0,29.610313851324733,16.334504375899495,15.066814351589677,10.850776710977467,8.533845846688228,8.049047025626233,4.808448975010209,4.389917851871401,2.35633101101256
2024-03-06,0.0,29.52052324878935,16.224347018515758,14.946636201519183,11.165736742216314,8.426251679188702,7.92800133034789,4.710797468509309,4.736835387236791,2.340870923676706
2024-03-07,0.0,29.496082548073442,16.20774991318055,14.945488916771355,11.165732549222481,8.425604890847664,7.94445028166124,4.711288748428381,4.7710132203386895,2.3325889314761934
2024-03-08,0.0,29.4768143238056,16.153293463381342,14.998942078028454,11.195975998620112,8.426133743980287,7.945912361352125,4.712552800134316,4.756104038651106,2.3342711920466592
2024-03-11,0.0,29.42476760765423,16.216960267613583,14.91199103514812,11.152493420364996,8.534503850209148,7.86250443705473,4.793393302461198,4.772966565296943,2.3304195141970565
2024-03-12,0.0,29.539034031953875,16.181990061346166,14.801207121499818,11.25213301607185,8.567720432632862,7.914661306416586,4.821380673162761,4.579928672039318,2.341944684876764
2024-03-13,0.0,29.556570224992452,16.12894002952561,14.57908851920035,11.146293459827044,8.504478599039997,8.226888352508125,4.808213356579881,4.684682906068377,2.364844552258166
2024-03-14,0.0,29.64975533115659,15.788134313296542,14.618566880765657,11.157062858952708,8.51357397699944,8.219853713943518,4.816793211449769,4.888910126960897,2.347349586474876
2024-03-15,0.0,29.58877126722912,15.736500306470989,14.560025014602768,11.260468623040133,8.486138841198683,8.204014823645423,4.810709333060361,5.022982465174445,2.3303893255780883
2024-03-18,0.0,29.596335722388083,15.757128149888693,14.561979658501306,11.169752200741526,8.499084570201655,8.207313706516262,4.812643747728856,5.053602443313967,2.3421598007196494
2024-03-19,0.0,29.601870006838098,15.709391364793623,14.565129147743303,11.144038393697468,8.498755615407836,8.20908879801004,4.845325038600535,5.094571022844853,2.331830612064246
2024-03-20,0.0,29.589852308916452,15.736409720965852,14.56690108971287,11.12330228701083,8.495201913784033,8.209843177523588,4.844469892795364,5.101974712147618,2.332044897143393
