date,FIRST SHANGHAI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,BOCOM INTERNATIONAL SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,MINERVA HOLDING FINANCIAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,YUE XIU SECURITIES CO LTD,BOCI SECURITIES LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,TOTAL_CCASS_PCT
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0639619883040936,0.0,2.0639619883040936
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,3.7810672514619883,0.0,2.0639619883040936,0.0,5.845029239766082
2024-03-11,0.0,15.303106725146199,0.0,0.0,0.0,0.0,3.7810672514619883,0.0,2.0639619883040936,0.0,21.14813596491228
2024-03-12,0.0,15.288669590643275,0.0,0.0,0.0,0.0,3.7810672514619883,0.0,2.0639619883040936,0.0,21.133698830409354
2024-03-13,0.0,15.288669590643275,0.0,0.0,0.0,0.0,3.7810672514619883,0.0,2.0628654970760234,0.0,21.132602339181286
2024-03-25,0.0,15.288669590643275,11.988486842105264,0.0,0.0,0.0,3.7801535087719302,0.0,2.0628654970760234,0.0,33.12017543859649
2024-03-26,0.0,15.293421052631578,11.988486842105264,0.0,0.0,0.0,3.7801535087719302,0.0,2.0628654970760234,1.28125,34.406176900584796
2024-03-28,0.0,15.293421052631578,11.988486842105264,0.0,0.0,0.0,3.7801535087719302,0.0,2.0573830409356724,1.273391812865497,34.39283625730994
2024-04-03,0.0,15.293421052631578,11.987573099415204,0.0,0.0,0.0,3.7801535087719302,0.0,2.0573830409356724,1.273391812865497,34.391922514619885
2024-05-23,0.0,15.293421052631578,11.987573099415204,0.0,0.0,0.0,3.780701754385965,0.0,2.0573830409356724,1.273391812865497,34.39247076023392
2024-06-19,0.0,15.293421052631578,11.987755847953215,0.0,0.0,0.0,3.780701754385965,0.0,2.0573830409356724,1.273391812865497,34.39265350877193
2024-06-20,0.0,15.283369883040937,11.987755847953215,0.0,0.0,0.0,3.780701754385965,0.0,2.0573830409356724,1.273391812865497,34.38260233918128
2024-06-24,18.762682748538012,15.284831871345029,11.987755847953215,0.0,0.0,0.0,3.7989766081871346,3.618421052631579,2.0573830409356724,1.364766081871345,56.874817251461984
2024-06-25,18.762682748538012,15.284831871345029,11.987755847953215,0.0,0.0,0.0,3.7986111111111107,3.618421052631579,2.0573830409356724,1.364766081871345,56.874451754385966
2024-06-26,18.762682748538012,15.288486842105264,11.987755847953215,0.0,0.0,0.0,3.7986111111111107,3.6151315789473686,2.0573830409356724,1.364766081871345,56.874817251461984
2024-06-27,18.762682748538012,15.288486842105264,11.987755847953215,0.0,0.0,0.0,3.7986111111111107,3.605811403508772,2.0573830409356724,1.364766081871345,56.865497076023395
2024-06-28,18.722478070175438,15.276790935672516,11.987755847953215,0.0,0.0,0.0,3.7852704678362574,3.600877192982456,2.077485380116959,1.364766081871345,56.815423976608194
2024-07-02,18.722478070175438,15.285745614035088,11.987755847953215,0.0,0.0,0.0,3.789656432748538,3.59046052631579,2.077485380116959,1.364766081871345,56.818347953216374
2024-07-03,18.69561403508772,15.285745614035088,11.982456140350878,0.0,0.0,0.0,3.804459064327485,3.5769371345029244,2.0592105263157894,1.364766081871345,56.769188596491226
2024-07-04,18.69561403508772,15.285745614035088,11.987938596491228,0.0,0.0,0.0,3.786184210526316,3.554276315789474,2.0592105263157894,1.364766081871345,56.733735380116954
2024-07-05,18.66235380116959,15.283918128654971,11.987938596491228,0.0,0.0,0.0,3.786184210526316,3.554276315789474,2.1140350877192984,1.364766081871345,56.75347222222222
2024-07-08,18.65924707602339,15.283918128654971,11.987938596491228,0.0,0.0,0.0,3.786184210526316,3.548976608187134,2.133771929824561,1.364766081871345,56.764802631578945
2024-07-09,18.637134502923978,15.283918128654971,11.985197368421051,0.0,0.0,0.0,3.7850877192982453,3.5453216374269005,2.1354166666666665,1.364766081871345,56.736842105263165
2024-07-10,18.637134502923978,15.283918128654971,11.966739766081872,0.0,0.0,0.0,3.8000730994152048,3.5453216374269005,2.2267909356725144,1.364766081871345,56.82474415204678
2024-07-11,18.61703216374269,15.290679824561405,12.010782163742691,0.0,0.0,0.0,3.7858187134502925,3.499634502923977,2.2267909356725144,1.364766081871345,56.79550438596491
2024-07-12,18.61703216374269,15.290679824561405,11.993421052631579,0.0,8.127960526315789,0.0,3.7839912280701755,3.4978070175438596,2.2267909356725144,1.364766081871345,64.90244883040936
2024-07-15,18.598757309941522,15.25376461988304,12.009320175438596,10.833150584795321,8.127960526315789,0.0,3.800438596491228,3.4791666666666665,2.2286184210526314,1.3512426900584795,75.68241959064328
2024-07-16,18.598757309941522,15.25376461988304,12.009320175438596,10.832236842105262,8.13125,0.0,3.7986111111111107,3.4791666666666665,2.2286184210526314,1.3552631578947367,75.68698830409357
2024-07-17,18.598757309941522,15.261622807017543,12.001279239766081,10.831323099415204,8.13125,0.0,3.7986111111111107,3.475511695906433,2.2267909356725144,1.3552631578947367,75.68040935672514
2024-07-18,18.598757309941522,15.261622807017543,12.001279239766081,10.831323099415204,8.138559941520468,0.0,3.7986111111111107,3.453947368421053,2.2267909356725144,1.3552631578947367,75.66615497076023
2024-07-19,18.598757309941522,15.25376461988304,12.001279239766081,10.831323099415204,8.138559941520468,0.0,3.7986111111111107,3.453947368421053,2.2267909356725144,1.3552631578947367,75.65829678362573
2024-07-22,18.598757309941522,15.24919590643275,12.001279239766081,10.831323099415204,8.138559941520468,0.0,3.7986111111111107,3.4521198830409356,2.2267909356725144,1.3552631578947367,75.65190058479531
2024-07-23,18.598757309941522,15.24919590643275,12.001279239766081,10.831323099415204,8.138559941520468,0.0,3.7986111111111107,3.4453581871345027,2.2267909356725144,1.3552631578947367,75.64513888888888
2024-07-25,18.598757309941522,15.24919590643275,12.001279239766081,10.831323099415204,8.138559941520468,0.0,3.7986111111111107,3.4409722222222223,2.2267909356725144,1.3552631578947367,75.6407529239766
2024-07-26,18.598757309941522,15.24919590643275,12.001279239766081,10.831323099415204,8.138559941520468,0.0,3.7986111111111107,3.4395102339181283,2.2267909356725144,1.3552631578947367,75.6392909356725
2024-07-29,18.598757309941522,15.24919590643275,11.993055555555555,10.831323099415204,8.138559941520468,0.0,3.7960526315789473,3.4376827485380117,2.2267909356725144,1.3552631578947367,75.62668128654971
2024-07-30,18.598757309941522,15.24919590643275,11.993055555555555,10.831323099415204,8.138559941520468,0.0,3.7927631578947367,3.421235380116959,2.2267909356725144,1.3512426900584795,75.60292397660818
2024-07-31,18.598757309941522,15.24919590643275,12.010964912280702,10.831323099415204,8.138559941520468,0.0,3.7927631578947367,3.400402046783626,2.2267909356725144,1.3512426900584795,75.6
2024-08-01,18.598757309941522,15.24919590643275,12.010964912280702,10.831323099415204,8.138559941520468,0.0,3.7927631578947367,3.3985745614035086,2.2267909356725144,1.3512426900584795,75.59817251461989
2024-08-08,18.598757309941522,15.24919590643275,12.010964912280702,10.831323099415204,8.138559941520468,0.0,3.7927631578947367,3.3985745614035086,2.2267909356725144,1.3616593567251463,75.60858918128655
2024-08-13,18.598757309941522,15.24919590643275,12.010964912280702,10.831323099415204,8.138559941520468,0.0,3.7927631578947367,3.3985745614035086,2.2267909356725144,1.3512426900584795,75.59817251461989
2024-08-14,18.598757309941522,15.24919590643275,11.993055555555555,10.831323099415204,8.138559941520468,0.0,3.7927631578947367,3.3985745614035086,2.2267909356725144,1.3512426900584795,75.58026315789473
2024-08-15,18.598757309941522,15.24736842105263,11.993055555555555,10.831323099415204,8.138559941520468,0.0,3.7927631578947367,3.3985745614035086,2.2267909356725144,1.3512426900584795,75.57843567251462
2024-08-26,18.598757309941522,15.246820175438597,11.993055555555555,10.831323099415204,8.138559941520468,0.0,3.7927631578947367,3.3985745614035086,2.2267909356725144,1.3512426900584795,75.57788742690057
2024-08-27,18.598757309941522,15.246820175438597,11.993055555555555,10.831323099415204,8.138559941520468,0.0,3.7922149122807016,3.3985745614035086,2.2267909356725144,1.3512426900584795,75.57733918128655
2024-08-28,18.598757309941522,15.246820175438597,11.993055555555555,10.831323099415204,8.138559941520468,0.0,3.7922149122807016,3.3985745614035086,2.2267909356725144,1.3627558479532165,75.58885233918129
