date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,REALINK FINANCIAL TRADE LTD,NANYANG COMMERCIAL BANK LTD,PHILLIP SECURITIES (HONG KONG) LTD,CITIBANK N.A.,EVERBRIGHT SECURITIES INVESTMENT,BOCI SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD
2024-03-01,66.86872835265322,0.0,33.131271647346765,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,66.8548412936699,0.0,33.14515870633009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,66.74592906430088,0.0,33.25407093569912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,66.65708264854932,0.0,33.34291735145068,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,66.4997161092926,0.0,33.50028389070739,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,66.50952974621974,0.0,33.49047025378026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,51.62932497764615,0.0,25.997633406585468,0.0,0.0,22.373041615768383,0.0,0.0,0.0,0.0
2024-03-15,29.47156771588255,28.063692034916038,14.846768421742285,14.846768421742285,0.0,12.771203405716843,0.0,0.0,0.0,0.0
2024-03-18,29.469640615240873,28.061856993107277,14.852336461040272,14.845797614310923,0.0,12.770368316300651,0.0,0.0,0.0,0.0
2024-03-19,29.48004995376482,28.08223492109243,14.857582639645333,14.851041483248553,0.0,12.729091002248868,0.0,0.0,0.0,0.0
2024-03-20,29.481978416081876,28.084071944160883,14.852012976645426,14.852012976645426,0.0,12.72992368646639,0.0,0.0,0.0,0.0
2024-03-21,29.500890707280565,28.102087497227124,14.82881143934339,14.8301205954694,0.0,12.73808976067952,0.0,0.0,0.0,0.0
2024-03-22,29.503594444078974,28.113827967416853,14.843263251034571,14.800057139427961,0.0,12.739257198041635,0.0,0.0,0.0,0.0
