date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,CMB WING LUNG BANK LTD,CMB INTERNATIONAL SECURITIES LTD,BOCI SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-04,52.918213234353004,36.85524126455907,0.0,0.0,0.0,0.0,0.0,10.22654550108793,0.0
2024-03-05,37.873450153268976,26.30278629272087,22.20798828750515,0.0,0.0,0.0,6.451022555702979,7.1647527108020315,0.0
2024-03-07,37.90927382476678,26.289555514907626,22.192244375342966,0.0,0.0,0.0,6.447777574538138,7.161148710444485,0.0
2024-03-11,37.917314552272934,26.291960120735386,22.194274215677307,0.0,0.0,0.0,6.439220707948413,7.157230403365957,0.0
2024-03-12,35.15449497732378,24.367397109312083,20.569660492518967,0.0,7.307252151061755,0.0,5.9678718263891835,6.633323443394228,0.0
2024-03-13,35.21138693552487,24.353977802253667,20.53715157163433,0.0,7.303227992883166,0.0,5.964585274930102,6.629670422773872,0.0
2024-03-14,35.214131401702886,24.352946160037277,20.536281611386453,0.0,7.302918625831321,0.0,5.964332613207947,6.629389587834117,0.0
2024-03-15,35.246283511922414,24.327643894794797,20.532802507305917,0.0,7.301681419677269,0.0,5.963322180339673,6.6282664859599345,0.0
2024-03-18,35.325488868196054,24.295267925167188,20.536696859392194,0.0,7.2970456276982985,0.0,5.959536104291882,6.5859646152543805,0.0
2024-03-20,35.410141369677476,24.21061542368577,20.536696859392194,0.0,7.2970456276982985,0.0,5.959536104291882,6.5859646152543805,0.0
2024-03-22,35.42830540037244,24.20856610800745,20.534958523785342,0.0,7.296427966819029,0.0,5.95903165735568,6.572710343660064,0.0
2024-03-26,35.44469831598545,24.202420242024203,20.529745282220528,0.0,7.294575611407295,0.0,5.9575188288059575,6.571041719556571,0.0
2024-03-27,33.9598185353208,23.169151004536616,19.653272845106933,0.0,6.983149708360337,0.0,5.703175631885936,6.290505508749191,4.2409267660401815
2024-04-02,33.95714343581642,23.17008952080042,19.65406894316847,0.0,6.983432575849638,0.0,5.70340665127395,6.290760319196338,4.241098553894762
2024-04-03,33.65516684172255,23.592146723761818,19.600872586248688,0.0,6.960491233740002,0.0,5.687969621071342,6.273733538014057,4.2296194554415445
2024-04-05,31.095487371518093,22.715983340338543,18.53960490619388,5.7735661610179205,6.583623094264644,0.0,5.380000764204654,5.911122998739062,4.000611363723205
2024-04-08,30.99694423223835,22.853323147440793,18.533231474407945,5.771581359816654,6.581359816653934,0.0,5.378151260504202,5.886172650878533,3.9992360580595876
2024-04-09,31.03908993739502,22.83936478851733,18.521911742250722,5.768056191785005,6.577340051916323,0.0,5.374866391815544,5.882577492746984,3.9967934035730646
2024-04-10,31.62637950127926,22.236224080650704,18.52827738954443,5.770038568755489,6.579600565165922,0.0,5.376713636537213,5.88459922862489,3.9981670294420892
2024-04-11,31.631601053877585,22.234525946007867,18.52686242315476,5.769597922792012,6.579098094619878,0.0,5.37630302798885,5.884149833899729,3.9978616976593226
2024-04-12,31.586974757873865,22.355677571875237,18.500724471898117,5.761458095020209,6.558377182948219,0.0,5.368718066041333,5.875848394722794,3.9922214596202243
2024-04-15,29.050848648838603,20.603015075376884,17.050286397020066,5.309765611273149,6.044207049232175,7.899638050391819,4.947816003092385,5.415187827248129,3.6792353375267948
2024-04-16,29.19909438234046,20.81151832460733,17.128909013725767,5.370029715579454,6.1695203056459595,7.294467242111222,4.980897127493987,5.380642422527239,3.664921465968586
2024-04-17,29.28336806414015,20.849079927948292,17.197047292763042,5.3367710945502065,6.15971461872638,7.28287359163635,4.972980609613958,5.259068272524988,3.6590965280966343
2024-04-18,29.43634046169098,20.581362413255913,17.23905962328282,5.3498088089505735,6.174762781475711,7.300665628098003,4.985129585044612,5.264835009205495,3.668035688995893
2024-04-19,29.59796509573942,20.536282060340564,17.20130007772204,5.3380908641277465,6.161237900091853,7.2846746272875,4.974210414753056,5.246237546809864,3.6600014131279583
2024-04-22,29.747928785475057,20.493566014454434,17.161995416887006,5.326987484576062,6.148422351489511,7.2695222986074395,4.963863916798871,5.23532522474881,3.6523885069628066
2024-04-23,29.7009148486981,20.489092188599578,16.95636875439831,5.31667839549613,6.13652357494722,7.255453905700211,4.940182969739619,5.207600281491907,3.9971850809289236
2024-04-24,29.681891758744456,20.490534168484764,16.901259764937716,5.317052572313322,6.136955450770638,7.255964529523541,4.94053064958829,5.2079667816172845,4.067844324019988
2024-04-25,29.639138998311758,20.480444569499156,16.892937535171637,5.314434440067529,6.1339335959482275,7.252391671356219,4.9380979178390545,5.198368036015757,4.150253235790658
